,To1 3 nM + Se1Tr1 15 nM + St1 15 nM,To1 3 nM + Se1Tr1 15 nM + St1 15 nM,To1 3 nM + Se1Tr1 15 nM + St1 15 nM,To1 3 nM + Se1Tr1 15 nM + St1 10 nM,To1 3 nM + Se1Tr1 15 nM + St1 10 nM,To1 3 nM + Se1Tr1 15 nM + St1 10 nM,To1 3 nM + Se1Tr1 15 nM + St1 5 nM,To1 3 nM + Se1Tr1 15 nM + St1 5 nM,To1 3 nM + Se1Tr1 15 nM + St1 5 nM,To1 3 nM + Se1Tr1 10 nM + St1 15 nM,To1 3 nM + Se1Tr1 10 nM + St1 15 nM,To1 3 nM + Se1Tr1 10 nM + St1 15 nM,To1 3 nM + Se1Tr1 10 nM + St1 10 nM,To1 3 nM + Se1Tr1 10 nM + St1 10 nM,To1 3 nM + Se1Tr1 10 nM + St1 10 nM,To1 3 nM + Se1Tr1 10 nM + St1 5 nM,To1 3 nM + Se1Tr1 10 nM + St1 5 nM,To1 3 nM + Se1Tr1 10 nM + St1 5 nM,To1 3 nM + Se1Tr1 5 nM + St1 15 nM,To1 3 nM + Se1Tr1 5 nM + St1 15 nM,To1 3 nM + Se1Tr1 5 nM + St1 15 nM,To1 3 nM + Se1Tr1 5 nM + St1 10 nM,To1 3 nM + Se1Tr1 5 nM + St1 10 nM,To1 3 nM + Se1Tr1 5 nM + St1 10 nM,To1 3 nM + Se1Tr1 5 nM + St1 5 nM,To1 3 nM + Se1Tr1 5 nM + St1 5 nM,To1 3 nM + Se1Tr1 5 nM + St1 5 nM,To1 3 nM + Se1Tr1 15 nM,To1 3 nM + Se1Tr1 15 nM,To1 3 nM + Se1Tr1 15 nM,To1 3 nM + Se1Tr1 10 nM,To1 3 nM + Se1Tr1 10 nM,To1 3 nM + Se1Tr1 10 nM,To1 3 nM + Se1Tr1 5 nM,To1 3 nM + Se1Tr1 5 nM,To1 3 nM + Se1Tr1 5 nM,To1 3 nM,To1 3 nM,To1 3 nM,sfGFP 3 nM,sfGFP 3 nM,sfGFP 3 nM,Control,Control,Control
8 h 10 min,1041999.333,907970.333,994696.333,915326.333,716530.333,806571.333,391867,398825,393338,877252,1031908,944686,890122.667,1096110.667,975735.667,473739.667,504417.667,442360.667,1420631.667,1293917.667,1196878.667,910944,942337,920968,378375.333,396099.333,401710.333,62161.667,67860.667,53589.667,49581,57983,52477,59581.667,61623.667,48277.667,7043.667,6210.667,5162.667,5598,5257,5722,5033,7014,3865
8 h 20 min,1043209.333,908795.333,1000018.333,915271.333,717080.333,806598.333,392719,400846,395965,878283,1032582,942142,892006.667,1097251.667,980781.667,475059.667,503441.667,443501.667,1422928.667,1294330.667,1200810.667,911535,940384,920940,377550.333,397378.333,403057.333,63154.667,68377.667,55875.667,51021,60000,54044,60188.667,62760.667,49205.667,8183.667,7349.667,5313.667,5237,5732,6457,5211,7114,4037
8 h 30 min,1045973.333,907997.333,996800.333,915367.333,716613.333,809623.333,393214,400695,396446,879617,1030987,942610,896049.667,1101225.667,979915.667,474564.667,503070.667,442374.667,1420260.667,1290617.667,1202295.667,911590,943134,920033,378498.333,396347.333,403442.333,64271.667,69840.667,56237.667,51310,60366,55020,60872.667,62514.667,49750.667,8945.667,7384.667,5840.667,5777,5757,6181,5478,7543,4666
8 h 40 min,1023175.333,889874.333,978333.333,897258.333,700662.333,793810.333,389543,394094,388938,876372,1024854,939090,887124.667,1120022.667,951437.667,463921.667,495727.667,431455.667,1399125.667,1277499.667,1187032.667,918837,937001,922192,379915.333,394917.333,400898.333,61534.667,67962.667,54263.667,48045,59570,52540,59909.667,62127.667,49733.667,8092.667,7073.667,5859.667,5811,5912,6589,5690,8154,4711
8 h 50 min,1045836.333,906182.333,992496.333,911187.333,714509.333,806667.333,392018,402166,396941,881144,1023781,940726,892968.667,1103838.667,979530.667,475692.667,503551.667,443611.667,1425197.667,1292982.667,1208181.667,912594,942956,921147,379021.333,398327.333,402356.333,65458.667,70358.667,57531.667,52520,61517,56662,61122.667,63919.667,50999.667,9144.667,8320.667,7141.667,6295,6315,7127,5910,8015,5492
9 h ,1024178.333,889475.333,973616.333,899870.333,700717.333,797344.333,391784,395332,390588,880924,1026999,940575,888609.667,1119555.667,951093.667,466245.667,495658.667,435031.667,1402563.667,1277045.667,1199133.667,920624,941787,924337,380795.333,399345.333,401627.333,64000.667,69183.667,55987.667,51304,62122,54564,61042.667,62136.667,51788.667,8735.667,7784.667,6615.667,6507,6677,7226,6309,7766,5431
9 h 10 min,1024756.333,893848.333,979268.333,898220.333,699355.333,796381.333,392142,397175,393407,883426,1021306,942294,891841.667,1124175.667,955493.667,467249.667,498835.667,435746.667,1404075.667,1280428.667,1199793.667,918713,938404,923003,381345.333,400321.333,405656.333,65228.667,69095.667,56780.667,52947,64161,56559,60935.667,63282.667,52179.667,8932.667,7693.667,7413.667,6934,6621,7939,7080,8255,5128
9 h 20 min,1045286.333,911174.333,992345.333,913910.333,713491.333,808317.333,396721,403665,399622,886520,1023589,944796,900573.667,1108458.667,982734.667,478621.667,506343.667,447805.667,1428428.667,1294151.667,1212361.667,911837,942502,921752,381867.333,401779.333,406578.333,68986.667,73470.667,60042.667,56592,65419,59020,62487.667,65287.667,53989.667,11748.667,10638.667,9298.667,7150,6993,7692,6777,9034,7262
9 h 30 min,1046647.333,910789.333,992263.333,913937.333,711456.333,809046.333,395676,405631,399512,885076,1020563,945731,901893.667,1110411.667,982239.667,478745.667,506356.667,447063.667,1426833.667,1292157.667,1212114.667,912085,944138,925107,382912.333,403319.333,406096.333,68655.667,73603.667,60799.667,55972,65010,59622,63117.667,65410.667,54417.667,11831.667,10946.667,9658.667,8020,7626,8508,7075,9045,7857
9 h 40 min,1027616.333,896323.333,973850.333,901397.333,697307.333,797660.333,392486,398674,394108,886259,1023836,945113,897410.667,1129731.667,952963.667,469463.667,498656.667,438482.667,1403512.667,1273951.667,1202020.667,920225,938500,925217,382335.333,402879.333,407664.333,68686.667,72710.667,61000.667,55347,66524,58650,62826.667,64706.667,55016.667,13066.667,9958.667,9884.667,8149,7888,8706,8217,10316,7763
9 h 50 min,1025223.333,892775.333,974854.333,899430.333,695725.333,795254.333,394782,398178,392706,889559,1026683,944686,896282.667,1127214.667,953843.667,468844.667,498821.667,439252.667,1405849.667,1277829.667,1202942.667,919524,941415,925258,384136.333,402260.333,407100.333,66821.667,72477.667,59727.667,54855,65308,59085,62946.667,64692.667,55100.667,11464.667,10509.667,10332.667,9104,8551,9978,8200,10335,8073
10 h ,1048064.333,910253.333,995824.333,912150.333,708981.333,804769.333,396790,407378,402524,887730,1028429,949953,902415.667,1114756.667,987093.667,479185.667,509973.667,449799.667,1429294.667,1290328.667,1217229.667,917255,945981,925327,384246.333,405684.333,408613.333,72402.667,77355.667,65003.667,59879,70420,64021,64685.667,66919.667,58695.667,15102.667,12266.667,12266.667,9631,9640,10021,8344,11013,9864
10 h 10 min,1048930.333,914543.333,991589.333,912865.333,708238.333,804343.333,397725,408093,401547,890948,1026243,949472,905097.667,1117479.667,990228.667,482650.667,508818.667,451504.667,1431756.667,1294852.667,1221162.667,916636,944303,926179,386378.333,405491.333,408764.333,73613.667,78119.667,65597.667,60513,69457,63745,64959.667,67605.667,58919.667,15781.667,13075.667,13479.667,10179,8946,10067,9135,10992,10374
10 h 20 min,1053426.333,914790.333,989732.333,914597.333,707358.333,805649.333,397683,408629,401836,893987,1026875,949073,906747.667,1114893.667,989307.667,482691.667,510908.667,454186.667,1429459.667,1294234.667,1220117.667,915646,945953,926166,385993.333,406921.333,409342.333,74545.667,79518.667,67110.667,62050,70976,65643,65643.667,68885.667,60172.667,17213.667,13823.667,14715.667,10661,9896,10574,9403,11815,11421
10 h 30 min,1036994.333,894797.333,972489.333,898385.333,696083.333,795020.333,396336,400475,395428,892997,1029804,944329,895169.667,1131284.667,958615.667,471127.667,501846.667,441136.667,1405836.667,1279438.667,1203643.667,921559,940838,929700,387615.333,404570.333,407966.333,71366.667,75882.667,63590.667,58287,69547,62511,65801.667,66953.667,60228.667,14925.667,11467.667,13370.667,11466,11239,12375,10027,11791,9869
10 h 40 min,1055943.333,914639.333,992084.333,913470.333,708678.333,806268.333,400805,410169,402345,895321,1031605,948069,909634.667,1121851.667,991864.667,484699.667,511953.667,454103.667,1429212.667,1292033.667,1220295.667,919318,947658,928448,387450.333,407966.333,410387.333,76981.667,81447.667,68957.667,64262,72227,67883,66934.667,69073.667,61604.667,18684.667,15293.667,16579.667,12161,11687,12401,10779,12393,12464
10 h 50 min,1037998.333,894714.333,971829.333,899210.333,693401.333,795405.333,397133,403349,397065,896737,1031812,942802,900201.667,1135698.667,961915.667,471443.667,503469.667,446526.667,1407169.667,1277815.667,1205953.667,921133,943368,930704,388303.333,407059.333,411363.333,72916.667,79468.667,66521.667,60447,72067,64126,67081.667,69133.667,61324.667,17577.667,14217.667,15312.667,12977,12387,13862,11829,13568,12751
11 h ,1056575.333,914818.333,994133.333,914020.333,708046.333,811370.333,399966,409083,402386,899157,1035236,944178,907888.667,1124258.667,992043.667,484795.667,512682.667,457087.667,1432760.667,1292130.667,1220763.667,918850,948373,929562,389527.333,410167.333,410978.333,78287.667,83259.667,69998.667,66148,73993,69948,68309.667,71222.667,64704.667,19336.667,14788.667,18136.667,14256,13144,14176,11738,13420,13233
11 h 10 min,1056699.333,917472.333,992785.333,911118.333,708995.333,810297.333,398839,412741,405343,899804,1032568,941730,908342.667,1129332.667,991548.667,486349.667,513287.667,457293.667,1429817.667,1294564.667,1219333.667,915605,945046,928737,390640.333,409080.333,413783.333,77491.667,82346.667,69385.667,66420,74468,70704,69122.667,72622.667,65325.667,19188.667,14825.667,18082.667,15334,13862,14689,12161,13234,14458
11 h 20 min,1058239.333,916990.333,992469.333,912012.333,707743.333,813199.333,401506,413016,405315,901976,1036528,932902,911271.667,1127228.667,994092.667,488439.667,515446.667,459452.667,1428153.667,1291703.667,1224916.667,917791,947480,928751,390530.333,410125.333,412752.333,80520.667,85142.667,72063.667,68211,76544,70997,70318.667,73106.667,66384.667,21695.667,17020.667,19897.667,16005,14732,15494,12646,14656,16408
11 h 30 min,1040789.333,900751.333,974565.333,899018.333,698242.333,805017.333,400090,407254,400007,901729,1030904,922767,903969.667,1141405.667,963799.667,477727.667,507470.667,447104.667,1408421.667,1275931.667,1211674.667,924461,944221,935310,391369.333,410675.333,413260.333,78711.667,83278.667,71068.667,66626,77903,70074,68764.667,72707.667,67472.667,22862.667,15991.667,19260.667,15428,14174,16092,14376,15589,16358
11 h 40 min,1040996.333,901314.333,978292.333,899843.333,698434.333,807506.333,399169,407804,401905,903324,1031440,988607,901219.667,1146892.667,967347.667,478387.667,507511.667,447475.667,1406812.667,1275546.667,1204991.667,925533,942708,934513,391892.333,409053.333,411583.333,76854.667,83413.667,71304.667,64805,76849,68955,70504.667,73813.667,67032.667,21427.667,15824.667,19292.667,17747,16562,17740,14231,15644,16948
11 h 50 min,1041683.333,900269.333,972901.333,899540.333,701157.333,807327.333,400956,407020,401066,902471,1030767,1112570,902223.667,1145338.667,962094.667,477273.667,508639.667,447929.667,1410401.667,1274185.667,1210615.667,925547,944427,934939,390750.333,411638.333,414608.333,79963.667,83783.667,70806.667,68988,78813,73396,71197.667,73030.667,71357.667,22208.667,15974.667,21396.667,17933,17067,17579,15249,15769,16811
12 h ,1056465.333,915285.333,994036.333,912659.333,712446.333,819730.333,402139,414858,408767,903970,1030822,1150963,911835.667,1133897.667,994422.667,490337.667,519172.667,461061.667,1431536.667,1292914.667,1217133.667,919414,948140,932656,394834.333,412834.333,415323.333,83296.667,88046.667,75704.667,70977,80323,74150,73335.667,76990.667,70531.667,25577.667,18568.667,22186.667,19527,18376,18915,15630,16674,19466
12 h 10 min,1058143.333,917980.333,993596.333,916591.333,715320.333,819125.333,404614,414858,407942,906156,1029130,1193755,909456.667,1134860.667,994780.667,489250.667,519983.667,460649.667,1433461.667,1290507.667,1220034.667,922439,947796,934760,394889.333,412917.333,416231.333,84615.667,88557.667,75276.667,73516,80226,77868,73224.667,76827.667,74493.667,24921.667,17827.667,23943.667,20441,18895,19620,15639,16450,18936
12 h 20 min,1041793.333,902208.333,978869.333,906168.333,702601.333,811879.333,401781,409028,401795,905455,1016122,1186206,905495.667,1150206.667,966962.667,480505.667,511197.667,452109.667,1408902.667,1276344.667,1209515.667,929163,947315,935228,394106.333,412834.333,415969.333,83530.667,86884.667,75203.667,69606,82621,73690,73703.667,77680.667,71674.667,26062.667,18470.667,22784.667,20878,19811,21697,16991,17740,20445
12 h 30 min,1056727.333,920153.333,998849.333,923962.333,714646.333,823677.333,405755,417980,410953,906775,1008862,1189933,913127.667,1133870.667,1000775.667,495658.667,522995.667,465406.667,1434616.667,1290301.667,1223444.667,925574,951742,934788,395082.333,417317.333,417922.333,87773.667,91929.667,79449.667,76373,84247,78668,75122.667,81101.667,76405.667,29912.667,20806.667,25844.667,22001,19538,21521,18095,18434,22677
12 h 40 min,1052574.333,917980.333,999564.333,925818.333,713024.333,824117.333,408657,418392,411283,910845,1006606,1183924,916070.667,1134640.667,998822.667,497033.667,523132.667,467936.667,1434217.667,1290411.667,1224668.667,925189,953461,937098,397928.333,418225.333,418940.333,87535.667,91892.667,79998.667,76185,84848,79201,77082.667,81066.667,75547.667,30078.667,20847.667,26887.667,23851,21325,22407,18404,18748,23460
12 h 50 min,1053660.333,921954.333,1004955.333,929847.333,715925.333,824584.333,407020,420661,411778,911519,1219016,1175591,915767.667,1138284.667,1001861.667,494132.667,521854.667,466836.667,1436390.667,1286767.667,1223788.667,928036,948923,937235,397667.333,417468.333,419077.333,89488.667,92817.667,80099.667,78010,86174,80892,76645.667,78360.667,78303.667,29901.667,20343.667,27792.667,24749,22784,23034,18459,18522,24382
13 h ,1041023.333,920002.333,1002259.333,932047.333,716145.333,824873.333,408368,420441,412479,914434,1279657,1165992,916950.667,1139219.667,1000431.667,495149.667,522555.667,467744.667,1436720.667,1289696.667,1221010.667,926345,952224,936603,398437.333,419050.333,420631.333,90191.667,93860.667,81587.667,78528,85821,81590,77627.667,79024.667,79808.667,30959.667,21687.667,28651.667,25210,23674,24402,19339,19902,25126
13 h 10 min,1045396.333,917925.333,1000128.333,933587.333,712061.333,826083.333,407694,420290,413016,912894,1284552,1156174,915011.667,1139109.667,1000899.667,495438.667,524081.667,468927.667,1438618.667,1288857.667,1227322.667,927843,952760,939642,399771.333,418898.333,420837.333,89555.667,93458.667,80853.667,78581,86842,82643,79582.667,82797.667,79860.667,29626.667,20429.667,28548.667,27150,24664,25746,19554,19716,23896
13 h 20 min,1025361.333,907695.333,985401.333,920290.333,702504.333,816141.333,408189,418213,408340,913142,1295553,1139605,910129.667,1160189.667,974497.667,488755.667,516724.667,458792.667,1412408.667,1275230.667,1211316.667,934856,947205,942172,397103.333,420700.333,422350.333,88893.667,92902.667,80674.667,77494,89434,81000,80939.667,84166.667,80224.667,32490.667,21940.667,29144.667,29174,25970,27556,22291,20845,26488
13 h 30 min,1160202.333,908245.333,984040.333,923673.333,700414.333,814051.333,407433,419286,408533,912757,1282558,1128961,908081.667,1156847.667,972270.667,487683.667,517577.667,459521.667,1412051.667,1273264.667,1212416.667,935461,950381,942254,400761.333,423450.333,421937.333,89875.667,92998.667,80991.667,78024,89153,81554,80799.667,83503.667,80702.667,32143.667,22019.667,28777.667,29350,25970,27408,23328,21951,26310
13 h 40 min,1142051.333,920194.333,996085.333,935086.333,710026.333,822233.333,411173,422655,416220,915906,1267295,1128631,916166.667,1144884.667,1002013.667,499357.667,526955.667,470673.667,1439539.667,1290658.667,1223197.667,929768,954396,938583,402150.333,421126.333,422872.333,91709.667,94674.667,83684.667,79711,89581,84101,83633.667,86758.667,81937.667,32355.667,23386.667,30035.667,30203,28020,29162,22510,21663,27140
13 h 50 min,1130981.333,919699.333,996168.333,935595.333,708321.333,818534.333,411242,423783,416618,914751,1261767,1118758,915754.667,1146672.667,1002343.667,498202.667,526969.667,468995.667,1435606.667,1289118.667,1221272.667,931254,951385,940769,401256.333,421043.333,423299.333,91026.667,95517.667,83799.667,79945,88702,83336,84806.667,87316.667,82958.667,32249.667,22672.667,29654.667,31633,29132,30172,22821,21797,25984
14 h ,1121149.333,922491.333,995467.333,937933.333,703797.333,815399.333,413414,426120,415972,918078,1245954,1113753,914942.667,1145296.667,1001545.667,500870.667,527986.667,473959.667,1437187.667,1291511.667,1228037.667,931762,954424,941814,403855.333,424385.333,424412.333,94569.667,98279.667,85697.667,83279,93223,86501,85127.667,89441.667,83098.667,35312.667,24915.667,32891.667,31872,30161,30659,24765,22342,29428
14 h 10 min,1117368.333,921913.333,996635.333,938428.333,702656.333,806488.333,412699,425969,418585,917735,1233509,1102917,914227.667,1148748.667,1003319.667,499935.667,528289.667,472818.667,1434657.667,1288830.667,1227377.667,934251,952622,942818,404212.333,425664.333,423257.333,97123.667,99901.667,88004.667,84216,94533,88720,87435.667,91001.667,85796.667,38530.667,25795.667,33519.667,35560,31598,32198,26133,23110,31318
14 h 20 min,1114975.333,924017.333,994449.333,940174.333,693525.333,799338.333,412136,426656,418667,919055,1219043,1107551,914502.667,1148899.667,1001463.667,499577.667,528495.667,474056.667,1437916.667,1286712.667,1223967.667,934306,954437,941773,404721.333,426241.333,426173.333,97430.667,99280.667,87744.667,85376,93821,88344,85893.667,87452.667,86306.667,37549.667,26016.667,34715.667,33583,31030,31685,25936,23678,31581
14 h 30 min,1115855.333,924746.333,994600.333,937506.333,692411.333,692026.333,415807,428348,421019,920512,1208840,1105159,913498.667,1149545.667,1003704.667,499852.667,525181.667,472997.667,1438783.667,1283962.667,1226263.667,938005,953145,940480,406124.333,425939.333,425457.333,98015.667,100084.667,87368.667,85784,94235,89713,85547.667,87146.667,87666.667,37381.667,26329.667,34663.667,34193,32008,31912,27681,23595,32630
14 h 40 min,1111042.333,927345.333,990021.333,940147.333,678867.333,645755.333,414872,428760,422187,919880,1191720,1114056,914970.667,1148775.667,1005189.667,501049.667,526185.667,475321.667,1436019.667,1286354.667,1224943.667,938624,954658,940618,406165.333,425760.333,425169.333,98561.667,100587.667,88893.667,86510,95656,90373,86897.667,87461.667,88163.667,38169.667,26923.667,35186.667,36434,33135,33032,27312,24478,32538
14 h 50 min,1179590.333,925626.333,998340.333,935636.333,579943.333,497397.333,415257,425831,420372,917845,1246765,1186729,902223.667,1131092.667,998204.667,498656.667,527615.667,472034.667,1424427.667,1281514.667,1217848.667,931859,948882,937221,403662.333,425540.333,422776.333,98305.667,100359.667,88560.667,83787,97539,86175,91927.667,94332.667,82772.667,39139.667,27587.667,34494.667,38161,36627,37625,30260,25957,33020
15 h ,1094019.333,928349.333,975624.333,935567.333,505166.333,480813.333,413799,430424,427000,919962,1174972,1132482,908397.667,1156270.667,1007059.667,501860.667,529925.667,476256.667,1441615.667,1286643.667,1227047.667,939312,954424,940728,409465.333,428923.333,427520.333,100770.667,102255.667,91003.667,88247,97954,92505,89679.667,90759.667,89047.667,40293.667,28117.667,36640.667,37811,34969,34984,29081,25920,34602
15 h 10 min,1082674.333,932818.333,961351.333,934110.333,463226.333,501494.333,416742,432061,428114,922492,1160231,1145160,908562.667,1154757.667,1006523.667,503345.667,529802.667,476283.667,1440171.667,1286148.667,1222578.667,942529,957889,941044,409025.333,428854.333,428730.333,101419.667,102607.667,91613.667,89480,98698,92650,88911.667,90466.667,89959.667,40392.667,29212.667,37357.667,37414,34860,35127,30452,26559,34554
15 h 20 min,1075717.333,929366.333,925351.333,932419.333,470816.333,523757.333,416797,432377,428568,924706,1163531,1155074,907366.667,1154606.667,1006000.667,503482.667,531314.667,479240.667,1441615.667,1285928.667,1224489.667,943024,958040,944922,409630.333,431948.333,428675.333,102494.667,103317.667,92715.667,88761,100410,93931,91983.667,92664.667,90812.667,41917.667,29804.667,38292.667,40406,37135,37492,31977,27500,36386
15 h 30 min,1067769.333,932543.333,1043485.333,925516.333,475382.333,525105.333,418502,433601,428527,925311,1166529,1174903,907366.667,1159817.667,1004295.667,505435.667,531947.667,479033.667,1438123.667,1287839.667,1226167.667,942612,958384,944908,412449.333,432237.333,432154.333,102962.667,103589.667,93211.667,90954,100742,95217,93611.667,94603.667,90792.667,41151.667,32072.667,39210.667,40968,38244,38459,32181,29249,36224
15 h 40 min,1056795.333,929394.333,1121851.333,916481.333,493766.333,527484.333,418956,432611,428362,925119,1171960,1185835,906664.667,1158937.667,998960.667,507786.667,532772.667,479391.667,1437407.667,1292171.667,1224283.667,945486,959099,949047,411102.333,432237.333,431095.333,102632.667,103403.667,93394.667,89092,101319,93764,96681.667,99139.667,90441.667,42140.667,33122.667,38634.667,41457,41091,41238,33744,31083,35776
15 h 50 min,1053413.333,932130.333,1147248.333,855029.333,507242.333,526590.333,421335,432047,429049,923936,1179097,1198596,904780.667,1156242.667,1003924.667,503895.667,532235.667,478085.667,1437600.667,1285419.667,1229880.667,946393,957751,944166,411775.333,431948.333,432127.333,103291.667,104243.667,93730.667,92439,101951,97463,93404.667,94722.667,91217.667,42137.667,33895.667,39578.667,41294,38369,38843,33168,32951,35908
16 h ,1047789.333,932254.333,1130706.333,706960.333,504506.333,519013.333,421129,434178,426024,924596,1187086,1209321,906664.667,1160684.667,1006372.667,508666.667,533322.667,480271.667,1432498.667,1290823.667,1234019.667,945884,960612,948263,413288.333,433199.333,431783.333,105380.667,106586.667,95873.667,93006,104599,96971,97921.667,99731.667,91997.667,44539.667,34410.667,40893.667,43691,41100,40536,34441,34446,37715
16 h 10 min,1045410.333,930260.333,1116873.333,592511.333,521392.333,512096.333,423123,436090,428100,926054,1202350,1221051,906774.667,1160587.667,1007953.667,508254.667,532950.667,481605.667,1436720.667,1287097.667,1227817.667,948126,957848,949226,413907.333,435138.333,433846.333,106223.667,106263.667,95337.667,94317,104567,98443,96927.667,97963.667,92432.667,44500.667,34880.667,41564.667,44176,41044,41038,35217,36551,37629
16 h 20 min,1047128.333,932653.333,1108691.333,524280.333,526315.333,505496.333,422724,437753,428870,926659,1222893,1236067,907132.667,1159680.667,1004914.667,509629.667,535247.667,482444.667,1436362.667,1289778.667,1232066.667,947301,958013,949075,412710.333,434794.333,435757.333,106286.667,107240.667,96998.667,95085,105155,99390,97889.667,99410.667,93276.667,45527.667,35001.667,41790.667,44643,41744,42391,35879,37904,37994
16 h 30 min,1042577.333,928142.333,1104428.333,477032.333,523056.333,505936.333,423425,436956,428774,926796,1214891,1236864,905482.667,1164066.667,1004061.667,507731.667,534614.667,480862.667,1436720.667,1285818.667,1228587.667,949185,957531,948662,412380.333,434767.333,435372.333,107436.667,107100.667,96483.667,95557,105407,99867,97650.667,98940.667,94200.667,45026.667,34658.667,42174.667,44993,41878,41931,36248,39309,38017