,,"Negative Control","Negative Control","Negative Control","Sense only","Sense only","Sense only","Sense with 5 nM STAR","Sense with 5 nM STAR","Sense with 5 nM STAR","Sense with 10 nM STAR","Sense with 10 nM STAR","Sense with 10 nM STAR","Sense with 15 nM STAR","Sense with 15 nM STAR","Sense with 15 nM STAR","Se1 + St1 oligo (I)","Se1 + St1 oligo (I)","Se1 + St1 oligo (I)","Se1 + St1 oligo (II)","Se1 + St1 oligo (II)","Se1 + St1 oligo (II)","Se1 + St1 oligo (III)","Se1 + St1 oligo (III)","Se1 + St1 oligo (III)","Sense with 15 nM STAR and 15 nM antiSTAR","Sense with 15 nM STAR and 15 nM antiSTAR","Sense with 15 nM STAR and 15 nM antiSTAR","Sense with 15 nM STAR and 10 nM antiSTAR","Sense with 15 nM STAR and 10 nM antiSTAR","Sense with 15 nM STAR and 10 nM antiSTAR","Sense with 15 nM STAR and 5 nM antiSTAR","Sense with 15 nM STAR and 5 nM antiSTAR","Sense with 15 nM STAR and 5 nM antiSTAR","Se1 + St1 oligo (I)+ antiSTAR","Se1 + St1 oligo (I)+ antiSTAR","Se1 + St1 oligo (I)+ antiSTAR","Se1 + St1 oligo (II)+ antiSTAR","Se1 + St1 oligo (II)+ antiSTAR","Se1 + St1 oligo (II)+ antiSTAR","Se1 + St1 oligo (III)+ antiSTAR","Se1 + St1 oligo (III)+ antiSTAR","Se1 + St1 oligo (III)+ antiSTAR",Sample,Sample,Sample,"Positive Control","Positive Control","Positive Control"
"2 h 38 min",,36753,44902,43827,59384,52474,53104,70575,75420,69837,94204,84561,102005,128080,120530,111215,52351,45286,53396,48606,54823,49331,47942,54660,57255,40758,46783,40482,55602,50753,55919,52917,55912,49282,53613,59334,57186,53034,49609,53258,50160,50784,46233,47332,47514,49826,123634,140818,125193
"2 h 40 min",,36733,43918,43230,58959,52767,53321,70601,73495,68551,92361,82886,101120,129159,122640,111252,54401,46570,53451,49044,53117,48328,45251,51076,54343,41082,44338,39063,53148,50285,56533,53832,56812,49563,53788,57540,54602,53140,50136,53869,48522,50535,47010,47423,47816,49440,123213,142964,126585
"2 h 42 min",,38326,46801,44354,61162,53687,54853,73071,77808,70335,96085,86238,103463,131437,126480,113875,56682,46523,54886,48674,55594,49842,50349,54350,60984,41467,47911,40766,58713,54889,57046,55153,57790,50743,55571,60336,56588,53276,50633,55111,52137,52364,47829,49110,48430,50130,126474,145455,129108
"2 h 44 min",,36865,44772,43186,60528,52411,52574,71081,74476,69657,95629,84514,102359,133277,126212,112618,54123,47819,53012,48715,55427,49198,46267,51968,53769,41440,45004,40769,55999,51255,59545,56079,59101,52409,53011,57679,55247,51611,49979,53399,48761,50807,48088,49393,48687,50508,128746,148254,130268
"2 h 46 min",,41605,48045,46677,63735,55778,56544,73720,79516,73986,99782,92822,109555,134895,128212,119800,57095,47568,59260,52018,60419,56246,52668,60178,60058,43003,49925,44763,59658,53246,60296,56756,59625,52900,55023,62874,64249,59500,51877,58076,52137,54987,49844,49699,50086,51862,128813,150394,133478
"2 h 48 min",,37528,45060,43538,59852,53817,54132,73170,74973,70887,96944,89983,104661,136417,128081,114889,54872,47550,54592,49597,55102,48882,44949,50869,52676,43066,44739,41074,57117,53658,58174,57351,59960,53135,55684,60056,54333,52548,51326,54543,49164,51873,48054,49058,49241,51135,130299,152498,133179
"2 h 50 min",,39001,47529,44786,62018,54274,55798,73894,76717,71875,97340,90121,107019,140335,129799,116582,57322,47949,55781,50443,54990,52875,45885,54668,53296,43425,46843,42100,59431,57145,59372,58150,60728,53774,55720,58768,57168,52406,52312,55021,52472,52350,49310,50265,50338,51504,132372,154734,134730
"2 h 52 min",,39555,48820,45262,61511,55417,56193,74574,75675,71107,98028,90641,108734,142537,130102,116722,57403,48081,57274,49246,55123,53743,45055,52488,52229,43296,45782,41347,60258,56484,60241,59393,61207,55307,56566,58904,56476,52543,52347,54856,52656,52302,50316,51396,50194,51250,133235,157413,136119
"2 h 54 min",,39184,46736,45405,62158,54839,56210,74714,78142,72132,101865,90793,109096,143058,134349,120374,58678,48412,57449,53117,56275,52259,49941,54504,57997,43815,47857,43245,58748,55069,60759,59593,62215,56039,56996,60294,58747,56100,52887,56894,50865,51658,50184,50903,50172,51811,134638,160239,137933
"2 h 56 min",,39208,46605,46049,62696,54828,56756,75523,79443,73395,103976,95924,110606,145506,135239,122535,59659,48856,57439,53677,57157,51985,50023,55528,59254,44390,48883,43225,61370,56742,60469,60221,62487,57523,57467,61899,58370,55555,54192,57254,50859,52472,49641,51630,51240,52548,137259,163062,141034
"2 h 58 min",,39261,46891,45325,62039,54787,56045,75179,78109,73009,102430,93973,111328,146234,136826,122563,57470,49894,57174,52871,55993,52457,48353,54551,55801,44337,48249,43305,60464,57144,61735,61504,64063,58920,57226,60996,57543,55054,53929,57398,50555,52445,50522,51676,50758,52682,138173,166501,141688
"3 h",,39441,47015,46243,63325,55299,56668,76660,80551,74865,104688,96717,112479,148484,139681,124433,59986,49866,58108,54137,57537,53313,49183,55856,57246,44984,49046,44409,62338,57889,62318,62305,64389,59701,57278,61935,58634,55554,54595,58012,51286,53268,50909,51980,51642,52900,140645,168801,144786
"3 h 2 min",,41624,48292,47446,65695,55591,58262,76894,83055,76694,109522,96414,115443,150638,141470,127074,62149,50141,57278,55011,60873,54379,55149,59319,63019,44747,51169,45781,64702,58811,63750,62785,66193,61895,56693,60963,61169,55239,54245,57540,52204,54577,51770,53447,51578,52667,143581,170585,147725
"3 h 4 min",,44355,51485,49536,68702,58505,60560,79011,88820,80297,109297,103795,121923,154488,144590,131008,63682,50776,63907,56667,64387,60553,59518,66500,68063,46220,56668,48867,67820,62144,64679,64552,66636,63409,58321,64592,69403,61229,54966,61168,54487,56281,53308,53995,53027,54379,143916,174966,148793
"3 h 6 min",,40867,47599,47040,65601,56117,57702,77261,81993,76134,109309,97766,117730,156018,144349,129709,60549,51275,59171,54531,60905,54901,53921,57904,61174,45883,50928,46067,64434,58396,66483,65107,68835,65560,56538,60150,61542,56122,54490,56810,51605,53880,52644,53739,52855,53349,147882,177680,152292
"3 h 8 min",,41332,49178,47035,66911,56892,58613,77884,84073,77435,108519,102749,117616,156863,146644,128844,60629,51728,59345,55383,61221,56142,53615,59027,61147,45881,51831,46297,67663,62707,66600,66043,68850,66192,56397,60211,60118,55570,55022,57326,51913,53976,52686,54824,53532,53949,149078,180343,153808
"3 h 10 min",,42355,49348,48741,67944,58690,60914,79824,86027,79265,115102,105304,120856,160584,149728,134558,64666,51885,61180,58758,62348,56526,56190,60265,66095,47731,52608,47399,68090,62808,65230,65987,68636,66426,59026,64641,62067,59367,57276,60539,52586,54966,53348,54534,53677,54104,149605,182825,156329
"3 h 12 min",,42612,50765,48305,68370,58305,60007,79369,89015,80357,113203,105100,123139,161938,152220,136048,62083,52558,60771,55508,63835,58317,59616,62676,69473,47000,55345,48387,71605,66071,68345,68353,71528,69061,57898,62167,64051,56913,55560,58828,53656,55616,54998,56024,54279,54525,153579,186055,159427
"3 h 14 min",,45685,51848,51086,70769,60495,63232,81355,90765,82627,118516,108405,128574,164807,154384,140903,65926,51998,65577,59809,67246,62731,62104,70303,71154,48020,58771,51389,71852,63718,67829,68155,71258,69021,59782,67179,71032,64048,57936,61281,54195,57023,55463,55063,54806,55686,153263,189881,162550
"3 h 16 min",,43571,49859,49775,69249,59916,62700,80921,86852,80240,118693,107654,126202,166693,155025,140729,66508,52214,63984,59959,63756,58211,58621,63002,67213,48155,55366,49013,68686,62275,67574,69030,71029,70701,59598,65344,65404,61587,58452,60466,52681,55313,55256,55015,54806,54772,156415,192463,163131
"3 h 18 min",,42659,50500,48095,69462,59111,60136,78739,87098,81392,115647,106592,127210,169079,155615,139439,61084,52930,62752,58017,64297,59293,57405,62015,64902,48356,54722,49365,69375,64031,72081,71087,73462,73092,57526,61930,64220,58770,56228,58531,52485,55381,55727,55572,54934,55238,158770,195764,167963
"3 h 20 min",,45356,53383,51244,71000,61103,63734,82218,92915,84790,120965,110137,133119,172700,162345,146115,68035,52682,66603,60325,66279,61839,65110,69062,74153,48975,60929,51111,73375,68784,69839,70715,73132,73112,59772,64956,70104,62430,58057,61706,54775,56645,56424,56573,55722,55046,159927,198980,168914
"3 h 22 min",,44159,50274,49737,69410,59738,62322,81297,87801,82091,118002,113003,125939,173304,158528,142149,65098,53028,62208,58814,63965,57267,54687,59504,61795,49194,52235,49498,73309,66515,70502,71534,74377,74584,58382,61566,60802,56657,57773,58863,52729,55366,54054,56798,55108,55331,164564,200260,171770
"3 h 24 min",,43498,50611,49157,68794,59575,61933,80807,86502,81417,119073,111068,127750,174965,162855,144039,64661,52909,62954,59142,63859,57807,55737,59497,63564,48682,53287,48979,73407,66387,71000,72712,75224,75982,58313,61826,60873,57539,57575,58465,51709,54514,54788,56856,55136,54907,165737,202086,172882
"3 h 26 min",,47738,53454,52732,71961,62298,65979,84607,88543,83604,120814,113033,131300,176756,161992,144701,70781,52179,65558,60552,64249,61763,56961,64876,63763,49897,54789,49309,74893,70255,70469,72038,74627,75897,60338,62997,64895,59319,56962,60096,54837,55371,56210,56519,54303,54507,163748,204660,173682
"3 h 28 min",,46173,56077,51090,70288,62584,63292,80922,85472,82375,118793,112789,131760,180201,164481,145121,65282,52134,67665,57980,64482,66301,53946,64462,60921,50087,55442,49126,73299,69181,71810,72637,74895,77937,59296,61645,67278,59435,56950,59070,54394,55473,56905,56495,55468,54727,164793,207288,174099
"3 h 30 min",,48845,55029,53857,71745,63607,65797,85835,94166,85660,126729,115871,137909,184258,171387,153911,69522,53199,68161,61066,66863,61952,66502,68439,77292,50816,61040,51357,78176,72548,72222,74731,76371,78432,60944,64935,68879,62680,58102,62240,55219,56333,57310,57843,56224,55175,171269,214059,179732
"3 h 32 min",,46255,53001,51809,71018,61701,63750,81865,89236,84455,124250,117318,133402,182929,170681,150650,66191,53559,63876,60261,65440,59169,58112,62538,66647,50353,55180,51036,76262,69806,73828,74593,77292,80727,58111,61268,62638,58653,57046,59129,52500,54736,55461,57792,55929,54717,173361,214143,181757
"3 h 34 min",,48416,53351,54142,73070,62815,67221,84378,91108,85497,127595,119292,136774,186713,173603,155417,70330,53425,66773,63449,65885,60919,61031,65741,69437,51476,57650,52102,75416,69924,72706,74975,77909,81309,59395,63366,65514,62019,58621,61962,53376,54952,56996,57348,56904,54979,173808,216753,181879
"3 h 36 min",,49870,55633,55219,74801,64873,68185,85298,91318,87259,128327,120632,140640,189801,174689,154923,70915,53078,68425,61041,66593,64484,60063,68641,69077,51793,58997,52170,79132,74550,74339,76073,77911,82075,60050,62959,67919,61138,57759,60975,54632,55938,58078,58247,56370,55339,175083,220467,184756
"3 h 38 min",,47976,56298,53826,71836,63445,65490,84423,89057,86353,129472,120807,139815,191920,176396,159268,68163,53682,68279,60528,65674,62132,59790,62979,71131,51571,56306,50957,79532,71715,74215,76635,78827,83912,60461,63395,64921,61330,57935,60105,53784,54802,58456,58925,56787,54895,178243,223520,186302
"3 h 40 min",,48798,54143,54769,72189,64154,66177,82832,90584,86192,132364,120178,139922,194209,180169,161664,69227,53565,68984,64640,66264,61755,61844,64630,71926,51772,57966,52504,74966,70251,74828,76830,79295,84410,60107,64122,66982,63647,59086,61438,51768,54730,57561,57537,56753,54956,178938,225348,187982
"3 h 42 min",,53556,58749,57171,77667,66890,69118,85944,100105,93781,134074,128512,148294,198005,187162,167545,72046,53671,73185,64785,73823,69607,72833,77831,81076,51847,66342,57988,81778,75173,77409,78416,80212,86290,60069,65832,77101,67783,58916,63414,54935,58214,59584,58443,58018,56516,181657,228195,191991
"3 h 44 min",,50692,57251,55671,74072,66095,67681,83221,92240,88648,132902,124276,145054,198865,184903,164506,70471,53569,69656,64571,67576,65501,61729,68923,70204,52573,59434,53647,79033,74780,76396,79150,80723,87520,59194,62427,68224,63002,58489,60667,53361,55294,58393,58629,57501,55665,184847,230698,190435
"3 h 46 min",,52177,57915,56494,77825,65915,68749,86694,94908,90556,134541,125709,146450,200879,184856,165410,72249,53388,69336,65096,67521,67432,61194,73038,67942,52930,61288,54998,79714,78338,78101,80084,81986,88322,59366,61279,70697,61331,57790,60189,54968,56254,59004,58817,57476,54959,185205,232018,192095
"3 h 48 min",,50738,59282,55157,74981,65990,67373,84995,89373,88205,132485,125166,144333,201120,184359,165115,69032,53123,69512,61889,66660,68202,58405,68125,65432,52562,57691,52287,78479,75718,76958,79602,82034,88716,58655,60291,67559,60284,57115,58613,54699,54868,59431,58422,56308,54250,184527,231344,192720
"3 h 50 min",,53657,58736,57254,77363,66625,69377,87846,99389,92889,139634,127626,150508,206950,192377,173022,73711,53667,73373,63912,70404,66586,72931,75137,83724,52871,66167,55567,82783,78418,77665,80559,82093,89421,59656,64159,74373,64772,58155,62086,54711,56799,60587,59598,57856,54567,188566,235964,195764
"3 h 52 min",,51733,60888,56295,77391,66688,70010,84412,91202,90476,135684,128987,148285,206536,190983,170280,71582,53455,72053,63066,69139,71265,60834,71289,68168,53372,60186,54772,81205,78073,78760,81190,83218,90832,58381,60695,71876,61412,57379,58969,53979,55096,59815,58649,57784,54929,188234,237339,197421
"3 h 54 min",,58303,61329,60665,81571,69049,71183,89061,100404,97408,144404,135996,158138,210099,197783,180034,75549,54026,77316,68812,76272,73645,75628,81926,82238,54005,69663,62421,84367,76684,82007,81587,83572,92448,59221,65621,80306,70419,58774,62888,54191,58191,61592,59023,57650,56282,191617,239319,201753
"3 h 56 min",,51376,59127,55525,75033,66237,68043,82745,93983,91086,137320,133330,148110,208117,195807,174112,68960,53956,68765,62986,69063,64734,63799,68861,73567,52569,60565,55524,84646,78237,80446,82339,85288,93243,56416,59109,66589,61004,56709,57961,52256,53996,59236,59452,57385,54542,194160,241093,201503
"3 h 58 min",,53677,60783,57523,77992,67718,70038,85572,93235,92376,140023,132752,152083,211727,196258,175308,71522,52810,71886,65112,69100,69985,61959,71825,67911,53891,61504,56451,82375,80792,80510,82613,84262,93830,57770,60780,71049,62568,57042,59337,53772,55463,60260,58580,57645,54663,193103,241437,201660
"4 h",,50990,56711,55840,75744,67007,69403,82157,92358,90122,143153,135204,147566,213990,198769,178275,69742,53585,68410,66708,69369,63331,64639,65705,72030,52756,59149,55251,83597,75055,80066,83166,85501,94685,56363,60556,65938,61273,57654,58509,50215,52845,58164,59080,57105,54220,196565,241726,203008
"4 h 2 min",,53871,60745,58689,77119,68434,71361,85190,91659,91907,140391,135901,148354,211134,196729,178366,72651,53030,72257,66612,68263,66222,62504,67984,69859,53752,59018,55134,82871,78563,79054,81595,84038,93975,58322,60825,66589,63022,57502,59693,51223,53040,59293,57926,55859,53923,193748,242427,201241
"4 h 4 min",,58914,62587,61014,82514,70639,73662,86570,101500,99231,149387,141346,161170,220467,208864,188451,74719,53743,76893,69908,76916,74093,77149,81859,83466,55094,70635,62333,86181,79207,83613,83747,86110,95924,57854,64469,80151,70216,57943,61942,51665,57190,62785,59456,58159,55655,198190,247652,210016
"4 h 6 min",,59843,62653,62231,83010,71714,74811,86445,99828,99569,150255,145660,162967,220247,208426,190881,74074,53207,79072,70835,78729,75181,77283,80850,82285,55608,68781,63647,87276,77155,85444,84129,86797,96759,57838,66093,80342,71927,58494,61559,52345,57121,62645,59301,58228,56622,198817,248725,209088
"4 h 8 min",,53275,58759,58415,77507,68734,71842,82824,93328,92694,150333,136096,156020,222736,207623,186947,72522,53104,73340,70854,70531,65927,69006,69762,76616,54332,62551,56995,82092,74803,82240,84390,85999,96785,57437,62544,71634,67749,58760,59258,50125,53419,61260,59038,58047,54665,200211,250526,207025
"4 h 10 min",,55315,62410,60746,79699,69937,74638,88397,98129,97386,148987,145387,158698,223148,208728,189873,75152,52613,72577,68168,72667,68370,71018,74165,81679,55229,65082,59595,90297,85304,82249,84687,86675,97508,57772,62429,70352,64728,57870,60003,53084,55421,61791,59628,58446,55404,203116,250774,210495
"4 h 12 min",,54072,58397,57613,78017,69068,71950,84034,93887,94036,152021,137404,156683,224922,211054,189644,70364,52737,71481,68298,71975,67025,70641,72496,75948,54460,64056,58977,83321,75963,85643,85712,88361,99577,55480,59394,72340,64687,56853,57395,50752,53857,61680,59905,58267,55141,205091,251736,211761
"4 h 14 min",,55416,64302,59724,78118,70527,73023,84252,92250,95349,144644,145340,155121,225115,207825,186525,71720,52076,73151,67222,70212,69273,63536,70371,71376,55396,60580,56366,86546,82427,82259,84644,86448,98307,56757,60318,69811,63417,56178,57899,51149,53798,61088,58378,57533,53898,201735,250898,208199
"4 h 16 min",,53384,59142,57722,76536,69043,71683,81865,94300,94113,151629,145260,155352,224551,212574,189761,69244,53239,69222,68048,69640,63437,66490,67311,75600,54486,61184,56569,87752,78574,83336,86359,88185,100914,55840,58792,65734,61714,56409,56695,49625,51779,59286,59597,57389,54106,206990,253648,213481
"4 h 18 min",,55937,63491,61298,78152,70874,73924,85833,91992,95233,151985,144909,158802,229955,212325,193778,72720,52933,72324,67359,69218,66291,65937,67307,75517,55154,61171,55773,88644,81696,83117,85920,88060,100468,57529,60320,67406,64183,57114,57728,51423,53158,61566,59573,58114,54249,206445,256027,212849
"4 h 20 min",,58420,64804,62311,82429,72455,74861,86235,93263,97796,152903,144243,162050,231289,214669,191838,72692,52831,74477,68698,70513,71758,64235,73641,69637,55576,63117,58864,87910,86070,85973,87114,88376,101890,56576,60426,71887,63419,56293,57421,52154,55142,62363,59541,58727,54705,206972,257580,214623
"4 h 22 min",,62003,65575,63845,85281,73682,77171,86718,102194,102780,159043,154395,167049,231619,225238,202329,74753,53198,78617,73070,77283,75265,80154,81997,84845,55917,71174,65189,90066,81382,86627,87075,89121,101974,56239,63620,80963,70158,57382,59348,51309,56133,63044,59284,58391,55565,208805,260276,217194
"4 h 24 min",,56278,60344,60096,79883,71035,74446,81900,93826,96444,155198,147721,158281,232595,222296,196149,71808,52990,71037,70994,70995,66309,68790,69250,74309,54439,62182,57480,87782,79630,85924,87247,89285,102676,55312,58533,68095,62822,56112,56742,49469,52253,60107,59453,58078,53568,210479,258488,216644
"4 h 26 min",,58834,64609,63744,81739,72815,77604,86874,98913,101042,160333,152302,164519,234341,223795,200294,75510,53272,73940,70432,72353,67943,74898,74553,83546,56056,67296,60194,92237,86078,84506,88049,88795,102662,56744,60886,71575,65463,56627,58380,51273,54589,62333,59750,57977,54652,209261,260234,220013
"4 h 28 min",,55156,59659,59854,77722,70159,73273,81474,91642,95001,159305,146689,158535,235428,224166,197511,69620,52873,71069,70732,69878,63830,69205,66939,74632,53954,61574,56548,87315,77496,87006,87857,89566,104185,54891,58690,67721,63249,56335,55691,48220,51616,60237,59177,57917,54248,211500,261499,218005
"4 h 30 min",,61392,65732,64098,84465,73929,77892,84929,101385,103654,163887,158868,170403,238329,231110,207723,73570,52920,77624,72926,77503,73857,79869,81203,84378,55250,71799,65041,91885,82292,88057,88561,90072,103557,56110,63592,79910,69951,57112,59302,50218,54720,62706,59099,59082,55469,214609,261733,222750
"4 h 32 min",,54419,59948,59131,76436,70720,72401,78904,88467,94509,156299,146349,157804,235937,224537,198518,65998,53312,69788,68375,67360,61842,63402,63035,68329,53840,58306,55208,85060,79161,86006,88204,90838,105232,54162,56643,64481,60840,55720,54316,47476,50236,59729,58754,57044,53054,213729,263713,219738
"4 h 34 min",,57355,61881,61330,79834,71500,75061,82300,95310,97968,164540,152704,163122,238508,228195,203042,70199,52937,71026,71199,71233,65266,73533,70678,78684,54389,64075,58650,90873,80165,86273,88513,90614,105089,53989,59026,69843,63254,55863,55892,48988,52623,61110,59184,57972,53182,213938,263493,220494
"4 h 36 min",,57856,62593,63024,79429,73885,76686,81497,92856,97379,165778,153730,164185,240502,230216,205249,72037,52361,73479,73742,69749,65943,69842,69096,76150,55651,62648,58265,88757,79540,85237,88230,88635,103583,55659,60424,70236,65617,57452,56682,48535,51238,60564,59296,58441,53907,212642,264360,220261
"4 h 38 min",,56979,61560,61373,78172,71844,75900,80687,91157,97204,163036,156117,161704,240158,229597,205018,69458,52502,72048,70511,68433,64881,64832,66296,71737,54542,61453,57978,87145,79631,85578,88431,89251,104898,55068,58689,66429,63232,56908,56619,48732,51356,59909,58468,57686,53418,212297,264415,220563
"4 h 40 min",,60046,63712,64737,81261,74586,79031,82909,94562,98723,172456,155266,168434,242771,234589,211914,75188,52955,75135,74797,72694,68126,76244,74095,79694,55065,67490,61218,89404,78928,86118,87737,89216,105366,55474,60670,75443,67761,57878,57578,48751,51442,62220,58710,58241,54248,213059,265693,219821
"4 h 42 min",,57245,62224,61166,77538,72946,75012,80177,88550,97079,163431,155554,163032,242289,230409,205470,67577,52272,71599,70391,67098,63942,63058,64144,68315,54562,59198,56891,88104,80246,85638,88745,88967,104998,54604,57827,65546,62210,56491,55362,48092,50311,60316,58402,57145,52570,215805,266945,221058
"4 h 44 min",,57479,62750,62001,78121,73186,75514,80667,89463,96876,164787,157099,163130,245095,232911,208358,68693,52356,71658,70499,67350,64251,65394,65939,69996,54646,61084,57736,87537,79470,85690,88403,89761,105481,54965,58050,66344,63206,56793,55698,48118,50565,60241,58105,57513,52836,213624,267454,221127
"4 h 46 min",,62468,67540,67174,81664,75475,78353,84797,91178,100067,165598,158447,165331,245191,231908,207724,73110,52381,73992,72965,68370,67804,65090,68134,69379,54927,60307,58136,91779,86705,86632,89696,89593,106415,55704,59246,67034,62205,56365,56917,49684,52933,62114,58508,57380,52919,217978,269227,222915
"4 h 48 min",,61815,63926,65897,82318,76183,81125,82549,93905,100257,172358,159282,168782,245837,240529,213818,74358,52798,75699,75241,72363,68618,76006,73460,79044,55105,66839,61339,88836,79062,87576,88671,89276,106075,55036,60481,74986,66630,57291,57407,48326,51511,62566,58106,58100,54410,218115,268705,221663
"4 h 50 min",,68141,68848,68748,87333,78475,82227,84973,96915,106500,178199,167190,176686,247460,245260,221663,74313,53477,80040,78401,77995,75844,80834,80651,82123,56281,70666,66611,93914,81602,92576,89729,90668,107047,54404,64024,81108,71555,57174,58835,49662,54081,65338,58508,58461,55630,220164,270671,225293
"4 h 52 min",,60386,63888,64122,79175,75171,78556,81229,91672,97621,171793,157285,167230,248917,239608,216562,71097,52750,74481,74469,69295,64611,71056,67604,75414,54440,62315,58121,86380,78173,87133,89455,90540,106892,54423,59100,70817,65654,56641,56428,48325,50984,61541,58102,58025,53515,219766,270520,222186
"4 h 54 min",,60092,69649,64816,78626,74126,78242,83734,86998,98016,165741,159569,166016,250004,237628,215118,70297,52664,72378,69279,66197,67791,62136,64773,67449,55159,58924,55495,90814,84120,87342,90190,91171,107792,54171,56892,66535,60307,54289,55288,49602,51588,61889,59182,57668,52680,218322,270823,223753
"4 h 56 min",,60474,68301,64202,80153,73821,77084,83414,90049,99403,165133,162107,164900,248849,238302,212551,68817,53488,70064,68976,67891,67604,63604,67969,66283,54228,59558,58178,91436,87575,89972,90766,92331,109449,52637,55727,66214,57837,53181,54485,49829,52394,61734,59120,57095,52960,223657,271648,226751
"4 h 58 min",,58645,64204,62771,77397,73506,75966,79423,89324,97708,166378,161279,163525,248725,241107,215434,65345,53111,70078,70221,66694,63245,64429,64473,68694,53117,59027,56265,88237,81391,89244,90411,92107,109199,52302,55282,64235,59419,54044,54280,47289,49631,60214,58466,56845,52300,222351,272885,226256
"5 h",,60067,65192,64324,77577,74996,78324,81294,89416,98793,170802,164549,165905,250361,241781,220096,68697,53160,72200,71957,67102,62963,66100,64978,71455,54223,59848,57641,87868,80631,86032,89484,90198,107549,54356,58512,66456,62720,55308,56555,47770,50408,60331,57396,57160,52589,219903,271909,224290
"5 h 2 min",,61843,65789,65770,78700,76305,80562,81421,91105,99677,173576,166952,166177,250347,243018,220522,70960,53493,73332,73154,68082,64029,66653,66063,71611,53891,60891,57878,89252,81007,86817,89412,90029,108529,54484,58401,67246,62591,56652,57238,47555,50905,59933,57523,56707,53135,221031,272748,224482
"5 h 4 min",,63228,71474,67743,80842,77241,80639,84311,89522,99156,166937,166989,167335,250815,241616,218514,71178,53783,74207,71130,67842,69586,64754,68341,69255,54311,61039,58184,90144,86867,88268,90020,90149,107672,53865,57333,68263,61337,54433,57430,49512,52920,61769,57818,56550,52867,219711,271964,225665
"5 h 6 min",,67786,70435,68849,85324,78326,83142,85367,98651,107528,176379,169163,175048,251723,249811,225238,73103,53233,77820,74610,73358,71254,80153,77741,82579,54749,69530,64012,91962,83828,90806,89359,90004,107594,53231,59461,78881,64615,54433,57421,49497,53916,63099,57684,57220,54103,218808,273119,228209
"5 h 8 min",,60058,64036,63617,76476,75119,77821,80584,88175,97686,170648,165384,161550,248794,240901,217785,66672,53331,69083,70078,66133,60155,62370,61697,66070,52784,56207,55514,90413,80644,87140,89294,90868,109255,51230,55379,62425,57792,54010,54528,47036,49894,58964,56659,55727,51428,223052,272693,224895
"5 h 10 min",,62258,71685,66709,78703,76016,78868,84308,88946,99328,167897,168683,164442,249949,240584,220096,69749,53073,72047,69485,66784,67204,63486,65927,68541,53992,59052,56192,90454,86048,87292,88603,90280,107485,52846,57233,66731,59233,53038,56524,49559,52061,60971,57161,55575,51826,220412,270424,223327
"5 h 12 min",,62070,72335,66539,77951,76089,79045,85763,86666,98096,168000,166505,163392,251654,240406,219477,69542,53227,73066,67715,65246,65327,61984,63785,66689,53796,57499,54545,90056,83380,86962,88404,89608,107882,52953,56380,64712,58618,53138,56203,50334,52002,61848,57329,55126,51753,219834,270327,222433
"5 h 14 min",,59833,64082,63967,75696,74217,78253,80225,89137,97829,172313,167473,160690,249522,243568,219752,65863,53294,68687,69881,65610,59444,62905,61372,66662,52854,56560,55989,90240,80185,86335,88757,91269,109378,51552,55363,61694,56855,53826,55025,47411,49572,57999,56497,55580,51964,223080,271716,225678
"5 h 16 min",,64929,66953,68916,79448,77635,83644,83765,94245,101433,183376,168933,168356,250746,247790,226531,72515,53255,73945,75379,69397,63700,74163,68593,76463,53235,62504,58743,90125,79866,85839,87730,89272,108319,54153,60099,71015,62757,56832,57248,49018,51426,61260,56454,55991,52117,221801,274535,224592
"5 h 18 min",,67656,71138,68691,85509,78787,83464,84307,97954,106722,184219,176239,174125,253043,252231,232953,70852,53729,76689,74621,73394,70191,78244,76037,78970,53455,67145,65108,92702,81169,91412,89087,90346,108266,52953,61855,77578,64630,54954,58374,48540,53153,63448,57187,56662,54571,223272,275085,228250
