time,Negative Control,Negative Control,Negative Control,0 nM,0 nM,0 nM,15 nM,15 nM,15 nM,10 nM,10 nM,10 nM,5 nM,5 nM,5 nM,3 nM,3 nM,3 nM
0 h ,15792,15460,15984,16009,16120.5,15923.5,14860,15283,15574,15544,15141,15554,15197,15993,16247,14788,16327,16400
0 h 2 min,15740,15062,15966,16027.5,16252.5,16005.5,14835,15268,15620,15456,15264,15441,15404,15818,16222,14924,16339,16483
0 h 4 min,15206,15211,16140,16210,16312,16297.5,14860,15322,15678,15356,15000,15669,15570,15965,16488,14838,16269,16606
0 h 6 min,15047,15042,15662,16332,16527,16211.5,15199,15711,15782,15731,15196,15875,15338,16140,16486,15063,16277,16689
0 h 8 min,15232,14939,15567,16630.5,16752,16720.5,15109,15684,15854,15625,15088,15807,15561,16134,16604,15260,16720,16744
0 h 10 min,15128,15017,15428,17002,17115.5,16938,15565,15926,16096,15823,15464,16451,15954,16147,16605,15159,16828,17091
0 h 12 min,15384,14809,15413,17037.5,17001.5,17062,15528,15993,16284,15736,15086,16344,16034,16589,16916,15464,16745,17192
0 h 14 min,15204,15117,15608,17111,17335,17284.5,15665,16001,16530,15763,15478,16566,16141,16833,16873,15565,17178,17157
0 h 16 min,15626,15140,15663,17243,17539,17474.5,15873,16307,16649,16199,15528,16591,16392,17008,17024,15568,17188,17373
0 h 18 min,15510,15159,15765,17682,17616.5,17674,15734,16474,16915,16215,15591,16770,16412,16718,17488,15780,17450,17534
0 h 20 min,15588,15237,15844,17784,17848,17722.5,16104,16677,16950,16286,15844,16747,16387,17173,17364,15896,17519,17483
0 h 22 min,15432,15236,15895,17985.5,18199.5,18192,16169,16812,17016,16506,15932,16710,16609,17121,17338,16111,17497,17620
0 h 24 min,15492,15228,16098,18163,18235.5,18153,16209,16783,17440,16504,16021,17271,16682,17211,17671,15967,17620,17575
0 h 26 min,15721,15405,16168,18495.5,18700,18482,16591,16927,17550,16666,16217,17428,16696,17181,17597,16198,17797,17884
0 h 28 min,15363,15487,16118,18622,18739,18718,16584,16960,17717,16695,16145,17415,16705,17419,17886,16299,17613,18047
0 h 30 min,15856,15330,16319,18905.5,19009.5,18933,16780,17205,17745,17059,16311,17503,16960,17576,17875,16446,18041,18282
0 h 32 min,15582,15558,16354,19231.5,19243,19186.5,17065,17039,17966,16851,16477,17601,17003,17692,18115,16522,18204,18338
0 h 34 min,15652,15554,16320,19459.5,19528.5,19458.5,17034,17464,18140,16999,16834,17639,17287,18080,18361,16634,18238,18603
0 h 36 min,15902,15304,16288,19578,19839,19607.5,17041,17906,18292,17232,16708,17583,17241,17835,18358,16806,18495,18567
0 h 38 min,15743,15554,16218,19920.5,20177,19975,17311,17774,18244,17348,16610,17984,17375,18233,18600,17007,18503,18605
0 h 40 min,15912,15496,16161,20215,20435,20483,17554,18010,18400,17186,16633,18083,17646,18393,18865,17171,18802,18944
0 h 42 min,15866,15701,16297,20309.5,20567,20525,17456,18254,18447,17251,16763,18336,17811,18238,18955,17152,18892,18971
0 h 44 min,16006,15691,16448,20672.5,20871,20693.5,17986,18458,18629,17545,16896,18408,17909,18496,18746,17448,18789,19205
0 h 46 min,16029,15809,16324,21076,21349,21147,17859,18708,19087,17607,17071,18920,18017,18594,19191,17629,19220,19400
0 h 48 min,15865,15769,16677,21390,21230,21372,17979,18716,19064,17943,17191,18762,18193,18696,19175,17761,19321,19668
0 h 50 min,16113,15905,16718,21720.5,21605,21886,18225,18848,19423,17985,17481,18977,18433,18934,19696,17613,19662,19850
0 h 52 min,16403,15802,16513,21837,22336,22242,18430,19082,19451,18235,17679,19436,18234,19353,19636,17823,19534,19806
0 h 54 min,16404,16122,16654,22306,22166,22533.5,18471,19249,19353,18275,17489,19420,18585,19262,19520,18019,19988,19995
0 h 56 min,16418,15873,16671,22788,22944,22763.5,18527,19339,19811,18298,17750,19258,18774,19271,19871,18358,20219,20247
0 h 58 min,16405,15960,16865,22713,23155,23322.5,18629,19566,19867,18276,17883,19877,18791,19308,20063,18383,20251,20398
1,16566,15927,16753,23304,23397.5,23583,19021,19565,20211,18680,18060,19645,19071,19821,19977,18412,20510,20611
1 h 2 min,16473,16107,16790,23565.5,23784,23761,19303,19827,20367,18726,18081,20129,19248,20146,20264,18498,20495,20978
1 h 4 min,16619,16075,16885,24215.5,24333.5,24271.5,19301,19988,20478,19065,18315,19932,19414,20233,20649,18504,21096,20989
1 h 6 min,16311,16386,16897,24287.5,24728.5,24438.5,19276,20049,20746,19189,18405,20266,19445,20139,20730,19021,21034,21120
1 h 8 min,16383,15962,16903,24841.5,24790.5,24897.5,19496,20470,21050,19269,18306,20613,19693,20711,20775,19250,21120,21493
1 h 10 min,16197,16373,17023,24845,25313,25220,19825,20556,20938,19482,18524,20563,19747,20749,21295,19172,21053,21501
1 h 12 min,16414,16219,16905,25394.5,25560,25668,20159,20517,21387,19295,18661,20505,19933,20855,21314,19651,21650,21783
1 h 14 min,16474,16310,17177,25914,26055.5,25924,19995,20528,21462,19788,18920,20762,19908,21059,21751,19673,21667,21939
1 h 16 min,16293,16391,17179,26416,26624.5,26448,20208,21023,21535,19702,18877,20910,20285,21451,21782,19901,21981,22155
1 h 18 min,16808,16476,17115,26920,26711.5,26723,20385,21393,21976,19839,19048,21349,20390,21412,22075,20290,22402,22229
1 h 20 min,16751,16351,17336,27059.5,27240,27348.5,20650,21380,21739,20027,19395,21435,20584,21605,22140,20319,22228,22791
1 h 22 min,16635,16445,17116,27373.5,27463.5,27479,20778,21537,22037,20336,19363,21308,20731,21631,22333,20407,22672,22707
1 h 24 min,16749,16559,17073,28138.5,27974,27899.5,20868,21867,22439,20608,19497,21561,21030,22195,22330,20794,22720,22674
1 h 26 min,16770,16492,17302,28448,28491,28516,21013,21707,22524,20742,19461,22005,21279,22279,22786,20958,23175,23001
1 h 28 min,16632,16750,17207,29006.5,28871.5,28924.5,21142,22019,22728,20681,19773,22020,21310,22578,22801,21252,23230,23236
1 h 30 min,16756,16749,17390,29127,29266.5,29228.5,21310,22094,22512,21066,20096,22147,21598,22473,23187,21238,23469,23665
1 h 32 min,16892,16465,17705,29685.5,29664.5,29855,21727,22548,23240,20860,19872,22607,21867,22830,23260,21660,23869,23695
1 h 34 min,17090,16621,17547,30135,30102.5,30174.5,21724,22629,23352,21392,20074,22805,22025,22905,23651,21619,23854,23870
1 h 36 min,16914,16888,17625,30587,30538.5,30568.5,21960,22588,23488,21272,20364,22704,22324,23070,23678,21859,24401,24325
1 h 38 min,17170,16856,17549,31052.5,31115,31140,22487,23108,23607,21430,20492,23132,22200,23373,24020,22249,24620,24513
1 h 40 min,16988,16916,17620,31476.5,31423.5,31452,22250,23247,23876,21591,20487,23264,22468,23580,23738,22347,24438,24568
1 h 42 min,17257,16858,17502,31966,32171.5,32111.5,22347,23503,23807,21674,21033,23472,22710,24181,24189,22517,24995,24881
1 h 44 min,16971,16720,17574,32372,32305.5,32549.5,22548,23679,24179,22140,20663,23468,22725,23710,24621,22644,25105,25533
1 h 46 min,17101,16904,17781,32753,33080,32970.5,22780,23538,24504,21774,21025,23749,23103,24353,24528,22665,25440,25686
1 h 48 min,17179,16971,17758,33061,33153.5,33779,23016,23847,24490,22075,21369,23947,23130,24521,25178,23496,25579,25421
1 h 50 min,17199,16731,17601,33663,33612,34042,23139,24079,24435,22338,21163,24401,23419,24658,25279,23281,25910,25895
1 h 52 min,17239,16999,17886,34245,34294,34446,23249,24327,24840,22457,21642,24319,23645,24672,25346,23416,26171,26089
1 h 54 min,17445,17313,17779,34672,34430,34963.5,23732,24151,25074,22743,21682,24634,23880,24726,25489,23596,26362,26230
1 h 56 min,17324,17373,18129,34945.5,35291,35368.5,23375,24478,25166,23032,21739,24609,24051,25337,25747,24102,26351,26480
1 h 58 min,17315,17203,18026,35328.5,35796.5,35747,23811,24771,25130,23123,21701,25005,24108,25464,26189,23946,26791,26516
2,17308,17245,17973,35751.5,36230,36344,24085,25076,25571,23213,21945,25232,24353,25525,26271,24125,27235,27102
2 h 2 min,17718,17163,18123,36565.5,36390.5,36667,23828,24832,25946,23328,22339,24991,24382,25688,26309,24815,27115,27128
2 h 4 min,17358,17413,18318,36883.5,37049.5,37206.5,23935,25241,26143,23616,22194,25409,24731,25836,26639,24629,27833,27473
2 h 6 min,17681,17357,18051,37516,37719.5,37713.5,24423,25306,26181,23631,22407,25461,25265,26306,26997,24878,27812,27699
2 h 8 min,17423,17421,18182,38021.5,38029,38167.5,24527,25658,26158,23733,22887,25626,25282,26574,27050,24952,27858,27952
2 h 10 min,17681,17336,18344,38657,38774,38896,24697,25717,26297,23799,22411,26018,25077,26396,27181,25084,28348,28352
2 h 12 min,17765,17445,18178,38872,39297.5,39202,24949,25953,26739,24278,22598,26121,25386,26695,27471,25450,28555,28280
2 h 14 min,17591,17676,18457,39442.5,39758,39520.5,25091,26155,27094,24329,22816,26244,25732,26812,27866,25879,28947,28812
2 h 16 min,17964,17624,18526,40220.5,40300,40339.5,25371,26297,27094,24382,23183,26501,26004,27177,27872,26351,29231,28946
2 h 18 min,17970,17682,18275,40742.5,40817.5,40918.5,25688,26431,27073,24537,23114,26816,26388,27538,28187,26177,29132,29299
2 h 20 min,17981,17833,18258,41023.5,41464.5,41416.5,25625,26644,27461,24863,23426,26740,26386,27638,28378,26378,29566,29602
2 h 22 min,18199,17735,18326,41712.5,41683,41754,25536,26934,27558,24668,23601,27023,26705,27625,28708,26769,29815,29652
2 h 24 min,17991,17928,18640,41997.5,42446.5,42344.5,25812,26876,27731,25339,23469,27282,26580,28241,28831,26855,30451,30373
2 h 26 min,17920,18002,18658,42735,42884.5,43097,26184,27134,28040,25346,23575,27314,26744,28395,28991,27028,30414,30132
2 h 28 min,18299,18032,18617,43076.5,43277,43305,26414,27450,28019,25457,24111,27667,27444,28460,29108,27267,30851,30433
2 h 30 min,17883,18061,18871,43930.5,43776,43948,26538,27806,28579,25418,24173,27641,27348,28502,29905,27695,31226,30731
2 h 32 min,18260,18079,18556,44271.5,44507,44478.5,26569,27886,28688,25414,24117,27929,27451,28779,29657,28080,31212,31359
2 h 34 min,18286,18208,18891,44732.5,45089,45041.5,26864,28053,28685,25673,24463,28360,27845,29114,29829,27820,31345,31177
2 h 36 min,18286,18104,18818,45445.5,45441.5,45386,26510,28103,28800,25958,24601,28378,27939,29536,29800,28479,31620,31576
2 h 38 min,18204,17996,19025,45819.5,46007,46422,27288,28518,29401,26057,24886,28479,28199,29676,30323,28464,32110,31722
2 h 40 min,18309,18323,18933,46587.5,46585,46746.5,27381,28371,28935,26392,24663,28942,28610,30091,30665,29139,32311,32219
2 h 42 min,18617,18380,19129,47171,47246.5,47110.5,27479,28671,29929,26726,24904,29069,28616,30171,30916,29111,33118,32442
2 h 44 min,18414,18296,19143,47545,47697.5,47933.5,27535,28478,29469,26962,25289,29193,29142,30238,31085,29250,33063,32450
2 h 46 min,18413,18144,19339,48128,48176,48516,27591,29016,30218,27091,25102,29337,29228,30427,31259,29273,33071,33218
2 h 48 min,18342,18690,19390,48768,49179,48661.5,27703,29246,29847,27361,25248,29800,29533,30671,31891,29768,33235,33275
2 h 50 min,18721,18409,19248,49374.5,49392,49222.5,28305,29784,30145,27051,25219,29950,29687,31034,31895,29996,33649,33768
2 h 52 min,18835,18731,19295,49724.5,49803.5,50254,28275,30072,30497,27616,25647,29928,30028,31299,32199,30351,33723,33847
2 h 54 min,18734,18654,19296,50135.5,50633.5,50526.5,28605,29700,30723,27742,25902,30113,30301,31558,32440,30636,34160,34390
2 h 56 min,18883,18722,19502,50924.5,51128.5,51177,28725,29989,30643,27682,25989,30464,30513,31924,32434,30879,34553,34326
2 h 58 min,19036,18902,19339,51700.5,51725.5,51808,28587,30212,30826,27990,26158,30235,30871,32280,32913,31000,34928,35049
3,19034,18627,19878,52494,52241,51617,29319,30309,30984,28375,26598,30803,31001,32400,33190,31281,35169,35346
3 h 2 min,18838,18815,19558,52807,52860.5,52603.5,29148,30499,31559,28486,26456,30996,30963,32590,33725,31659,35164,35819
3 h 4 min,18901,18830,19765,53299.5,53688.5,53064.5,29575,30951,31670,28622,26551,31085,31220,32843,33698,31779,35885,35591
3 h 6 min,19144,18789,19762,54001.5,53937.5,53935.5,29215,30871,32175,28793,26806,31369,31759,32962,34373,32385,36199,35599
3 h 8 min,19372,19146,19687,54570.5,54629.5,53973,29812,31010,32453,29059,27049,31502,31849,33443,34410,32509,36414,36379
3 h 10 min,19330,18984,19755,55058.5,55174.5,54494,29854,31237,32302,28991,27158,32024,32033,33828,34778,32502,37043,36603
3 h 12 min,18884,19400,19889,56098.5,55594.5,55087.5,29913,31517,32584,29361,27056,31881,32778,34096,34773,32713,36833,36848
3 h 14 min,19515,19331,20049,56339,56614.5,56095,30489,31406,32749,29484,27420,32013,32755,33745,34703,32784,37406,36987
3 h 16 min,19294,19424,19806,56725,57034.5,56437,30408,32053,32823,29698,27575,31954,32709,34373,34992,33562,37321,37719
3 h 18 min,19484,19337,20195,57787.5,57842,56949.5,30733,31836,33253,29991,27581,32463,33089,34604,35816,33377,38180,37719
3 h 20 min,19456,19355,20091,58611.5,58373,57388,30625,32197,33333,29751,28022,32647,33032,34568,36118,34290,37849,38344
3 h 22 min,19409,19309,20174,58963.5,59220.5,58158.5,31023,32666,33599,30303,27871,33127,33699,34994,35811,34148,38153,38184
3 h 24 min,19773,19624,20184,59435.5,59570.5,58706.5,31110,32574,33644,30468,28399,33284,34073,35110,36597,34311,39086,38696
3 h 26 min,19719,19711,20309,59779.5,60074.5,59304,31250,32862,34182,30616,28262,33252,33971,35407,36877,34719,39394,38814
3 h 28 min,19796,19822,20227,61045,60827.5,59609.5,31311,33054,34119,30887,28854,33632,34220,35616,37103,34778,38936,39151
3 h 30 min,19793,19600,20489,61359.5,61767,60547.5,31658,33010,34160,30961,28513,33611,34474,36016,37473,35070,39709,39564
3 h 32 min,19711,19894,20382,62297,62434.5,61040.5,31825,33062,34373,31474,28801,33585,34802,36186,37847,35669,39948,39878
3 h 34 min,19858,19487,20528,62937,62752.5,61950,32205,33627,34494,31466,29415,34050,35198,36650,37839,35653,39855,40139
3 h 36 min,19833,19806,20414,63496.5,64087.5,61910.5,32221,33396,34558,31499,29241,34754,35087,36758,38195,36008,40556,40701
3 h 38 min,19774,20066,20502,64551.5,64352.5,62709.5,32053,33837,35295,31678,29085,34622,34934,36834,38326,36705,40709,40739
3 h 40 min,20203,20051,20619,64821,65040,63687.5,32576,33660,35099,31829,29538,34830,35669,37217,38720,36829,41391,41180
3 h 42 min,20060,19870,20751,64898,65547.5,64027,32638,34271,35150,32107,29699,34895,36024,37730,39290,36252,41526,40872
3 h 44 min,20200,19899,20820,66032,66339.5,64890.5,32850,34299,35371,32264,29868,34923,35992,37669,39568,36883,41872,41367
3 h 46 min,20005,20234,20875,66487.5,66838.5,65363.5,33176,34668,35933,32629,30080,35324,36382,37806,39635,37525,41922,41976
3 h 48 min,20319,19876,20759,67223.5,67742,65865.5,33059,34777,35858,32610,30197,35270,36611,38077,39758,37520,42745,42156
3 h 50 min,20264,19971,21002,67882,68164,66582,33289,35241,36095,32964,30234,35835,37305,38299,39991,37964,42792,42669
3 h 52 min,20170,20236,20943,68675.5,68891.5,67642,33448,35293,36150,32787,30522,36263,37306,38783,40332,38093,43014,43069
3 h 54 min,20272,20320,20970,69424,69626.5,67814.5,33535,35287,36807,33778,30914,36020,37551,39301,40774,38210,43229,43363
3 h 56 min,20392,20430,21255,69922.5,70295,68310,33747,35421,36497,33759,31045,36434,37860,39354,40769,38748,43649,43618
3 h 58 min,20403,20222,21044,70731.5,71003.5,69322,34012,35712,36653,33644,31299,36443,37935,39339,41063,38657,43882,44046
4,20464,20413,21096,71125.5,71795.5,69658.5,34120,35602,36639,33916,30931,36754,38069,39870,41375,38975,44441,44535
4 h 2 min,20465,20339,21070,72193.5,72130,70454,34232,36011,37340,34095,31151,37177,38279,40119,41622,39074,45020,44549
4 h 4 min,20890,20533,21283,72605.5,73034.5,71241,34646,35964,37333,34440,31473,37269,38734,40049,42062,39848,45075,44587
4 h 6 min,20830,20371,21055,73446.5,73846,72008,34833,36390,37710,34134,31764,37363,38822,40512,42165,39865,44980,45330
4 h 8 min,20757,20744,21228,73740.5,74564.5,72464.5,34765,36614,37387,34103,32111,37744,39100,40985,42403,39962,46044,45097
4 h 10 min,20759,20553,21278,74247,74861,73453.5,35254,36988,37937,34670,31954,37891,39296,40975,42727,40219,45991,45357
4 h 12 min,21190,20960,21602,75097.5,75727.5,73762,35005,36710,37927,34939,32418,38147,39695,41133,42992,40380,46026,46023
4 h 14 min,21220,20973,21615,75960,76831,74606,35281,37060,38173,35021,32309,38612,39609,41286,43088,40994,46390,46741
4 h 16 min,21015,20740,21961,76420.5,77103.5,75058.5,35304,37240,38143,34991,32369,38459,40043,41795,43783,41465,46982,46856
4 h 18 min,21153,20779,21750,77165.5,77887.5,76331,35572,37541,38651,35347,32732,38669,40187,42042,43887,41427,47180,47016
4 h 20 min,21259,21027,21733,77602,78461.5,77091,35871,37867,38652,35602,32960,38807,40913,41751,43953,41831,47673,47984
4 h 22 min,21441,20947,21708,78624,79392,77594,35971,37763,38733,35586,33349,39018,40852,42374,44207,42339,47409,47539
4 h 24 min,21393,20869,21758,79062.5,80096,78046.5,36317,37667,39132,35804,33267,39348,40972,42725,44728,42439,47741,48148
4 h 26 min,21637,20728,22189,79951.5,80578.5,78777,36098,38039,39429,35930,33222,39593,41038,42868,44944,42567,48360,48477
4 h 28 min,21568,21120,22293,80465.5,81183,79358,36556,38796,39743,36599,33549,39715,41785,42866,44928,43194,48483,48449
4 h 30 min,21555,20837,21829,81205,82043,79736,36397,38777,39790,36394,33629,39908,41787,43473,45249,43359,49079,48893
4 h 32 min,21919,21297,22360,81503.5,82954.5,80640.5,36790,38841,39640,36385,33873,40532,41959,43240,45792,43228,48601,49779
4 h 34 min,21537,21188,22439,82645,83431,81137.5,36819,38792,39999,36743,34020,40269,42236,43698,46044,43683,49522,49517
4 h 36 min,21630,21248,22401,82907,84043,81835,36792,39338,40616,37423,34043,40957,42462,44648,46003,44057,50222,50102
4 h 38 min,21740,21394,22603,83538.5,84683,82747,37366,38891,40882,37305,34236,40794,42707,44645,46608,44326,50061,50360
4 h 40 min,21904,21276,22841,84648.5,85257.5,83345,37374,39603,40722,37395,34301,40995,42524,44724,47034,44488,50274,50880
4 h 42 min,21970,21879,22624,85132,86045,83950.5,37325,39439,40849,37528,34920,41323,42901,45464,47185,44824,50452,51041
4 h 44 min,21968,21773,22983,85594.5,86832,84745.5,37531,39891,40672,38344,34920,41543,43440,45086,47402,45327,51212,51264
4 h 46 min,21829,21509,22690,86102,87211,85304,38002,39702,41259,38474,34836,41529,43757,45700,47453,45741,50911,51904
4 h 48 min,21882,21656,22686,86925.5,87993,85969,37863,39929,41061,38781,35451,42220,44090,46096,47834,45668,51389,52139
4 h 50 min,22084,21888,23001,87588,88682,86719.5,37869,40344,41396,38798,35426,41816,44435,46016,48104,46388,51788,52580
4 h 52 min,21921,21767,22711,88096.5,89265.5,87487.5,38368,40322,41582,39252,35513,42063,44883,46154,48129,46790,52008,52245
4 h 54 min,22116,21428,22901,89044.5,89822,87704.5,38372,40557,41943,39318,36228,42390,45299,46657,48453,46559,52492,52515
4 h 56 min,22321,21675,22877,89437.5,90820,88232,38459,40660,42310,39575,36557,42470,45695,47184,49128,46934,52785,53120
4 h 58 min,22097,21688,23059,90180.5,91238,89171,38925,40949,42095,39826,36946,42772,46091,47612,49110,47314,53269,53235
5,22308,21661,23018,90816.5,91641.5,89692.5,38968,41032,42604,39764,37026,42919,46140,47642,49873,47771,53005,53423
5 h 2 min,22272,22220,23159,91520.5,91991,90160.5,39442,41223,42445,40111,37406,43146,46040,47504,50145,48135,53148,53794
5 h 4 min,22303,21851,23297,91886,92889.5,90902.5,39373,41082,42681,40372,37464,43005,47037,48364,50163,48058,53664,54178
5 h 6 min,22183,21810,22882,92587.5,93347.5,91620.5,39501,41338,43060,40689,37588,43251,47001,48348,50394,48783,54338,53999
5 h 8 min,22307,22223,23104,92942,93704,92246,39887,41469,43083,40940,37766,43289,47271,48311,50384,49000,53940,54468
5 h 10 min,22245,22293,23370,93626,94635.5,92747.5,39718,41810,43416,41236,37940,43235,47676,48941,50584,49108,54763,54755
5 h 12 min,22167,22201,23457,94414,95392,93709.5,40185,42141,43535,41703,37880,43689,47549,49188,51193,49568,55065,55108
5 h 14 min,22616,22288,23139,95093,96182,94095,40311,42243,43745,41390,38504,43418,48300,49225,50848,49454,55478,55501
5 h 16 min,22621,22155,23299,95517.5,96820,94648,40507,42799,43426,41279,38631,43297,47951,49736,51168,49658,54876,55757
5 h 18 min,22525,22303,23118,95990,97507,95412,40647,42808,43938,41932,39108,43845,48528,49886,51500,50138,55378,55641
5 h 20 min,22607,22432,23283,96913,98024,95897.5,40856,42788,43705,42314,39002,43656,48231,49913,51724,50227,55776,56038
5 h 22 min,22711,22410,23431,97385,98153.5,96158.5,40876,42869,44597,42140,38839,43769,48740,50518,52205,50384,56624,56519
5 h 24 min,22777,22555,23375,97483.5,99014.5,96744.5,41359,43234,44161,42573,39566,44050,48866,50072,52528,50558,55928,56449
5 h 26 min,22551,22471,23290,98373.5,99516.5,97508,41080,43847,44756,42625,39194,44292,49192,50784,52621,51565,56906,56950
5 h 28 min,22772,22527,23346,99556.5,99659,97927,41537,43885,44878,42364,39548,44252,48997,51149,53038,51261,56802,57078
5 h 30 min,22761,22395,23619,99597,101178,98730,41201,43825,44959,43120,39623,44671,49572,50898,53271,51441,56804,57335
5 h 32 min,22807,22677,23256,100616,100980.5,99603.5,41593,43743,44851,43339,39848,44672,49481,51319,53546,51725,57479,57892
5 h 34 min,22595,22562,23482,100283.5,102102.5,99845,41481,44305,45176,43376,39954,44787,50098,51425,53857,51622,57549,57628
5 h 36 min,22770,22446,23404,101570.5,102563,100697,41665,44507,45397,43651,40291,44601,49898,51775,53633,52122,57779,57402
5 h 38 min,22461,22671,23438,101729,102958.5,101041,42335,44416,44848,43767,39795,44575,50659,52231,54489,52705,57780,58223
5 h 40 min,22777,22795,23312,102551.5,103986.5,101666,42270,44808,45208,43255,40177,44924,50794,52670,54345,52696,58093,58136
5 h 42 min,22826,22684,23336,103028.5,104523,102380.5,42608,45055,45400,43603,40148,44832,50632,52161,54726,52593,57486,58707
5 h 44 min,22766,22802,23519,103065,105177,102780,42483,45457,45415,43764,40345,44908,50994,52628,54722,52802,58184,58321
5 h 46 min,22491,22692,23656,104338.5,105681,103707.5,42723,45028,45642,44084,40703,45173,51141,52864,55019,52870,59081,59092
5 h 48 min,22771,22736,23549,104511,105829.5,103464.5,42741,45614,45922,44095,40589,44933,51211,53145,55118,53787,58975,58675
5 h 50 min,22856,22804,23738,105737.5,106720.5,104538,43192,45785,45848,44070,40777,45312,51603,53224,55344,53821,59488,59226
5 h 52 min,22769,22619,23698,105366.5,107316.5,105217.5,42936,46218,46055,44570,40891,45146,51760,53366,55641,53563,59096,59500
5 h 54 min,22773,22722,23647,106385,107799.5,105407.5,43411,45643,46277,44503,41113,45521,52199,54017,56184,54166,59628,59660
5 h 56 min,22619,22912,23816,106600.5,108211.5,105707,43481,46274,46305,44443,41497,45538,51651,53713,55995,54247,59585,60035
5 h 58 min,22794,23227,23584,107191.5,109034,106486,44011,45974,46267,44915,41235,45617,52020,54358,55946,54641,60296,60060
6,22777,22868,23550,107780,109730.5,107208,43955,46285,46651,44770,41359,45723,52020,54162,56676,54718,60350,60086
