time,sfGFP 3 nM,sfGFP 3 nM,sfGFP 3 nM,sfGFP 3 nM + Se6Tr3 5 nM + St6 15 nM,sfGFP 3 nM + Se6Tr3 5 nM + St6 15 nM,sfGFP 3 nM + Se6Tr3 5 nM + St6 15 nM,Negative,Negative,Negative
0 h ,26296,24312,23979,25019,24612,27434,22499,24619,25405
0 h 2 min,27413,26548,25151,26953,26192,28883,22242,24068,24676
0 h 4 min,29592,28755,26377,30774,28081,32887,21564,23068,23163
0 h 6 min,33548,32265,27912,35572,31080,38427,20485,21835,21901
0 h 8 min,39257,37087,28784,42120,35011,45920,19882,20426,20499
0 h 10 min,45911,42700,31554,50311,40862,56451,19136,18640,18788
0 h 12 min,54061,52442,35973,60422,49837,70301,17735,17738,17935
0 h 14 min,64700,63873,41743,74367,60835,87065,16898,17531,17550
0 h 16 min,77576,76718,47555,91211,72314,105489,16308,17446,17265
0 h 18 min,90995,91380,55996,110027,87240,125586,16372,17205,17373
0 h 20 min,106579,105378,65274,131399,103136,146003,16432,17125,17291
0 h 22 min,123625,122287,75027,154307,122486,168736,16213,17302,17253
0 h 24 min,140639,139392,86508,179464,142194,192728,16559,17031,17203
0 h 26 min,160528,158246,98344,205184,164327,221388,16254,17015,17406
0 h 28 min,180441,179002,111618,234039,187853,249014,16109,17228,17487
0 h 30 min,201958,200885,125614,262297,213550,279733,16227,17535,17680
0 h 32 min,226132,224083,141639,293140,241093,310562,16559,17311,17763
0 h 34 min,249852,247336,158154,325152,268279,342987,16629,17668,18049
0 h 36 min,271221,271868,175384,356477,298159,376828,16641,17685,17591
0 h 38 min,295684,296372,194738,387375,327077,409362,16710,17748,18115
0 h 40 min,322636,321137,217744,420487,360052,444743,16983,17914,18287
0 h 42 min,346411,348914,237669,454974,391569,478158,16768,18257,18365
0 h 44 min,372579,374683,260111,488897,422302,513401,17176,18006,18245
0 h 46 min,399970,401882,281631,522408,455290,548150,17330,18189,18188
0 h 48 min,427183,431350,303577,555809,482971,583668,17110,18168,18327
0 h 50 min,453998,457408,329800,589471,515835,621428,17256,18549,18306
0 h 52 min,483273,484414,353644,624439,549896,657235,17353,18164,18555
0 h 54 min,509345,513498,376594,659188,581770,694830,17372,18109,18587
0 h 56 min,537947,540477,404275,692052,615680,733924,17553,18551,18682
0 h 58 min,565682,568171,428751,726278,648627,768012,17418,18277,18888
1 h ,595893,595700,455483,758166,680557,805112,17749,18786,18863
1 h 2 min,625003,624384,482256,792035,713146,840121,17485,18467,18830
1 h 4 min,654595,651157,509290,822933,745969,877854,17882,19014,18684
1 h 6 min,683774,680282,536448,857448,778476,915256,17708,18600,18939
1 h 8 min,709681,707893,561392,886324,808508,949812,17641,18649,18716
1 h 10 min,740098,738255,590791,918075,842500,985674,17662,18696,18868
1 h 12 min,769538,764231,616780,950390,872876,1020395,17490,18694,18904
1 h 14 min,794152,785503,643883,983007,907446,1055969,17843,18873,19219
1 h 16 min,822287,816910,671137,1014537,939678,1090689,17834,18908,18845
1 h 18 min,851645,842253,697126,1044074,970081,1125699,17846,18951,18876
1 h 20 min,878115,868888,725604,1074518,1000511,1160530,18053,18960,19176
1 h 22 min,903953,896844,752790,1102680,1034256,1193738,17883,18819,19433
1 h 24 min,932761,922173,778806,1132795,1066639,1230893,17727,19030,19044
1 h 26 min,958929,949358,808481,1162895,1095929,1259275,18019,18886,19308
1 h 28 min,986609,972473,834401,1193711,1128312,1297544,17915,19187,19198
1 h 30 min,1013685,999013,859978,1224155,1158632,1331893,18049,19232,19142
1 h 32 min,1038546,1024892,885486,1252413,1194687,1361898,18041,18910,19208
1 h 34 min,1064893,1049189,913331,1281964,1221323,1398062,18248,19142,19418
1 h 36 min,1092133,1074340,940915,1311006,1251767,1427434,17937,19087,19325
1 h 38 min,1113750,1098129,963893,1337146,1282665,1460519,17768,19273,19095
1 h 40 min,1138515,1121918,988988,1367247,1312683,1492022,17881,19335,19534
1 h 42 min,1165302,1146752,1016380,1397553,1344819,1522755,18285,18990,19623
1 h 44 min,1190686,1171792,1041434,1424340,1375923,1555413,18280,19190,19354
1 h 46 min,1214186,1194261,1067918,1452282,1404154,1588016,18254,19344,19272
1 h 48 min,1238649,1219727,1091556,1480512,1434103,1617993,18105,19284,19603
1 h 50 min,1263964,1242691,1118287,1505346,1461935,1647076,17866,19210,19324
1 h 52 min,1287863,1266082,1140976,1535681,1491004,1677851,18153,19326,19587
1 h 54 min,1309521,1290269,1172040,1563554,1523319,1710152,18307,19385,19493
1 h 56 min,1332594,1313742,1192171,1592678,1553144,1739152,17968,19257,19543
1 h 58 min,1357813,1337558,1217417,1618860,1581609,1771398,17946,19225,19614
2 h ,1382606,1361554,1244383,1645578,1608437,1799821,18080,19273,19419
2 h 2 min,1402504,1384449,1263964,1671250,1638523,1828904,17980,19335,19477
2 h 4 min,1425633,1407358,1288949,1700320,1667153,1855732,18077,19052,19502
2 h 6 min,1448267,1425894,1309988,1725264,1695589,1885970,17962,19731,19414
2 h 8 min,1470240,1449587,1337545,1753219,1720465,1914888,18125,19465,19561
2 h 10 min,1495322,1471863,1360082,1781161,1749176,1943627,17849,19084,19332
2 h 12 min,1513666,1496353,1381644,1806270,1777792,1974704,17823,19118,19455
2 h 14 min,1538871,1513913,1406808,1830994,1804977,2002948,18004,19417,19389
2 h 16 min,1555276,1537675,1428108,1858894,1834638,2032526,18014,19426,19617
2 h 18 min,1580234,1558273,1450934,1884829,1861906,2063301,17648,19328,19333
2 h 20 min,1604793,1580797,1473912,1909195,1888720,2088836,18040,19304,19300
2 h 22 min,1626175,1598426,1497522,1932420,1917734,2117287,17801,19220,19403
2 h 24 min,1648754,1618021,1518038,1961613,1942073,2143097,17658,19302,19304
2 h 26 min,1664210,1641727,1540164,1987300,1967279,2169952,17643,19379,19408
2 h 28 min,1690777,1660992,1563705,2012890,2001766,2199366,17724,19499,19532
2 h 30 min,1711980,1682155,1585610,2039636,2021347,2229411,17924,19287,19202
2 h 32 min,1733624,1701640,1609564,2060331,2050540,2258192,18055,19435,19596
2 h 34 min,1754086,1727684,1629352,2085839,2078124,2280922,18196,19496,19360
2 h 36 min,1776156,1744281,1652412,2113767,2102491,2309331,18031,19239,19176
2 h 38 min,1797332,1767726,1674441,2138422,2133568,2338428,17747,19730,19455
2 h 40 min,1817449,1784832,1700677,2162431,2154290,2364665,17819,19376,19729
2 h 42 min,1842022,1807769,1716463,2193109,2184088,2394408,18122,19401,19480
2 h 44 min,1855773,1828918,1739730,2210105,2207300,2418252,17794,19395,19589
2 h 46 min,1880497,1847358,1758720,2236933,2230332,2445822,18036,19164,19744
2 h 48 min,1896352,1868328,1784695,2262619,2253173,2472361,17838,19588,19557
2 h 50 min,1919550,1887304,1802640,2283906,2281554,2499739,17663,19590,19623
2 h 52 min,1944040,1909759,1824985,2305866,2305481,2525893,17991,19601,19620
2 h 54 min,1960706,1930206,1844167,2331222,2331841,2551896,17852,19551,19706
2 h 56 min,1980411,1951933,1868506,2355135,2355658,2574021,17959,19579,19636
2 h 58 min,1998218,1965587,1887166,2376477,2374785,2600780,17945,19410,19987
3 h ,2017167,1990751,1908054,2404473,2400183,2627498,17940,19384,19868
3 h 2 min,2040626,2007596,1931815,2425993,2423353,2655550,17796,19446,19761
3 h 4 min,2060881,2032416,1948151,2451487,2447211,2682405,18094,19739,19651
3 h 6 min,2082566,2047955,1963538,2470010,2470931,2703279,18077,19502,19745
3 h 8 min,2099562,2071950,1985457,2494473,2492437,2732706,17967,19628,19816
3 h 10 min,2118703,2101528,2006469,2514054,2518207,2751916,17789,19646,19905
3 h 12 min,2136139,2105557,2026284,2537760,2538118,2779816,18063,19405,19866
3 h 14 min,2156380,2123653,2045714,2562567,2561453,2805861,17807,19584,19971
3 h 16 min,2168687,2137115,2062036,2582093,2581722,2827931,17824,19792,20029
3 h 18 min,2189795,2155665,2085605,2603283,2606157,2854800,17831,19486,19718
3 h 20 min,2211329,2173899,2103082,2627251,2630606,2875550,17764,19517,19783
3 h 22 min,2229947,2186110,2121921,2652264,2655220,2900274,17875,19596,20079
3 h 24 min,2247604,2206984,2137514,2670470,2670717,2927143,17867,19718,19823
3 h 26 min,2266635,2223333,2158911,2687466,2697036,2947934,17969,19965,20001
3 h 28 min,2282764,2244070,2176539,2711984,2712836,2974061,17837,19866,19758
3 h 30 min,2304958,2259636,2194388,2729722,2737285,3020854,17891,19840,19860
3 h 32 min,2321666,2277897,2214808,2757499,2763934,3051093,18071,20079,20104
3 h 34 min,2340518,2296419,2230126,2772212,2783268,3066117,17938,20026,19882
3 h 36 min,2362107,2312109,2250904,2792715,2799205,3097319,18115,19791,19973
3 h 38 min,2377769,2328967,2267020,2813630,2816504,3119854,18056,20051,19983
3 h 40 min,2395631,2347160,2283301,2835810,2836332,3136611,18258,19760,19980
3 h 42 min,2413095,2365765,2301534,2855831,2859200,3161843,18102,19925,20084
3 h 44 min,2433075,2382018,2318022,2879125,2877970,3184378,18103,20282,20021
3 h 46 min,2453495,2397405,2337754,2896506,2901030,3208839,18058,20246,20055
3 h 48 min,2464523,2418857,2353485,2912856,2915070,3232530,17978,19992,20078
3 h 50 min,2484338,2433020,2363894,2929481,2934706,3251983,17819,20158,19758
3 h 52 min,2497883,2444516,2381331,2951950,2958399,3277985,17933,20102,20073
3 h 54 min,2514081,2464743,2405023,2971160,2979176,3298787,18050,20043,20276
3 h 56 min,2534391,2477807,2414360,3012765,3029136,3318240,17654,19828,20119
3 h 58 min,2550672,2501444,2436719,3042041,3047241,3339812,17864,20277,19727
4 h ,2562636,2509929,2445781,3057257,3064961,3355221,17958,20041,20083
4 h 2 min,2580209,2523968,2466297,3072473,3083644,3375252,18166,20185,20102
4 h 4 min,2598016,2540510,2482083,3093852,3105601,3403565,17609,20150,20206
4 h 6 min,2611809,2555636,2495435,3104638,3122936,3416084,17929,20158,20413
4 h 8 min,2632902,2572440,2511922,3128136,3133529,3442857,18021,20123,20203
4 h 10 min,2648303,2588157,2526595,3145664,3156257,3460192,17754,20226,20258
4 h 12 min,2667995,2606570,2543151,3165502,3178600,3485231,17956,20248,20437
4 h 14 min,2684069,2614751,2558868,3187460,3193816,3512003,17882,20311,20218
4 h 16 min,2689033,2632696,2573554,3195356,3212884,3518937,18070,20547,20025
4 h 18 min,2706964,2642734,2590137,3216158,3222514,3542050,17886,20259,20152
4 h 20 min,2725721,2663539,2603806,3233300,3247553,3557073,17849,20308,20224
4 h 22 min,2738839,2676561,2615645,3244471,3258917,3580764,17953,20148,20680
4 h 24 min,2752851,2691756,2634690,3268547,3275288,3593476,17843,20334,20501
4 h 26 min,2770026,2705823,2646791,3287615,3295127,3618130,18027,20281,20400
4 h 28 min,2782993,2713592,2663182,3290890,3306491,3633923,17933,20240,20273
4 h 30 min,2799274,2735525,2677758,3309765,3326329,3649525,17604,20190,20133
4 h 32 min,2814964,2748286,2690367,3334997,3342701,3667245,18057,20458,20113
4 h 34 min,2832276,2760840,2701299,3344049,3356954,3686698,17736,20311,20658
4 h 36 min,2841173,2766877,2717814,3361577,3372363,3706344,17668,20465,20016
4 h 38 min,2856725,2789525,2729268,3374867,3387386,3718286,17571,20318,20316
4 h 40 min,2872855,2801007,2749276,3384689,3401254,3736968,17579,20460,20305
4 h 42 min,2884172,2810921,2758585,3407225,3411269,3751992,17857,20515,20289
4 h 44 min,2900838,2827587,2775306,3423404,3435730,3772023,17974,20359,20499
4 h 46 min,2909872,2836346,2783570,3435345,3440160,3782039,17645,20379,20568
4 h 48 min,2920020,2850785,2798215,3441509,3457688,3807078,17585,20351,20617
4 h 50 min,2964228,2859420,2810371,3458843,3467896,3828264,17770,20611,20376
4 h 52 min,2950038,2871975,2824163,3473289,3481378,3834043,17552,20289,20364
4 h 54 min,2991963,2886468,2836264,3493127,3495439,3853303,17670,20600,20297
4 h 56 min,3004675,2898706,2846701,3504684,3510077,3865438,17731,20391,20467
4 h 58 min,3025091,2905224,2861799,3517589,3519707,3882194,17596,20476,20300
5 h ,3028751,2916184,2869142,3530686,3529723,3898181,17470,20451,20608
5 h 2 min,3045508,2928023,2877434,3544168,3546480,3903766,17472,20573,20607
5 h 4 min,3055909,2941210,2887884,3553028,3555340,3924183,17727,20617,20606
5 h 6 min,3065924,2953338,2896410,3565355,3569785,3931695,17434,20333,20539
5 h 8 min,3076132,2960599,2916940,3580186,3579416,3949607,17274,20422,20425
5 h 10 min,3087496,2972287,2921945,3592705,3588276,3958274,17557,20497,20476
5 h 12 min,3099245,3017580,2936067,3607344,3607151,3977342,17497,20479,20563
5 h 14 min,3114076,3022395,2945927,3611581,3617744,3987358,17278,20478,20454
5 h 16 min,3119854,3041656,2994659,3633538,3636235,4009123,17256,20280,20361
5 h 18 min,3133722,3054753,3007564,3649332,3648176,4027228,17324,20596,20470
5 h 20 min,3141426,3064576,3013150,3652799,3653569,4035125,17141,20484,20546
5 h 22 min,3148553,3065732,3022395,3665704,3662622,4051111,17257,20655,20582
5 h 24 min,3167043,3081140,3037804,3681883,3680149,4058815,17155,20264,20367
5 h 26 min,3173207,3094623,3045893,3684001,3680342,4074224,17074,20448,20500
5 h 28 min,3183222,3098475,3056679,3698062,3684194,4088284,16986,20486,20709
5 h 30 min,3187652,3108105,3063420,3707114,3703262,4095989,17192,20391,20515
5 h 32 min,3201327,3123899,3074014,3716167,3710581,4107352,17103,20494,20356
5 h 34 min,3215195,3127366,3084800,3729649,3716359,4118331,17023,20628,20366
5 h 36 min,3223670,3138152,3094815,3740628,3726568,4129310,16963,20480,20496
5 h 38 min,3228677,3138345,3102520,3741013,3729072,4132777,16945,20417,20509
5 h 40 min,3235611,3150671,3109261,3753918,3738895,4146644,16877,20349,20340
5 h 42 min,3242545,3155679,3114076,3759889,3745636,4147800,17111,20468,20621
5 h 44 min,3250827,3162613,3130833,3769712,3751029,4173224,16883,20409,20358
5 h 46 min,3261036,3176866,3132374,3773179,3763741,4179773,16618,20488,20349
5 h 48 min,3269895,3185148,3139500,3788587,3766630,4181506,16628,20486,20615
5 h 50 min,3280874,3190541,3146627,3792247,3773756,4190944,16639,20489,20367
5 h 52 min,3282993,3196512,3161650,3805922,3786276,4201923,16805,20626,20564
5 h 54 min,3293201,3204602,3165695,3809196,3782809,4214442,16783,20441,20432
5 h 56 min,3303602,3206720,3178214,3816708,3793017,4220028,16595,20584,20448
5 h 58 min,3306683,3218469,3179177,3823642,3801877,4221761,16601,20306,20591
6 h ,3310728,3230218,3183222,3826146,3814204,4236207,16589,20446,20661
6 h 2 min,3316506,3226366,3198246,3836161,3817286,4238133,16374,20377,20396
6 h 4 min,3323248,3238886,3205757,3843866,3818827,4249304,16261,20680,20153
6 h 6 min,3335575,3245049,3210380,3854652,3831153,4263557,16162,20145,20364
6 h 8 min,3344820,3244664,3220203,3847140,3837702,4266061,16076,20484,20347
6 h 10 min,3343472,3257183,3222514,3859467,3839821,4278773,16037,20180,20389
6 h 12 min,3354835,3261421,3230796,3874105,3854074,4286285,16049,20237,20397
6 h 14 min,3354643,3260265,3234456,3875068,3843866,4287633,16199,20222,20448
6 h 16 min,3363695,3266814,3238500,3878727,3852918,4288018,16092,20366,20611
6 h 18 min,3375252,3269318,3245434,3882194,3851185,4299189,16199,20346,20408
6 h 20 min,3382186,3284534,3253524,3893751,3871408,4308242,16240,20178,20584
6 h 22 min,3387193,3288001,3260650,3896640,3873527,4315176,16014,20257,20307
6 h 24 min,3386230,3291468,3261228,3897988,3877957,4311902,15707,20286,20284
6 h 26 min,3392586,3295127,3271244,3900492,3882387,4324228,15596,20119,20330
6 h 28 min,3398942,3294549,3268355,3908196,3887973,4323651,15799,20466,20060
6 h 30 min,3400483,3309187,3272592,3917442,3901070,4331740,15476,20289,20486
6 h 32 min,3403565,3308224,3280296,3919560,3896062,4339444,15388,20615,20326
6 h 34 min,3409151,3318240,3294357,3920716,3897218,4341563,15360,20550,20357
6 h 36 min,3404143,3319588,3288001,3926494,3901648,4351579,15548,20550,20394
6 h 38 min,3418011,3318047,3298979,3930539,3903959,4352542,15006,20400,20179
6 h 40 min,3419937,3327870,3303794,3935547,3914938,4356779,14916,20450,20406
6 h 42 min,3424752,3331337,3304950,3937280,3919945,4360439,15081,20146,20302
6 h 44 min,3424752,3332300,3308417,3946718,3915708,4370069,15081,20359,20355
6 h 46 min,3433612,3340582,3312654,3949607,3932272,4371032,15054,20312,20571
6 h 48 min,3433997,3338271,3316892,3949222,3929576,4374306,14986,20161,20134
6 h 50 min,3436693,3347901,3321322,3952689,3926109,4371995,14827,20226,20342
6 h 52 min,3449213,3350405,3329219,3958274,3936125,4383166,14664,20117,20348
6 h 54 min,3446516,3350983,3328641,3954037,3939784,4385092,14477,20043,20490
6 h 56 min,3452680,3347324,3331530,3961741,3933043,4384900,15020,20098,20088
6 h 58 min,3450176,3355798,3338271,3974068,3942288,4393182,14852,20169,20208
7 h ,3451524,3358880,3335382,3968675,3943444,4393952,14889,20159,20257
7 h 2 min,3456532,3359265,3340968,3970409,3945947,4391063,14749,20194,20400
7 h 4 min,3454799,3365429,3345783,3972527,3957697,4396841,14988,20304,20159
7 h 6 min,3469437,3369088,3350213,3982928,3954807,4407242,15105,19920,19945
7 h 8 min,3469822,3368318,3351754,3976572,3952881,4409361,15015,20146,20236
7 h 10 min,3468281,3380837,3359458,3983891,3961934,4409939,14775,20125,20460
7 h 12 min,3472518,3378141,3363503,3987165,3960200,4408976,14886,19889,20114
7 h 14 min,3469629,3372363,3360228,3987165,3963282,4415139,14670,20104,20181
7 h 16 min,3470015,3377563,3358687,3987165,3965208,4402427,15067,19856,20012
7 h 18 min,3474059,3382186,3368896,3988899,3967520,4414947,14853,20052,19812
7 h 20 min,3479645,3383726,3369859,3987743,3971757,4415332,14855,19625,20286
7 h 22 min,3488890,3386038,3373518,4000841,3977342,4428236,14947,19918,20282
7 h 24 min,3482534,3378719,3377370,3988706,3970409,4423421,15012,19713,19740
7 h 26 min,3489853,3390275,3374481,4000455,3979269,4431511,15008,19952,20036
7 h 28 min,3494090,3386808,3380067,3998722,3978498,4425540,15103,19809,19985
7 h 30 min,3489275,3386038,3383919,3997759,3977150,4426118,14916,19873,19750
7 h 32 min,3492550,3386423,3390468,4007389,3983313,4427851,14939,19824,19770
7 h 34 min,3491972,3394512,3388542,4005656,3984084,4432089,15147,19630,19745
7 h 36 min,3491394,3389119,3386038,4009123,3985047,4427659,15063,19771,19972
7 h 38 min,3502758,3396053,3393164,4007389,3987165,4441334,15191,19661,19826
7 h 40 min,3498906,3394127,3388349,4003152,3981580,4436519,15222,19673,19855
7 h 42 min,3495631,3401446,3391238,4009508,3985625,4433822,14873,19561,19994
7 h 44 min,3497943,3395861,3397016,4008352,3985239,4438445,14976,19551,20027
7 h 46 min,3506995,3397209,3395476,4014708,3989477,4446149,15085,19462,19651
7 h 48 min,3506417,3399328,3399135,4011819,3999300,4445956,14821,19771,19738
7 h 50 min,3509884,3400291,3404528,4015286,3987358,4441719,15152,19501,19793
7 h 52 min,3502758,3399713,3405298,4019909,3995640,4445956,15071,19486,19965
7 h 54 min,3514507,3407995,3403950,4020487,3993714,4451157,15140,19567,19851
7 h 56 min,3505840,3407417,3404913,4017597,3992173,4446919,15219,19402,19715
7 h 58 min,3510462,3402987,3408765,4015864,4005271,4446342,15177,19368,19808
8 h ,3516626,3407032,3410499,4013938,4003537,4451349,15202,19264,19425
8 h 2 min,3508729,3400676,3409151,4014708,3998529,4446149,15063,19257,19516
8 h 4 min,3509884,3404721,3414158,4021257,3996411,4453275,15295,19286,19377
8 h 6 min,3509884,3411077,3413773,4026072,4006619,4458476,15044,19165,19459
8 h 8 min,3519129,3402987,3410499,4023568,4002959,4453853,15244,19209,19499
8 h 10 min,3513351,3401639,3414544,4020294,3989092,4449808,15306,19086,19482
8 h 12 min,3514507,3404721,3411462,4024339,3996603,4463869,15387,19346,19340
8 h 14 min,3512773,3404335,3414158,4029346,4001611,4453083,15179,19077,19376
8 h 16 min,3514507,3407802,3413581,4025302,3999878,4450964,15369,18999,19429
8 h 18 min,3509114,3404335,3413003,4019331,4001804,4450386,15106,19081,19385
8 h 20 min,3514892,3402987,3413195,4031273,4002574,4455009,15121,18747,19310
8 h 22 min,3514314,3406647,3412810,4024531,4003537,4455779,15004,18732,19424
8 h 24 min,3510655,3407225,3421863,4024917,3998144,4453083,15392,18887,19498
8 h 26 min,3517396,3412040,3415892,4026457,4001226,4451542,15301,18887,18988
8 h 28 min,3515663,3409343,3422248,4028191,3996603,4452698,15368,18814,19138
8 h 30 min,3521826,3405298,3422441,4032428,4009701,4456935,15357,18759,19227
8 h 32 min,3512581,3402602,3419359,4027998,4004500,4454816,15290,18907,18923
8 h 34 min,3514314,3410884,3418396,4020294,4006426,4449808,15353,18953,18875
8 h 36 min,3513159,3406647,3423404,4026843,4005078,4456935,15140,18827,19069
8 h 38 min,3518937,3399713,3422248,4026265,4007967,4452698,15094,18615,18905
8 h 40 min,3515470,3409536,3426871,4034932,4008352,4465410,15065,18441,19009
8 h 42 min,3516048,3406069,3428219,4032621,4000648,4455972,15222,18618,18589
8 h 44 min,3518744,3404143,3429760,4034162,4009893,4457705,15057,18324,18994
8 h 46 min,3521826,3406839,3426485,4028961,4007774,4458861,15248,18390,18638
8 h 48 min,3519900,3410499,3422441,4035317,4003344,4458668,15267,18408,18958
8 h 50 min,3513929,3409536,3427063,4030695,4007197,4454816,15325,18403,19043
8 h 52 min,3517781,3406839,3423404,4037629,4011819,4463098,15201,18273,18815
8 h 54 min,3517781,3411269,3426100,4034932,4013167,4455009,15145,18267,18850
8 h 56 min,3516433,3404143,3431300,4034162,4012590,4465602,15345,18539,18742
8 h 58 min,3515470,3408188,3430723,4031850,4012012,4457320,15579,17977,18644
9 h ,3516433,3407802,3425907,4032813,4009701,4461558,15303,18200,18395
9 h 2 min,3524330,3405298,3429952,4032621,4012012,4461750,15294,18083,18584
9 h 4 min,3518359,3407225,3424367,4036280,4014131,4459824,15431,18039,18432
9 h 6 min,3520285,3406454,3433804,4039169,4013167,4456742,15404,17905,18858
9 h 8 min,3522789,3405106,3431108,4040133,4010664,4462906,15397,17867,18494
9 h 10 min,3520478,3402795,3429952,4037436,4013745,4460980,15475,17997,18312
9 h 12 min,3514122,3405106,3431686,4032621,4013167,4469454,15323,17768,18232
9 h 14 min,3520863,3402217,3427834,4038977,4010664,4455972,15384,17773,18248
9 h 16 min,3520092,3410306,3430723,4047066,4022990,4462135,15231,17714,18534
9 h 18 min,3518552,3407802,3434190,4044370,4021064,4462906,15188,17604,18482
9 h 20 min,3518552,3405684,3429182,4034739,4013167,4465024,15148,17757,18129
9 h 22 min,3517974,3402795,3429374,4042829,4012975,4465024,15459,17590,17865
9 h 24 min,3518166,3409343,3434382,4043407,4021064,4465410,15433,17600,17905
9 h 26 min,3517781,3403372,3429760,4045718,4018368,4455779,15312,17615,17880
9 h 28 min,3522404,3401832,3433997,4042444,4016634,4469647,15504,17349,17879
9 h 30 min,3519322,3404335,3433034,4047644,4020101,4465217,15433,17244,17742
9 h 32 min,3527026,3405298,3438620,4045911,4021450,4468877,15200,17149,17778
9 h 34 min,3522789,3404721,3426485,4045140,4015479,4460402,15332,16920,17846
9 h 36 min,3520670,3406839,3437079,4044370,4024724,4463484,15128,17140,17841
9 h 38 min,3526641,3408765,3433419,4045140,4019909,4467914,15363,16752,17906
9 h 40 min,3526063,3400291,3430915,4041866,4023761,4462713,15492,16583,17744
9 h 42 min,3521056,3409728,3434960,4045718,4021642,4460787,15386,16498,17648
9 h 44 min,3519707,3409921,3439968,4040710,4026457,4462521,15324,16551,17642
9 h 46 min,3526256,3407032,3435345,4046874,4021064,4460209,15239,16759,17562
9 h 48 min,3520285,3408573,3434382,4043022,4022027,4470417,15043,16879,17620
9 h 50 min,3520670,3404913,3438812,4046489,4025687,4468684,15483,16758,17332
9 h 52 min,3523367,3407225,3434382,4045140,4030695,4460017,15429,16591,17015
9 h 54 min,3521056,3407225,3432649,4047644,4018946,4465024,15368,16558,16999
9 h 56 min,3527797,3404721,3437657,4046489,4024146,4460594,15306,16590,16989
9 h 58 min,3520670,3401446,3434190,4054385,4022413,4463676,15373,16701,16771
10 h ,3528952,3408380,3442664,4053037,4027613,4467336,15514,16542,17238
