time,Se6 5 nM + St6 15 nM,Se6 5 nM + St6 15 nM,Se6 5 nM + St6 15 nM,Se6 5 nM + St6 10 nM,Se6 5 nM + St6 10 nM,Se6 5 nM + St6 10 nM,Se6 5 nM + St6 5 nM,Se6 5 nM + St6 5 nM,Se6 5 nM + St6 5 nM,Se6 5 nM + St6 3 nM,Se6 5 nM + St6 3 nM,Se6 5 nM + St6 3 nM,Se6 5 nM + St6 0 nM,Se6 5 nM + St6 0 nM,Se6 5 nM + St6 0 nM,Negative,Negative,Negative
0 h ,25433,25120,25199,22017,27356,22402,28018,26959,26769,26147,28749,26532,26881,28015,27250,16955,17185,17991
0 h 2 min,25230,25534,25420,21551,25954,22145,27222,26530,25907,25593,28144,26225,26526,27810,26903,16983,17140,17716
0 h 4 min,25533,25218,25317,21161,25409,22590,27030,26094,25766,25354,27478,25651,26141,27369,26372,17291,16781,17445
0 h 6 min,25066,24715,24804,20312,24782,22631,26503,25974,25967,25306,27327,25392,25812,27333,26420,17229,17063,17425
0 h 8 min,24782,24614,24251,19785,24098,22475,25114,24963,25075,24869,26206,25006,24805,26590,25809,17090,17591,17425
0 h 10 min,24238,24064,23495,19234,22929,22033,23830,23827,24331,23862,25462,23985,23777,25160,24640,17208,17417,17440
0 h 12 min,23691,23019,22577,18545,21751,21731,22713,22498,23148,23044,24511,22857,22492,23838,23727,17434,17391,17321
0 h 14 min,22121,21291,20526,18252,20574,21761,20505,21264,21861,21458,23204,21704,21107,22749,22416,17060,17237,17257
0 h 16 min,19989,18977,18342,17655,19772,20779,18565,19334,20787,20789,22147,20621,19422,20860,21238,17406,17858,17199
0 h 18 min,18402,17869,18066,17288,18824,20779,18062,18178,19277,19256,20265,18957,17779,19245,19324,17482,17477,17321
0 h 20 min,18252,17621,17790,16950,18938,19832,17925,17934,17847,18189,19804,17721,17567,18288,18031,17499,17741,17262
0 h 22 min,18151,17451,17636,16894,18895,19433,17811,17773,17907,17625,19440,17568,17479,18554,17710,17822,17504,17287
0 h 24 min,18280,17631,17956,16979,18924,18668,17779,17717,17905,17645,19398,17569,17469,18101,17508,17583,17642,17622
0 h 26 min,18027,17714,18095,16783,18640,18138,18015,18048,17637,17645,19211,17652,17413,18159,17596,17627,17692,17478
0 h 28 min,18483,18088,18543,17235,19545,18082,18269,18501,17871,17583,19361,17717,17331,18090,18003,17633,17975,17722
0 h 30 min,18739,18455,18587,17273,19392,17976,18631,18266,18079,17944,19306,17799,17680,18454,18015,17805,17806,17689
0 h 32 min,19185,18760,18932,17632,19840,18136,18792,18572,18144,17855,19315,17899,17917,18641,18120,17675,17985,17820
0 h 34 min,19312,18968,19312,18466,20388,18416,18860,18905,18468,18211,19738,18111,18269,18670,18430,17834,17950,17686
0 h 36 min,19657,19306,19803,19009,21164,18540,19287,19020,18635,18591,19738,18315,18501,18759,18727,17797,17929,17972
0 h 38 min,20206,19702,20158,19592,21373,18468,19496,19429,19224,18821,20155,18571,18408,19038,18589,17777,18011,17985
0 h 40 min,20375,20191,20438,19969,21482,18838,19961,19383,19064,19063,20115,18836,18708,19537,19111,18055,18343,17833
0 h 42 min,20665,20238,20777,20306,22326,19611,20438,20130,19502,19480,20336,19205,19203,19662,19246,18003,18264,17723
0 h 44 min,21225,20879,20970,21114,23013,19977,20629,20536,19650,19568,20551,19529,19228,19838,19395,18105,18086,17835
0 h 46 min,21398,21087,21727,21488,23648,20586,20903,20745,20165,19896,20777,19550,19994,20125,19635,18295,18174,18141
0 h 48 min,22357,21427,21887,21894,24183,20948,21305,21171,20512,19943,21128,19975,19812,20378,19957,18342,18241,17954
0 h 50 min,22474,21926,22371,22345,24145,21634,21344,21742,20965,20405,21617,20012,20058,20778,20272,18325,18537,18294
0 h 52 min,22776,22096,22780,23002,24920,22060,22311,21864,21442,20788,21590,20771,20506,20908,20617,18204,18302,18258
0 h 54 min,23437,22722,23144,23223,25416,22409,22701,22429,21675,21167,21833,21025,20633,21276,20986,18489,18474,18150
0 h 56 min,24027,23225,23995,23660,26385,23097,22770,22266,21867,21392,22252,21394,20853,21564,21319,18519,18300,18547
0 h 58 min,24469,23500,24251,24110,26872,24105,23284,23078,22950,21857,22582,21605,21098,21845,21564,18446,18522,18211
1,24828,24131,24705,24378,27038,24491,23921,23125,22574,21731,22765,21988,21318,21743,21779,18527,18567,18628
1 h 2 min,25323,24401,25329,25056,27947,25042,24205,24061,22985,22583,23164,22043,21515,22026,22421,18501,18632,18623
1 h 4 min,25989,25026,25842,25696,28079,25496,24589,24459,23782,22678,23588,22508,21936,22493,22338,18594,18627,18606
1 h 6 min,26683,25103,26425,25971,29301,26121,25360,24990,24108,23312,24107,23095,22238,22856,22614,18639,18877,18382
1 h 8 min,27068,25535,26669,26160,30085,26692,25672,25442,24794,23663,24261,23199,22768,23098,22980,18672,18640,18671
1 h 10 min,27708,26587,27276,26809,30566,27232,25883,25979,25150,23738,24746,23866,22816,23233,23376,18596,19066,18853
1 h 12 min,28248,26817,27924,27664,31067,27939,26661,26575,25437,24572,25261,24042,23376,23906,23418,18624,18808,18593
1 h 14 min,28696,27165,28489,28027,31995,28789,26859,26888,25792,24793,25680,24305,23224,24109,23796,18890,18881,18823
1 h 16 min,29327,27795,29201,28677,32113,29074,27868,27534,26137,24955,26096,24508,23738,24118,24096,18906,19027,18743
1 h 18 min,29966,28373,29893,29066,32885,29466,28081,27776,26472,25831,26610,24703,24167,24431,24235,18945,19035,18971
1 h 20 min,30380,28754,30834,29471,33485,30172,28528,28668,27104,25755,26779,25401,24066,24877,24544,18909,19033,19028
1 h 22 min,31047,29334,31044,29528,33944,30649,29025,28760,27293,26385,27233,25942,24507,25076,25015,18785,19119,19177
1 h 24 min,31936,30002,31906,30232,34592,31370,29549,29141,28078,26661,27674,26074,24933,25491,25160,19248,19437,19314
1 h 26 min,32536,30246,32537,30777,35027,32191,30176,29799,28496,26789,28107,26422,25079,25642,25580,19176,19255,19197
1 h 28 min,33197,30624,33040,31510,35469,32557,30577,30250,29038,27246,28738,26946,25221,25861,25835,19493,19030,19354
1 h 30 min,34102,31258,33544,31942,36193,33387,30779,30704,29688,27846,28811,27371,25375,26237,25995,19127,19324,19118
1 h 32 min,34738,31768,34333,32426,37055,33834,31562,30744,30135,27962,29216,27609,25974,26229,26330,19426,19347,19464
1 h 34 min,35020,32512,34804,29976,37364,34728,32009,31465,30899,28621,29609,28025,25989,26778,26616,19358,19391,19404
1 h 36 min,35814,32850,34836,33089,37715,35057,32636,31760,31304,28926,29826,28643,26232,26934,26704,19185,19288,19318
1 h 38 min,36146,33277,36116,33376,38422,35729,33158,32170,31615,29711,30459,28850,26310,27330,27180,19410,19666,19297
1 h 40 min,37241,34392,36390,34240,39213,36507,33216,32742,32160,29593,30682,29258,26892,27643,27343,19340,19372,19508
1 h 42 min,37667,34537,36821,34814,39930,36959,33955,33292,32740,29909,31123,29616,27221,27983,27682,19699,19307,19654
1 h 44 min,38550,34932,37811,35117,41068,37166,34163,33896,33756,30193,31691,29842,27248,27836,27874,19515,19518,19538
1 h 46 min,39703,35660,37715,36079,41033,37863,34631,34135,33912,30553,31921,30169,27621,28218,28376,19416,19770,19817
1 h 48 min,40222,36287,38762,35965,41752,38739,35266,35077,34204,31005,32323,30572,28028,28703,28418,19368,19621,19698
1 h 50 min,40804,36463,39528,36318,42150,39398,35804,35160,34575,31293,32417,31076,28085,28719,28636,19631,19684,19654
1 h 52 min,41346,37128,39472,36965,42932,39721,36525,35763,35258,31995,33109,31449,28243,29176,28940,19691,19788,19712
1 h 54 min,42299,37733,40367,37652,43486,40397,36524,35864,35705,31849,32960,31536,28552,29335,29061,19914,20079,19599
1 h 56 min,42471,37914,40732,38142,44233,41210,37011,36531,36260,32337,34116,32162,28891,29656,29374,19493,19935,19910
1 h 58 min,43675,38845,41674,38363,44532,41385,37823,36735,36353,32668,34169,32307,29058,29834,29582,19672,19685,19892
2 h ,44082,39333,42825,38788,45269,41641,38523,37506,37338,33190,34452,32572,28773,30476,30308,19794,19750,19684
2 h 2 min,44901,39780,42825,39484,45411,42783,38773,37792,37260,33551,34997,33110,29312,30196,30234,19641,19909,20151
2 h 4 min,45897,40463,44029,39809,46142,43359,39136,38911,38130,34001,35303,33452,29844,30862,30347,19749,19834,19995
2 h 6 min,46422,40825,44354,40524,46542,43901,39619,38690,38434,34171,35728,33792,30083,30754,30549,19920,19914,20125
2 h 8 min,47110,41371,44945,40913,47312,44455,40056,39096,38798,34875,35892,34083,30211,31390,31063,19909,20224,19865
2 h 10 min,47641,42145,45703,41074,47939,45335,40356,39494,39368,35154,36587,34800,30560,31638,31177,20111,20066,20093
2 h 12 min,48690,42372,45801,41800,48775,45714,41040,39793,39391,35385,36709,35442,30634,31566,31253,20103,20021,20150
2 h 14 min,49339,42799,46545,42084,48927,46353,41649,40168,40342,35715,36946,35435,30791,31601,31626,19990,20017,20277
2 h 16 min,50003,43702,46951,42594,49434,46680,41989,40726,39939,36511,37192,35765,31123,32227,31606,20153,20258,20303
2 h 18 min,50730,44531,47796,43159,49953,47584,42273,41105,40801,36450,37601,35967,31534,32437,31930,20330,20044,20587
2 h 20 min,51027,44632,48271,43470,50122,47877,42418,41579,41422,36519,38270,36359,31644,32560,32106,20169,20023,20379
2 h 22 min,52818,45179,48994,44329,51188,48344,43030,42097,41536,37321,38378,36715,31984,32749,32313,20311,20426,20228
2 h 24 min,53060,46112,49569,45004,51650,48817,43624,42230,42191,37560,38574,36919,31787,33352,32785,20306,20382,20110
2 h 26 min,53406,46323,50033,45006,52447,49919,43867,42978,42307,37891,38719,37251,32264,33230,33040,20321,20388,20031
2 h 28 min,53620,46918,50347,45713,53136,50178,44577,43465,43125,38577,39109,37537,32671,33479,33310,20530,20605,20354
2 h 30 min,54692,47128,50836,46010,53924,50466,44953,43708,43077,38237,39264,37904,32932,33692,33336,20476,20376,20128
2 h 32 min,55634,47929,51579,46146,53928,50972,45070,44331,43999,38890,39839,38310,32968,33938,33684,20521,20348,20357
2 h 34 min,56724,48514,52081,46735,54567,51530,45398,45074,44268,39591,40496,38173,33295,34299,33401,20743,20756,20652
2 h 36 min,56601,48921,52682,47438,54966,52140,46329,44793,44487,39893,40881,38703,33450,34361,33942,20334,20733,20853
2 h 38 min,57686,49420,52968,47948,55485,52545,46865,45792,45013,39958,40822,39134,33360,34597,34572,20469,20751,20751
2 h 40 min,58877,50282,53297,47651,56368,53326,47513,46104,44795,40081,41249,39581,33743,34967,34361,20625,20770,20623
2 h 42 min,59252,50838,54488,48505,56561,53902,47913,46408,45366,40373,41652,39929,33861,35346,34735,20845,20774,20531
2 h 44 min,60439,51380,54868,49496,57200,53999,47789,46928,46057,40968,41900,40334,34260,35164,34920,20875,20965,20462
2 h 46 min,60621,51898,55363,49567,57802,55160,48886,47241,46557,41085,42350,40311,34560,36017,34842,20921,20771,20917
2 h 48 min,61054,52491,56040,50208,58249,55780,49008,47537,46908,41924,42489,41148,34410,35767,35085,20909,20898,20504
2 h 50 min,62413,52945,56438,50594,58940,56254,49557,48014,47053,41628,43191,41432,34879,35900,35675,21015,21061,20670
2 h 52 min,62746,53510,56996,50761,59585,57089,50211,48437,47802,41940,43406,41693,34895,36338,35248,20937,20921,20986
2 h 54 min,63345,54255,57410,51680,60088,57203,50146,48747,48005,42489,43536,42186,35561,36075,35881,21036,20996,20733
2 h 56 min,64049,54335,58198,51923,60492,57952,51115,49396,48629,43052,43507,42043,35401,36588,35965,21143,20992,20989
2 h 58 min,65246,54965,58649,51998,60721,58511,51669,50095,48308,43292,44616,42515,35766,37037,35683,21079,20958,20555
3 h ,65885,56591,58665,52878,61161,59059,51779,49880,49412,43660,44501,42978,35962,36966,36410,21248,21188,20911
3 h 2 min,66122,56645,60533,53412,62104,59521,52082,50705,49290,43762,44917,42987,36036,37211,36592,21209,21571,20611
3 h 4 min,66766,56847,60626,54133,62743,59877,53237,50744,49614,44044,45431,43363,35874,37455,36506,21092,21256,21139
3 h 6 min,68031,57639,61591,54742,63197,60425,53446,51382,50460,44278,45540,44015,36180,37786,37098,21579,21176,21027
3 h 8 min,68839,58093,62891,55288,63590,61260,53797,51789,50645,44816,45663,44108,36367,37981,37020,21673,21479,21047
3 h 10 min,68996,58627,62857,56075,63724,61191,53801,52384,51217,44859,45973,44178,36759,37573,37433,21413,21412,21195
3 h 12 min,69845,58786,63658,56735,65358,61986,54636,52457,51325,45810,46654,44790,36953,38648,37918,21610,21612,21048
3 h 14 min,70753,59629,63915,57100,64934,62485,54483,53450,51740,45860,46603,45121,37109,38540,37502,21472,21494,21052
3 h 16 min,70836,59868,64673,57755,65882,63514,55354,53472,52667,46328,46861,44923,36965,38724,38299,21768,21770,21011
3 h 18 min,71879,60681,65040,58328,66728,63433,56178,53966,52527,46373,47085,45660,37120,39128,38305,21683,21813,20891
3 h 20 min,72571,60940,65786,59194,67235,64121,56070,54474,52773,46446,47826,45663,37633,39285,38261,21854,21873,21138
3 h 22 min,73587,62205,66741,58954,67197,64585,56477,55551,53100,46710,48206,45899,37912,39810,38207,22099,21840,21250
3 h 24 min,73937,61716,67243,59788,68085,65295,56733,54864,53613,47146,48049,46449,37776,39604,38603,21886,21909,21306
3 h 26 min,74448,62522,67294,60335,67972,65553,57545,55252,54147,47723,48650,46713,38333,39718,38802,22025,22206,21385
3 h 28 min,75606,63097,67839,60482,68876,66269,57677,56206,54515,47959,48643,46888,38217,39709,38895,22194,21820,21913
3 h 30 min,75594,63864,68724,61077,69578,66722,58799,56016,54961,47768,48653,47291,38804,39735,39191,22294,21966,21669
3 h 32 min,75930,64170,69192,61405,70086,67598,58914,56755,55093,48805,48988,47808,38409,40165,39585,22277,22222,21769
3 h 34 min,77012,64866,69817,61886,69863,67964,59000,57551,55755,49087,49503,48093,38609,40032,39088,22336,22563,21754
3 h 36 min,77746,65459,70997,62177,70802,68793,59725,57150,55867,49177,49622,47899,38846,40549,39376,22374,22243,21711
3 h 38 min,78106,66205,70989,63238,71372,69119,60152,58054,55795,49436,49763,48204,39290,40262,39601,22459,22554,21784
3 h 40 min,79275,66804,71779,63797,71681,69350,60378,57578,56256,50029,50681,48567,39754,41259,40093,22849,22758,22196
3 h 42 min,78882,67485,72280,64076,72272,69670,60542,58578,56650,50281,50441,48458,39540,40710,40242,22233,22603,22096
3 h 44 min,79799,68116,72269,64110,73227,70052,61222,59059,56912,50324,50773,49297,39628,41114,39857,22933,22644,22210
3 h 46 min,80925,68367,72872,64999,73576,70880,61695,59818,57126,50934,51302,49725,39799,40969,40270,22868,22884,22141
3 h 48 min,80762,69584,74064,65143,73362,71013,61755,59799,57687,51287,51415,49629,39785,41206,40480,23051,23070,22279
3 h 50 min,81439,69523,74643,65834,74203,71692,61957,60187,57912,51177,51887,50258,39786,41610,40480,23134,23143,22215
3 h 52 min,82935,70064,75870,66327,75186,72869,63029,60065,57976,51704,52236,50249,40483,42066,40631,23051,22767,22550
3 h 54 min,82602,71118,76264,66322,75651,73027,63138,60858,58484,51815,52585,50729,40512,41800,40954,23213,23034,22463
3 h 56 min,83642,71923,76884,67511,76114,73009,63673,61171,58594,52011,52557,50997,40004,42171,40952,22993,22932,22366
3 h 58 min,84023,72960,77618,67708,76673,72865,64116,61823,59077,52282,52885,51532,40697,41804,40903,23151,23168,22615
4 h ,84781,72991,78166,68192,76700,74393,64170,62525,59249,52906,52947,51106,40549,42297,41543,23134,23439,22658
4 h 2 min,85253,74135,78765,69265,77675,74596,64965,62538,59937,52761,53416,51319,41193,42364,40914,23137,23209,22392
4 h 4 min,86137,74822,80264,69591,77637,74977,65032,62697,59688,53269,53740,51611,41369,42864,41437,23201,23262,22610
4 h 6 min,86621,75890,80699,69921,78452,75452,65565,63624,59728,54012,54054,51882,40956,42927,41584,23155,23198,22618
4 h 8 min,88056,75833,81488,69932,78844,76079,66014,63206,60540,54284,54428,52689,41096,42804,41614,23027,23355,22492
4 h 10 min,87922,76804,81699,70182,78826,76657,67074,63664,60504,53957,54147,52600,41199,42874,42057,22997,23538,22614
4 h 12 min,88756,77889,82955,71252,79485,77421,66759,64397,60779,54171,54487,52968,41547,43138,42136,23481,23240,22671
4 h 14 min,89286,78733,82782,71702,79484,77371,67093,64662,61480,54608,54537,52887,41520,43024,42325,23363,23557,22592
4 h 16 min,89963,79424,83966,72139,80399,78728,67636,64617,61917,54573,54925,53274,41673,43622,42468,23159,23671,22934
4 h 18 min,90679,80156,84333,72653,81189,79093,68123,64994,61323,54934,55098,54140,42169,43548,42276,23760,23292,22886
4 h 20 min,91330,81152,85897,73180,80808,79092,68527,65280,62112,55286,55453,53480,41623,43349,42243,23542,23699,23156
4 h 22 min,92205,81843,86806,74034,81664,79475,69308,65758,62605,55415,55589,54269,41841,43751,42492,23679,23904,23152
4 h 24 min,92836,83032,87838,74018,83051,80049,68982,66089,62443,55792,55991,54289,42197,43914,42387,23768,23842,23142
4 h 26 min,93466,83619,88770,74272,82890,80243,69332,66039,62884,55764,55669,54315,42369,43885,42826,23681,23923,22942
4 h 28 min,94070,83950,89197,74753,83077,80770,70142,66577,63242,56788,55969,54460,42452,43762,43050,23863,23757,23190
4 h 30 min,94942,84777,90098,75322,84066,81293,70664,67568,63842,56632,55938,54971,42684,44166,43034,23984,23880,23404
4 h 32 min,95710,85449,90561,75777,84571,81812,70989,67372,64236,56282,56521,54588,42447,44772,43153,23862,24023,23416
4 h 34 min,96166,86061,91546,76655,86052,81573,71249,67767,64420,57002,56555,55533,42771,43935,43409,23811,24224,23357
4 h 36 min,97641,87578,92635,76949,86046,82923,71363,68718,64397,57527,56848,55854,42136,44404,42997,24057,23959,23199
4 h 38 min,97952,87868,93498,77256,86531,83364,71894,68586,64859,57708,57229,55888,42744,44933,43232,24035,23822,23516
4 h 40 min,98202,88545,94033,78109,87438,83366,72320,68958,65603,57918,57503,55429,42865,44720,43104,23997,24290,23296
4 h 42 min,99232,89788,95150,78757,87794,84176,72988,69126,65455,57855,57808,56128,43089,45027,43582,24056,24430,23272
4 h 44 min,99433,90101,95828,78944,88589,84634,73586,69699,66326,58544,57976,56312,43346,44926,43405,24040,24172,23263
4 h 46 min,100254,90618,96818,79398,89290,85705,73653,69906,66420,58046,57860,56357,43273,44657,43739,24161,24173,23461
4 h 48 min,101302,91474,96694,79958,90085,85395,74187,70247,66628,58967,58378,56332,43519,45080,43847,24301,24237,23287
4 h 50 min,101909,92602,98189,81273,90518,86132,74183,70658,66975,59071,58934,56608,43342,45475,44335,24088,24394,23599
4 h 52 min,102972,93054,99510,80926,90724,86866,74490,70864,67198,59326,58764,56589,43571,45305,43983,24402,24262,23807
4 h 54 min,103695,94006,99649,82018,91750,87213,74955,71212,68125,59238,59580,56953,43784,45426,44014,24623,24372,23829
4 h 56 min,104263,93887,101378,83240,92001,87845,75822,71347,67831,59297,60256,57955,43670,45748,44350,24405,24412,23600
4 h 58 min,105179,95348,101309,83591,93291,88494,75781,72000,68558,60012,59765,57241,43565,45824,44663,24574,24486,23522
5 h ,106072,96310,102501,83918,93348,88629,76842,72337,68783,60057,60564,57471,43911,45736,44688,24447,24637,23708
5 h 2 min,107070,96527,102870,84901,94900,89533,76584,72349,69255,60132,60987,58142,43901,45840,44551,24576,24499,23440
5 h 4 min,107608,97495,103891,85965,94592,90401,77498,73145,69399,60252,60869,58522,43980,45844,44583,24744,24428,23844
5 h 6 min,108479,98084,105035,85518,95595,90924,78199,72760,69954,60680,61054,58563,43782,46271,45096,24868,24653,23975
5 h 8 min,108726,98896,105035,86536,95979,91235,78274,73354,69979,60337,61570,59025,44388,46180,44882,24632,24564,23915
5 h 10 min,109388,99238,106555,87018,96659,91544,77895,73900,70247,62056,62287,59227,44420,45907,44685,24787,24676,23995
5 h 12 min,110449,100151,106630,88111,96736,91979,79200,73848,70167,61304,61932,59556,44442,46129,44922,25218,24828,24068
5 h 14 min,111164,100430,107770,88729,96997,92610,79092,74613,70227,61995,62665,59620,44551,46195,44998,24701,24957,24059
5 h 16 min,111893,100389,108349,88853,97849,93914,79550,74887,71139,62412,62591,59566,44801,46410,45030,24939,24777,23691
5 h 18 min,112603,102182,108987,89703,98592,93845,79804,75722,71754,62489,63313,59633,44898,46068,45321,24784,24790,24177
5 h 20 min,113884,102203,109822,89867,99408,94548,80163,75653,71950,62756,63283,60464,44794,46429,45672,25071,25049,24175
5 h 22 min,114002,102854,110411,90784,100328,94905,80952,76096,72446,62953,63214,60345,44545,46449,45343,24803,24943,24263
5 h 24 min,115120,104058,111515,90717,99897,95728,80869,76593,72112,62890,64206,61040,44724,46712,45257,24811,25338,24044
5 h 26 min,115645,104107,111817,91868,101189,95760,81446,76525,73352,63323,63887,61299,45214,46853,45482,25099,24862,24174
5 h 28 min,115837,104737,112220,92160,101253,96649,81795,76816,72984,63748,64383,61001,45129,46791,46046,25242,25340,24104
5 h 30 min,117005,105636,113677,93306,101385,97720,82158,76980,73366,63746,64997,61159,45057,47056,45660,25183,25041,24462
5 h 32 min,118157,106002,113810,93751,102333,98486,83332,77723,74331,64164,64950,61629,45089,46937,45652,25278,25447,24290
5 h 34 min,118536,106940,114642,93788,103137,98484,83390,78099,74712,64306,65269,61794,44888,47079,45991,25011,25173,23920
5 h 36 min,119217,107453,115184,95066,103423,98956,83159,78346,74471,64796,66056,61861,45347,47455,45275,25140,25433,24116
5 h 38 min,119426,107572,116043,95105,103500,99754,84249,78334,74922,65436,66764,62470,44943,47238,46201,25287,25383,23877
5 h 40 min,119900,108315,116940,95919,103775,100033,84041,79526,75283,64942,68219,61881,45293,47361,46172,25268,25147,24413
5 h 42 min,120697,108938,116902,96499,104661,100821,85020,79466,75255,65129,68284,62491,45250,47505,46608,25357,25229,24127
5 h 44 min,121533,110131,118071,96569,105051,100599,85200,79918,76063,64886,68272,63091,45507,47474,46145,25369,25331,24340
5 h 46 min,122494,110202,118248,96810,105230,101614,85511,80480,75906,65545,68023,62972,45769,47707,45935,25475,25303,24214
5 h 48 min,123187,110382,119210,97127,105852,102014,85766,80452,76366,65945,68975,63254,45441,47662,46205,25161,25275,24427
5 h 50 min,122996,111198,119117,97963,106142,102343,86577,81179,76609,66121,68390,63437,45662,48010,46424,25649,25514,24372
5 h 52 min,124791,111303,119931,98716,106747,102789,86978,80750,76775,66516,69058,63538,45604,47787,46079,25500,25406,24263
5 h 54 min,125217,113013,121241,99186,106396,103789,87191,81603,77225,66273,69411,63383,45982,48276,46158,25499,25316,24438
5 h 56 min,124533,112845,121350,99824,107111,104002,87704,82045,76731,67241,69404,64146,45417,48133,46192,25476,25473,24362
5 h 58 min,125866,112685,121577,99786,108297,104501,87949,82157,77269,67082,69478,64180,45730,48250,46890,25635,25708,24038
6 h,125780,113681,122945,100501,108035,104433,88564,82922,78459,67240,69598,64276,45761,48279,46834,25642,25880,24088
