time,To3 5 + Tr3 5,To3 5 + Tr3 5,To3 5 + Tr3 5,To3 5 + Tr3 4,To3 5 + Tr3 4,To3 5 + Tr3 4,To3 5 + Tr3 3,To3 5 + Tr3 3,To3 5 + Tr3 3,To3 5 + Tr3 2,To3 5 + Tr3 2,To3 5 + Tr3 2,To3 5 + Tr3 1,To3 5 + Tr3 1,To3 5 + Tr3 1,To3 5,To3 5,To3 5,Negative,Negative,Negative
5 h 8 min,159437.5,159289.5,156358,136583.5,137888,126416.5,129668,98406.5,113077,88124,85695.5,93180,94219,82651,92813.5,37214,30250,30365,22307,22223,23104
5 h 10 min,161080,160605.5,156609,137441,138295,127165,129899,98540,112832.5,88631,86041.5,93598,95168.5,83443,93010.5,37512,30852,30684,22245,22293,23370
5 h 12 min,161939.5,161571,156874,138885.5,139446.5,127581,131173,98579.5,113500,89597,86583.5,94304,95541.5,83194,92951,37751,30637,30649,22167,22201,23457
5 h 14 min,163288.5,162853,158069,139065,139434.5,127851,131941,98558.5,113731,89824.5,86943,94415.5,96189.5,84052.5,93329,37510,31041,30686,22616,22288,23139
5 h 16 min,164125.5,163768,158667,140274,140415,128418.5,132807.5,98360.5,113648.5,90468.5,87591.5,94837,96453.5,84096,93375.5,37721,31259,30776,22621,22155,23299
5 h 18 min,165061,164548,159526.5,139897,140875.5,128739.5,133593.5,98727.5,113599,90753,88143,95602.5,97031.5,84455.5,93662.5,37493,30828,30706,22525,22303,23118
5 h 20 min,166054,165830.5,159993,140969.5,141998,128291.5,134835,98810,114868.5,91152,88498,95967,97269,84974.5,93915.5,37631,31214,30830,22607,22432,23283
5 h 22 min,166771,166506.5,161023.5,141450,142072.5,128629,135502.5,98586,114524,91432.5,88918,96563,98347,84570,94413,37505,31106,30841,22711,22410,23431
5 h 24 min,168237.5,167509.5,162316,142585,143144.5,129125.5,136506,99051,114075.5,92202,89378,97072,98637,85411.5,94613,37909,31101,31181,22777,22555,23375
5 h 26 min,169158.5,168382,162301.5,143831.5,143998.5,128896.5,137092.5,98874.5,115543,92447,89843,97709.5,99298.5,85464.5,94498.5,37760,31385,31172,22551,22471,23290
5 h 28 min,170185.5,169953,163845,143548.5,144929.5,128864.5,138042,98948,114183.5,92834,90168,98001.5,99581,85822.5,94571.5,38037,31140,30974,22772,22527,23346
5 h 30 min,170617.5,170458.5,164291.5,145138.5,145196,129750,138905,99495.5,114759.5,93093,90529.5,98070.5,99961.5,86111,94779,37941,31761,31143,22761,22395,23619
5 h 32 min,172435.5,172403,164724.5,145298,145619.5,129760,139498.5,98798.5,115174.5,94057.5,91157.5,98600.5,100803,86123.5,94903,37888,31349,31128,22807,22677,23256
5 h 34 min,172908.5,172091.5,165268,146249.5,146167,129882.5,140635,99423.5,115168.5,94658,91697.5,99330.5,101293.5,86581.5,94834.5,38508,31267,31628,22595,22562,23482
5 h 36 min,173942.5,173208,165928,147269.5,147079,130429,141483,99078,115352,94635,92382,99854,102050,87265.5,94832.5,37710,31442,31461,22770,22446,23404
5 h 38 min,174450.5,174331.5,166568.5,148083,147164.5,130121.5,141896,98997,115232.5,94671.5,92776,100423.5,102185.5,87234.5,95700,38110,31365,31408,22461,22671,23438
5 h 40 min,176178.5,175298,167830.5,149303.5,147826.5,130051,143434,99337.5,116909.5,95506.5,93147,100807,102649,86996,94842,38110,31868,31495,22777,22795,23312
5 h 42 min,176846,176604,168429,149272.5,148829,130566,143909,99319,116348.5,96036.5,93588.5,101080.5,102904,87385,95100.5,38474,31823,31537,22826,22684,23336
5 h 44 min,177723,178008.5,169028,149781,149925.5,129976,144371.5,99316.5,115577,96900.5,93861.5,101609,103593,88072.5,96011,38248,31997,31692,22766,22802,23519
5 h 46 min,178921.5,178608,170344,150466,150078.5,130535.5,145993.5,99384,115532,96432,94316,102692,103789,87552,95355,38186,31705,31670,22491,22692,23656
5 h 48 min,178961,179388.5,170499.5,150568,150531,129990,146344.5,99769.5,115486.5,97255,94803.5,102681.5,104644.5,88101.5,95519.5,38091,31983,31907,22771,22736,23549
5 h 50 min,180327,180346.5,171473.5,151813,150467.5,131131.5,147206,99200.5,115457.5,97611.5,95101.5,103271.5,104874.5,88176.5,95738.5,38618,31740,31853,22856,22804,23738
5 h 52 min,180978.5,181292,171038,152673,151324,131089.5,147497,99273.5,115928,98147.5,95178,103167,105244.5,88451,95584,38185,31901,31706,22769,22619,23698
5 h 54 min,182456.5,181640,172053.5,153264,152025,130614,148814.5,99426.5,116003,98948.5,96109.5,103683,105892.5,88196.5,95731,38716,31977,31798,22773,22722,23647
5 h 56 min,183306,183138.5,172846,153910.5,152427,130487.5,149147.5,99811,116093,98785,96305,103758.5,106565,88600.5,95740.5,39007,32058,31784,22619,22912,23816
5 h 58 min,183481.5,184778.5,173598,154753,153014,130796,150345,99730.5,116601.5,99296,97290.5,104988,106791.5,88950,95669.5,38795,32179,32015,22794,23227,23584
6 h ,184467,185270.5,173537,155242.5,153423,131300,151026,99384.5,116940,99976,97328.5,104990,107087,88905.5,95943,38841,32441,31871,22777,22868,23550
6 h 2 min,186130,186463.5,174293,156069,153798.5,131055,151692,99770.5,116013.5,100472.5,97412.5,105341,107652.5,89151,96120.5,38754,32438,31994,22993,23119,23552
6 h 4 min,186766.5,187606,174964,156657,154014.5,131002,152600.5,99899,116991.5,100945.5,98161.5,105828,108183,89168,96206.5,38751,32117,31679,22603,23001,23762
6 h 6 min,187066,188102.5,176154,156753,154436,130942,153305.5,99630,116052,101082,98670.5,106034,108427.5,88884.5,96196.5,38779,32195,31617,22972,22854,23835
6 h 8 min,188324,188754.5,176086,157535,154775,130838,154248,99659.5,116128.5,101686.5,98769.5,106805,108875,89317,96172,38699,32190,31825,22927,22832,23726
6 h 10 min,189290.5,189758,176939.5,157630,155389.5,131173.5,155002,99963.5,115961,101447.5,99127.5,107133,109112.5,89281.5,96016.5,39068,32464,32036,22745,22953,23831
6 h 12 min,190235.5,190508,177337,159213,154770,131064,155727,99733,117509.5,102152.5,100159,107598,109834,89267.5,96459.5,39139,32506,31561,22814,22794,23491
6 h 14 min,190608.5,191467,177670.5,159852.5,155855,130420,155747,100642,116825.5,102333,100315.5,108021.5,109941.5,89517,96548.5,39082,32524,31857,22966,22954,23468
6 h 16 min,191983.5,192056,177759.5,160044.5,155578.5,131119.5,156870,99994,116035.5,102730.5,101013.5,108816.5,111038.5,89911.5,95915.5,39131,32221,32023,22901,23275,23629
6 h 18 min,193042,193468.5,178463,160494,156134,130944,157297,100221,117190.5,103282,100732.5,108881.5,111469.5,89861,96301,39214,32202,31932,22780,23120,23768
6 h 20 min,193053,194109,178917.5,160899,156356,131322.5,158007.5,100231.5,117672,103966.5,101710,109431.5,111665.5,89897,96463,39388,32225,32078,23201,23448,23902
6 h 22 min,194440.5,194703,179208.5,161298.5,156988,131242,158433.5,100498,116778,104247.5,102123.5,109657,111556.5,89898,95913,39214,32199,31852,22909,23025,23658
6 h 24 min,193877,196409.5,179163.5,161908,157063,131177,159391.5,99656,116709.5,104092,102452.5,110384,112694.5,89835.5,96408,39256,32291,32180,23036,22794,23585
6 h 26 min,195222,196739.5,179966.5,162535,156816.5,131551.5,160142.5,100301.5,116613.5,105345,102776.5,110848.5,112951,90032,96185,39340,32137,32125,23071,22928,23713
6 h 28 min,196343.5,197123.5,180847,162630.5,157854.5,131245.5,160259.5,100392.5,117023,105118.5,103324.5,111514,112888.5,90042.5,95998,39448,32238,32145,22818,23023,23868
6 h 30 min,196110.5,198809.5,180531,163447,157691,131538.5,160301,100591,117467.5,105472.5,103575.5,111744.5,113323,89746,96458,39416,32305,31871,22794,22928,23598
6 h 32 min,197852.5,198409.5,180667,163524,157764,131334,161160,100307.5,116528,105697.5,103983.5,112596.5,114074,89595.5,96649,39716,32062,31754,22928,23050,23854
6 h 34 min,197999,198770.5,181032,164445.5,157684.5,131802.5,161499.5,100745.5,116607,106218,104389.5,112653,114296,89901.5,96319,39389,31986,31803,22886,22924,23782
6 h 36 min,198684,200036,180577,164263,158542,130893,161785,100324.5,117799,106781,104791.5,112907.5,114530,90185.5,96408,39073,32070,31828,22925,23282,23624
6 h 38 min,199110,200628.5,181366,164621.5,158195,131185,162909,100700.5,117441,106739.5,105245,113141.5,115306.5,90291.5,96653,39408,31925,31661,22872,23268,23874
6 h 40 min,199878,201629,181431.5,165474.5,157862.5,131406,162932.5,100507.5,116747.5,107981.5,105296.5,113346,115394,90720,96532.5,39783,31949,31991,23053,23209,23621
6 h 42 min,199533,202369,181661.5,165236.5,157906.5,132154.5,163579,100729,116431,107333.5,105757,114395.5,115535.5,90602.5,96745,39213,31817,31590,22648,22979,23715
6 h 44 min,200300,202860.5,181795.5,165504.5,158311,132045,164469,100185,117598,107854,106562.5,114374,116241.5,90301.5,96343,39545,31950,31907,22935,23271,23737
6 h 46 min,201876.5,203430.5,182526.5,166144,158823,131914.5,163790,100620.5,117517,108676,106656,115577,116589.5,89685.5,96469.5,39798,31842,31832,23130,23441,23720
6 h 48 min,201940.5,203712.5,182107.5,166127.5,158748.5,131673,164530.5,100992,116952,108923,107181,114747,116143,90400.5,96921.5,39645,32044,31513,22842,23148,23633
6 h 50 min,202134.5,204218.5,182174.5,166218,158735,131213.5,164873.5,100742.5,117395.5,108959.5,107504,115791,116837,90610,96562.5,39398,32017,31809,23051,23356,23776
6 h 52 min,202518,205738,182540,166582,158852,131354.5,164748.5,100881.5,116620,109512,107874,115963.5,117117.5,90047,96565,39620,31855,31771,22926,23299,24097
6 h 54 min,202703.5,205287,183030.5,166929,159256,131877.5,165453,101007.5,116597.5,109219.5,108043,116495,117759.5,90256.5,96438.5,39495,31656,31474,22855,23099,23896
6 h 56 min,202377.5,206471,183169.5,167001,159721,131635,165436.5,100712.5,116602.5,109709,108592.5,117377.5,118935.5,90447,96641.5,39597,32032,31588,22837,23219,23868
6 h 58 min,202954.5,206558.5,182967.5,166861.5,158904.5,131739,165696.5,101032,116696.5,109811,108912,117227.5,118435.5,90475,96600.5,39811,31629,31451,23037,23358,23902
7 h ,203454.5,206916.5,182853,167502,159205,132309,165550,101224.5,117632,110663.5,109522.5,118380.5,118726,90429,96632,40048,31633,31414,23172,23184,23922
7 h 2 min,203948.5,207812.5,183249.5,167946,159610.5,131752,165925,101040,116661,110679.5,109694,118807,119259.5,90361.5,96457.5,39739,31966,31193,23085,23250,23760
7 h 4 min,204507,207630,183496.5,167536.5,159632,131928.5,166045.5,100823,116782,111018.5,109927,119034,119034,90788,97106.5,39804,31694,31214,23394,23335,24139
7 h 6 min,204600,208534.5,183370,167851,159761.5,132137.5,166397.5,101402,117136.5,111420,110203,118913.5,119466,90441.5,96652,39725,31482,31346,23380,23090,24251
7 h 8 min,205274.5,208477,183554.5,167671,159593.5,131921,166578.5,101157.5,116862,111316,110859,120026,119626.5,90566.5,96744.5,39394,31365,31228,23122,23280,23848
7 h 10 min,205307.5,209529.5,183581,168600,159848.5,132264,166951.5,100940.5,117190,111510.5,110673,120512,120557,90426.5,97039,39755,31683,31465,23418,23187,23794
7 h 12 min,205357.5,209749.5,183578.5,168305,159736,131804,167360.5,101379,116673,111678.5,111426.5,120744,120931,90663.5,96946.5,39873,31702,31227,23103,23411,23970
7 h 14 min,205403,209876,184144.5,168584.5,159683.5,132243,167238,101001.5,117135,111791,111506,120818,121030,90722.5,96828,40249,31400,31027,22905,23408,24139
7 h 16 min,205521,210410,184055,169013.5,160152,132224,166878.5,101301.5,117217,112005,111753.5,121273,120282.5,90934,96970.5,40365,31638,31064,23033,23398,23869
7 h 18 min,205982.5,210231.5,184297.5,168378.5,159771,132361,167480.5,101532,116787,112428,111988.5,121726.5,120467.5,91075,96897.5,39929,31515,30837,23093,23313,24034
7 h 20 min,206126.5,210324.5,183524.5,168568,159918,131806.5,167567.5,100936,117795,112320.5,112853.5,122095.5,120868.5,90768.5,96841.5,39721,31127,31296,22958,23306,24285
7 h 22 min,206397.5,210960.5,183836,168694,159997.5,132608.5,167572.5,101416.5,117643,112815.5,112164.5,122169.5,121575.5,91070,96880,39901,31178,30745,23132,23594,23713
7 h 24 min,206146,211144.5,184019,168631.5,160649,132034,167992.5,101225,118091,112791,112959,123269,122226,90990.5,97023.5,39871,31279,30913,23425,23514,23883
7 h 26 min,206473.5,211117.5,184421.5,168713.5,159306,132274,167794.5,101102.5,116995.5,112239.5,114088,123383,122397.5,90896.5,96501,39701,31345,30857,23398,23415,24052
7 h 28 min,206615.5,211052,184599,168754.5,160201.5,131947.5,167886,101584,116399.5,112630,114580.5,123545,121772.5,90825.5,96525,39627,31109,31046,23263,23531,24287
7 h 30 min,206790,212042,184646.5,168547,160264,131686,167340,101528.5,118725,112873.5,113896.5,124014,122420.5,90545,96894.5,39821,31097,30748,23268,23169,24010
7 h 32 min,206315.5,211680,184470.5,169358.5,159983,132360.5,167806,101227.5,118087,113119.5,113728.5,124169.5,122793.5,90986.5,96906.5,40181,31381,30494,23338,23426,24172
7 h 34 min,206503,211723.5,183969.5,169194.5,159421.5,131937,167602.5,101296,118489.5,113056,114327.5,124335,122543.5,90887.5,96855.5,39757,31101,30741,23357,23303,24012
7 h 36 min,206691,212110.5,184751,169097,160436,132174.5,167585.5,101668,116904,113497.5,114903.5,124276.5,122606,90846,96659.5,40049,30782,30256,23187,23796,24263
7 h 38 min,206909.5,212212,184325,169097,159951,132380,167741,101218,117045.5,113154.5,114701.5,124935.5,122692.5,90921.5,96894.5,39907,30579,30280,23351,23662,24182
7 h 40 min,207207.5,212101.5,184938.5,169463.5,160352.5,131542.5,167763.5,101464.5,118280.5,113464.5,114453.5,125404.5,123183,90842.5,97044,39968,30882,30171,23132,23420,24088
7 h 42 min,207131.5,212527.5,185020,169507,159896,132079.5,168017,101493,117357.5,113604.5,116390,125586.5,123419,91273,96654,39670,31258,30069,23328,23512,24103
7 h 44 min,206763.5,212773,184323,169395,160375.5,131490.5,167286.5,101400,116990,113980,116229.5,125710,123503,91168.5,96626.5,40071,30707,29961,22936,23692,24202
7 h 46 min,207763,213481,184540,169425,160353,131989,167897.5,101301.5,117205,113791.5,115773,126256.5,123164,91123.5,96564.5,39615,30278,30071,23322,23562,24007
7 h 48 min,206990,213539.5,184723,169697,160144.5,132027,168095.5,101447.5,118514,113876.5,115678,126361.5,123316.5,91545.5,96374.5,39785,30598,29956,23369,23866,23684
7 h 50 min,207236,213180.5,184188,169227,160377.5,131569.5,168122.5,101237,117757,113800.5,116788.5,126518,123458,90841.5,96624,39906,30297,30316,23375,23493,24099
7 h 52 min,207190,213983.5,185063,169756,160717,132200.5,168063.5,101490.5,117081,113937.5,116219,126677.5,123396.5,91458.5,96864,39691,30489,29996,22962,23423,24279
7 h 54 min,207645.5,213286.5,184511.5,169522.5,159819,131970,168123,101569,118331.5,113685.5,116315.5,126860.5,123768.5,91376,96338,39882,30177,29685,23057,23684,23904
7 h 56 min,207420,213076,184448.5,169260,160123.5,132203,168198.5,101266.5,117278.5,113899,117443,127144,124026.5,90949,96155,39681,30421,29698,23419,23457,24202
7 h 58 min,207653,212935.5,184365.5,169628,160132.5,131920.5,168675,101632.5,118315.5,114213.5,116403,126976,123102,91088.5,96846.5,39175,30057,29498,23400,23483,24195
8 h ,207399,213397.5,184782,168775,160668.5,132071.5,168116,101589,117288,113884,117211.5,127242.5,124145.5,91252.5,96608,39663,30002,29419,23550,23583,23856
8 h 2 min,207848.5,212475.5,185062.5,169212,160217,131980.5,168258,101020.5,118007,113793.5,117573,128031,124209,91046.5,96305,39850,30183,29296,23221,23875,24243
8 h 4 min,208155,213112.5,184998.5,169222.5,160022.5,134181.5,168177,101484,118388,114097.5,117849,127701.5,122715.5,91278,96390,39463,30414,28965,23223,23655,23926
8 h 6 min,208010,213501.5,184486.5,169430,160273,134042.5,168594.5,100854,117963,114409.5,118102,128102,124045,91079.5,95909,39055,30248,28916,23287,23597,23957
8 h 8 min,207666.5,213627,185275,169427.5,160774.5,133667,168915.5,101661.5,118082,114367,117713,128875,123882.5,91376,96833,39380,29599,28628,23272,23345,24279
8 h 10 min,207653,213163,184725,169399.5,160962,134017,168463.5,101534,117184.5,113772.5,117840.5,128870.5,123700,91113.5,96429,39585,29661,28325,23023,23477,24163
8 h 12 min,208288,213153,184861,169256,160526.5,133673.5,168157.5,101793,117126,114350,118444,128582.5,124039,91107.5,96126,39723,29978,28160,23074,23681,23856
8 h 14 min,207673.5,214066.5,184507.5,169767,160500,133924,168286,101442,118409.5,114070.5,118212,129097,124222,91027.5,95950.5,39426,29730,27711,23112,23659,23936
8 h 16 min,208007.5,213479.5,184894,169159,160609.5,133081.5,168629.5,101763.5,118662.5,114303,118214,129343,124126.5,91509,96138,39369,29629,27964,23022,23323,23992
8 h 18 min,208006.5,214391.5,185251.5,169030.5,160736,133183,167891,101211.5,118085,113772,118392,129701.5,123046.5,91098,96077,39415,29627,27286,23063,23542,23772
8 h 20 min,207306,214065,184693,169579.5,160530.5,133172,168498,101284,117433.5,114990,118441,129226,124011.5,91550,96254.5,39291,29555,27548,23036,23678,23926
8 h 22 min,208190,214039.5,184976.5,169315.5,160444,133400,168079,101727.5,117256,114311.5,117969.5,129792,124580.5,91316.5,96170,39166,29045,27909,23104,23486,24130
8 h 24 min,207863.5,214391.5,185169,169639.5,160159.5,134011.5,168782.5,101101,118814,113889.5,119139,129948.5,124308.5,91595,95656.5,39079,29093,27719,22957,23637,23825
8 h 26 min,207302,213884.5,184889,169208.5,160441.5,133688.5,168329,101196.5,117855.5,113714.5,118697.5,129793.5,123886,91488,96206.5,38818,28837,27923,22833,23493,23725
8 h 28 min,207084,213690,184689,169706.5,160472,133402.5,168203.5,101645,118077,114319.5,118788.5,130311,123915.5,91270,95627,38867,28435,27982,22738,23579,23647
8 h 30 min,207356.5,214261.5,184922,169244.5,160377.5,133210.5,168015,101422.5,117633.5,114281,117810.5,130348,123163,91051.5,95762,38976,28199,27763,22800,23525,23819
8 h 32 min,207820,213557.5,184979.5,169721,160627,133345,168448,101335,118445.5,114218.5,119267.5,130523,123788,91046.5,95960.5,38556,28001,27614,22903,23330,23581
8 h 34 min,207567.5,214260.5,185308.5,169927.5,160456.5,133217,168589.5,101299,117467.5,114055.5,118768.5,130296.5,123987,91434.5,96136.5,39065,28141,27431,22707,23517,23608
8 h 36 min,208282,213660.5,184908,170370.5,160668.5,133348,168649.5,101256.5,118435.5,113867,119139.5,130437.5,123513,91138.5,95505.5,38532,28297,28071,22517,23349,23582
8 h 38 min,207926.5,214351.5,184581.5,169357,160786,133459.5,169185.5,101473.5,118636,114285.5,119152,130319,124047.5,91425.5,95608.5,38779,28313,27639,22708,23728,23468
8 h 40 min,208151,213644.5,184178,169322,160008.5,133343,168616.5,100961.5,118320.5,114262.5,118868,130460,124185,91314.5,95361.5,38718,28208,27575,22804,23480,23476
8 h 42 min,207673.5,213086.5,184356,169627.5,160054.5,133112,168658.5,101549,117834.5,113952.5,118919.5,130766,124099.5,91179,95670.5,38607,28035,27964,22487,23294,23161
8 h 44 min,208563.5,213745.5,184109.5,168885,160973.5,133295,168867,101092.5,117366.5,114304.5,119379.5,130473,123483.5,91154,95688.5,38473,28093,27546,22411,23328,23582
8 h 46 min,208381.5,213532,184566,169074,160524,133779.5,168348.5,101117.5,117286,113997.5,118897.5,130140.5,123918,90627.5,95476.5,38517,28378,27583,22162,23575,23541
8 h 48 min,207957.5,213792.5,184189.5,169338,160580,133203,168722,101224,118263,114059,118790,130622,123651,91164,96237,38582,28332,27961,22745,23628,23219
8 h 50 min,208721,213265,183976.5,169048,160051.5,133201.5,168444,101296.5,118077,113866,118867.5,131180.5,123914.5,91323,95423,38325,28328,27620,22425,23268,23339
8 h 52 min,208159.5,213736,184285,169080.5,160655.5,132708.5,168951,100970.5,117487.5,113989,118981.5,130609,123952,91522.5,95825.5,38311,28211,27875,22243,23629,23398
8 h 54 min,207770,213624.5,184857.5,169388,160046,133008.5,168484.5,101228.5,118229,113757.5,119003,130727,123838.5,90895.5,95206,38443,28116,27778,22344,23295,23086
8 h 56 min,207775,213557,184825,169514.5,159850,132850,168888,101194.5,118668.5,114255,118921.5,130660,123507,91252.5,95673.5,37993,28042,27863,22247,23473,23114
8 h 58 min,208542,213525,184822,169169,160076.5,133166.5,168985.5,101252,117028,114463,119376.5,130461,123807,90970,95168,38324,27962,27706,22229,23569,23253
9 h ,207978,213081,184911.5,169233,160172.5,133234,168836.5,101322.5,117256.5,114030,118829.5,130727,123364.5,90954.5,95170.5,38225,27863,27726,22033,23490,22862
9 h 2 min,208530.5,212890,184332,168876.5,161345.5,133215.5,168476.5,101572,118476.5,113514.5,119445,131275.5,123506.5,90592,95319.5,38182,27817,27966,22116,23680,22747
9 h 4 min,208665.5,214025,184408.5,169510.5,160593.5,133167,169423.5,101124.5,116878.5,113793,119021.5,130470.5,123302.5,90753,95186.5,38341,27829,27702,22158,23486,22603
9 h 6 min,207649,214270,184274.5,168993.5,160502,133324.5,168557.5,101045.5,118139.5,113663,119116,130859.5,123481.5,90930.5,95026.5,38256,28199,27538,21777,23331,22605
9 h 8 min,208175,213757,184718,169571,160434,133390,168511.5,101319.5,117086.5,114027.5,118678,131130.5,122984,91305,95176,37898,28128,27854,21842,23331,22521
9 h 10 min,208420.5,213674.5,184957.5,169093,159611.5,132603.5,168646,101254.5,117211,113726.5,119035.5,130946.5,123509,90910.5,94901,38127,28364,27915,21669,23237,22270
9 h 12 min,208362.5,213580.5,184491.5,169071,160135.5,133401,168916.5,100912.5,116797.5,113833.5,119241,130471.5,123364.5,90705,95032.5,38212,27898,27597,21747,23023,22478
9 h 14 min,208702,212934.5,184446,169337,160526,133375,168985.5,101299,117957,113786.5,118694,131081,123482,90740.5,94996,38616,28051,27643,21651,23240,22415
9 h 16 min,208427,213598,184545,169551.5,160085.5,132831,168806.5,101399,118422.5,113551,118725,130836.5,123334.5,90653.5,94854.5,38269,28340,27698,21442,23176,22333
9 h 18 min,208298.5,213783,184937.5,169274.5,160433.5,133429.5,169051,101479.5,117698,114082,118338.5,131064.5,123427.5,90688,94863.5,37788,27964,27668,21420,23306,22376
9 h 20 min,208389,213513.5,184469,169678,160153.5,132924.5,168645.5,101236.5,117913,113569,118887.5,131145.5,123409.5,90573,94717.5,38011,28117,27466,21424,23114,22107
9 h 22 min,208510,213437.5,184396.5,169388.5,159875.5,132700.5,169076.5,101196,117945,113721,118638.5,131462,123194,90511,94954.5,38130,28228,27874,21368,23049,22147
9 h 24 min,208596,213393.5,185039.5,169348,160053.5,133274,168993.5,101095,116278.5,113552,118596,131144.5,123384.5,90810.5,94496,37982,27822,27937,21347,23299,21720
9 h 26 min,208249.5,213632,184045.5,169272,159922.5,132849.5,168676.5,101371.5,116548,113599,118879,130980.5,123114.5,90207.5,94868,38111,28142,27817,21146,23037,21917
9 h 28 min,208341.5,213556.5,184499.5,169524.5,160209,132770,169345.5,101269.5,117875.5,114192,118873.5,131365.5,123387.5,90458.5,94650.5,37932,28218,27700,21237,23036,21848
9 h 30 min,208492.5,213967,183654,169610.5,160429.5,132975.5,169012.5,101122.5,117815.5,113388,118607.5,130739.5,122112.5,90541.5,94974.5,38001,28349,27646,21335,22923,21812
9 h 32 min,208662,213834,184298,169150,160287,132992.5,169877.5,101238,117924.5,112975.5,119035,130863,123690.5,90325.5,94763.5,37775,27819,27730,21205,23268,21789
9 h 34 min,208518,214058,184247,169504.5,160609,133097.5,168773,101593,117930,113279.5,118846.5,131146.5,123265.5,90383.5,94514,37824,27888,28175,20793,23083,21597
9 h 36 min,208475.5,213797,184581,169146.5,160582,133182,169060,101556,117157,113272.5,119362,130268,122963.5,90255.5,94383,38015,27812,27855,20708,22785,21751
9 h 38 min,208287,213558.5,184369,169357.5,160028.5,133724.5,169131.5,101288.5,118153,112880.5,119178,131238,121889.5,90859.5,94515,37716,28075,27883,20697,23159,21780
9 h 40 min,208376.5,213527,184663.5,168915,160368.5,133346,169586.5,101169.5,117799,113422.5,118384,130999,122687,90444,94140.5,37570,28337,27966,20823,22776,21573
9 h 42 min,209057.5,213541,183796,169151,160298,133433.5,170005.5,101145.5,117879,113149.5,118772.5,130745,123188.5,90689.5,94667.5,37754,27899,28341,20767,22940,21536
9 h 44 min,209044,213455,184544,169447.5,160495,132950,169193,101131.5,117754.5,113370,118847.5,131258,122832.5,90541,94284,37691,28067,27904,20646,22803,21448
9 h 46 min,208697,214010,184442.5,169506,160760.5,133851,168986,101247,117267,113359.5,118772.5,131169.5,122789,90335.5,94898,37565,28021,27922,20724,22917,21463
9 h 48 min,208446,214444,184000.5,168799,160969,132739.5,169275.5,101253.5,116683,113310.5,118882.5,130863.5,122964.5,90677.5,94893.5,37695,28246,27959,20529,22696,21285
9 h 50 min,208215.5,213215,184432.5,168981,160977.5,133432,169370,101570.5,117916.5,112973,118705.5,130803.5,123472,90089.5,94667,37618,27999,27961,20566,22826,21205
9 h 52 min,209143,214108.5,184414.5,169126,160745,132766.5,169800.5,101703,117609,113407.5,118934,130565.5,121498.5,90387,93965.5,37631,28092,28018,20342,22791,21354
9 h 54 min,208420.5,214027,184011.5,169146.5,160237,133493,169422,101203.5,117694,113314,118736.5,131221,122453,90414,94842,37652,27971,27882,20567,22638,21290
9 h 56 min,208546,214308.5,184337,169389.5,160334.5,133530.5,169652,101037.5,117562.5,112949.5,118779.5,130635,122319.5,90339.5,94390.5,38183,28039,28221,20347,22544,21174
9 h 58 min,208618,214067.5,184506,169100,160518,132986,169669.5,101328.5,116255.5,113322,118669.5,130901,122521.5,90570.5,94168,37558,28038,28100,20253,22324,21197
10 h,209081,213780.5,184268,169568.5,160222,133408.5,169954,101474.5,117259.5,112883,118463,130984.5,122410,90197,93971.5,37829,28522,27622,20403,22435,20891
