time,Negative,Negative,Negative,To3 3 nM + Tr3 5 nM,To3 3 nM + Tr3 5 nM,To3 3 nM + Tr3 5 nM,To3 3 nM + Tr3 3 nM,To3 3 nM + Tr3 3 nM,To3 3 nM + Tr3 3 nM,To3 3 nM + Tr3 5 nM + aTr3 5 nM,To3 3 nM + Tr3 5 nM + aTr3 5 nM,To3 3 nM + Tr3 5 nM + aTr3 5 nM,To3 3 nM + Tr3 5 nM + aTr3 10 nM,To3 3 nM + Tr3 5 nM + aTr3 10 nM,To3 3 nM + Tr3 5 nM + aTr3 10 nM,To3 3 nM + Tr3 5 nM + aTr3 15 nM,To3 3 nM + Tr3 5 nM + aTr3 15 nM,To3 3 nM + Tr3 5 nM + aTr3 15 nM
5 h ,17470,20451,20608,107898,105541,99253,23757,22935,23242,46714,58846,51225,42177,40104,23766,27011,31282,35744
5 h 2 min,17472,20573,20607,107849,106158,99857,23769,22834,23464,47139,59645,51594,42300,40356,24192,27245,31448,35755
5 h 4 min,17727,20617,20606,108979,106383,100093,23815,23585,23462,46647,59640,51507,42396,40308,24014,27277,31708,36080
5 h 6 min,17434,20333,20539,109123,107755,100333,23772,23271,23369,47176,60117,52094,42868,40741,24172,27145,31426,35956
5 h 8 min,17274,20422,20425,109182,107204,100816,23730,23079,23387,47294,60218,51936,43037,40453,24285,27277,31443,36214
5 h 10 min,17557,20497,20476,110028,107156,101220,23749,23133,23858,47826,60315,52202,42876,40836,24213,27185,31679,36466
5 h 12 min,17497,20479,20563,110516,107978,101208,23783,23119,23484,48186,60287,52614,43045,40695,24348,27411,31560,36366
5 h 14 min,17278,20478,20454,110690,108547,101456,23679,23527,23709,48123,60814,52166,43410,41029,24420,27506,31511,36242
5 h 16 min,17256,20280,20361,111410,109045,102439,23799,23352,23917,47739,60714,52609,43360,40980,24552,27502,31682,36307
5 h 18 min,17324,20596,20470,111825,109703,103363,23912,23179,23868,48695,61393,53029,43504,41206,24485,27252,31993,36410
5 h 20 min,17141,20484,20546,112152,109412,103690,23805,23220,23509,47914,61725,52963,43810,41423,24618,27456,31642,36932
5 h 22 min,17257,20655,20582,112674,110092,103398,23969,23438,23550,48725,61551,53181,43503,41937,24255,27598,31687,36885
5 h 24 min,17155,20264,20367,112869,110295,103839,24077,23674,23974,48639,62283,53423,43573,41768,24491,27430,31492,36860
5 h 26 min,17074,20448,20500,112403,110698,104665,23954,23550,23727,48557,62691,53447,43980,41672,24653,27193,31515,36756
5 h 28 min,16986,20486,20709,112893,111032,104346,23912,23629,23703,49033,62270,53952,44125,41316,24527,27477,31713,36712
5 h 30 min,17192,20391,20515,113314,111665,104759,23895,23905,23969,49357,62905,54484,44104,42087,24866,27528,31123,37026
5 h 32 min,17103,20494,20356,113751,111449,104875,23954,23679,24023,48908,63447,54195,44065,41676,24666,27512,31431,37391
5 h 34 min,17023,20628,20366,114057,112526,105701,23966,23687,23638,49302,63853,54291,44956,42288,24909,27601,31137,36960
5 h 36 min,16963,20480,20496,115282,112880,105197,24270,23584,24029,49427,63925,54639,44751,42629,24885,27566,31305,37172
5 h 38 min,16945,20417,20509,115419,112880,105940,23963,23735,23921,49604,64373,54745,44776,42427,24859,27301,31553,37687
5 h 40 min,16877,20349,20340,115143,112618,106138,24303,23790,23936,49998,63970,54731,44842,42435,24853,27382,31130,37334
5 h 42 min,17111,20468,20621,115626,113300,106204,24434,23773,23927,49999,64230,54787,44831,42534,24841,27270,31084,37484
5 h 44 min,16883,20409,20358,116436,113691,106817,24272,23963,24195,50018,64997,55146,45001,42378,24656,27495,31141,37363
5 h 46 min,16618,20488,20349,116082,114358,107135,24111,23664,23899,50308,64989,55675,44847,42931,25068,27406,31272,37486
5 h 48 min,16628,20486,20615,116292,114665,107358,24350,24031,23849,50261,65155,55392,45119,42702,25035,27831,31004,37467
5 h 50 min,16639,20489,20367,116398,114434,107922,24292,23616,24073,50394,65674,55705,45209,42869,24707,27495,31231,37978
5 h 52 min,16805,20626,20564,116848,115202,108396,24248,23944,24179,50163,65410,55386,45818,43146,25008,27567,31152,37845
5 h 54 min,16783,20441,20432,117278,115056,107650,24347,23909,23875,50786,66376,55830,45574,43771,25105,27511,30704,37728
5 h 56 min,16595,20584,20448,117695,114555,108748,24213,23673,24448,50515,66262,56286,45997,43358,25256,27764,30841,38114
5 h 58 min,16601,20306,20591,117917,115623,108684,24448,24089,24298,50788,66586,56447,45638,43273,25377,27690,30892,38233
6 h ,16589,20446,20661,117778,116130,109378,24437,23947,24061,50716,66994,55802,45471,43667,25210,27652,30912,38415
6 h 2 min,16374,20377,20396,118141,116467,109061,24488,23823,24132,51116,67251,56494,45985,43562,25139,27376,30376,38339
6 h 4 min,16261,20680,20153,118358,116420,109401,24310,23968,24098,51360,67413,57103,46370,43601,25384,27599,30287,38299
6 h 6 min,16162,20145,20364,119165,116954,109288,24488,24013,24447,51424,67689,56640,46025,43731,25456,27566,30686,38719
6 h 8 min,16076,20484,20347,118981,117090,110233,24417,23694,24442,51902,68208,56792,46168,44043,25447,27647,30163,38637
6 h 10 min,16037,20180,20389,119386,116956,110103,24379,24228,24126,51306,68043,56930,46363,43843,25308,27345,30194,38881
6 h 12 min,16049,20237,20397,119555,117430,110719,24500,24022,24359,51889,68946,57318,46397,44079,25468,27385,30120,39363
6 h 14 min,16199,20222,20448,119889,117945,110128,24385,23967,23998,51651,68825,57001,46631,44543,25671,27310,30218,38783
6 h 16 min,16092,20366,20611,120428,117793,110707,24692,24071,24224,51853,69172,57349,46642,44248,25372,27354,29875,38876
6 h 18 min,16199,20346,20408,120394,118406,111133,24920,24469,24495,52246,69313,57602,46800,44682,25500,27247,29673,38675
6 h 20 min,16240,20178,20584,120898,119082,111897,24544,24105,24388,52178,69568,57745,47007,44459,25509,27205,29586,39146
6 h 22 min,16014,20257,20307,120712,119183,111868,24539,24124,24523,52546,69486,58164,47206,44681,25793,27073,29477,39088
6 h 24 min,15707,20286,20284,121082,119252,111197,24334,24050,24358,52094,70045,58176,47283,44458,25655,27167,28937,39207
6 h 26 min,15596,20119,20330,121236,119846,111713,24626,24488,24148,52047,70237,57940,47216,45033,25637,27039,28356,39471
6 h 28 min,15799,20466,20060,121016,119577,112173,24569,24281,24225,52124,70202,58322,47132,45247,25834,26972,29002,38995
6 h 30 min,15476,20289,20486,121787,119890,112572,24711,24133,24130,52932,71350,58377,47328,45216,25631,27046,28889,39663
6 h 32 min,15388,20615,20326,121533,119473,113270,24851,24165,24379,52497,71363,58951,47473,45403,25742,26978,28732,39133
6 h 34 min,15360,20550,20357,121789,120549,112888,24473,24277,24717,52595,71075,58421,47478,45459,26244,26807,28732,39401
6 h 36 min,15548,20550,20394,121831,120683,113254,24751,24169,24387,53239,71699,58897,47503,45613,26095,27174,28746,39333
6 h 38 min,15006,20400,20179,122073,120731,112784,24280,24371,24803,52989,72002,58715,47619,45231,26136,26669,28910,39269
6 h 40 min,14916,20450,20406,123449,120703,113563,24675,24344,24486,53314,72378,58835,47319,45634,26112,26568,28816,39266
6 h 42 min,15081,20146,20302,122708,120858,113330,24838,24274,24386,52651,72134,59071,48017,45445,26396,26663,28943,39422
6 h 44 min,15081,20359,20355,122437,121287,113594,24700,24368,24633,52667,72786,59406,47621,45599,26178,26836,29044,39547
6 h 46 min,15054,20312,20571,123064,121788,113749,24810,24169,24394,53063,73190,59055,47912,46007,26226,26879,29067,39574
6 h 48 min,14986,20161,20134,122651,121929,114328,24632,24371,24739,53055,73572,59080,48001,45681,26226,26722,28675,39996
6 h 50 min,14827,20226,20342,123114,122434,114399,24629,24407,24631,53337,73471,59418,48298,45681,26360,26735,28675,39677
6 h 52 min,14664,20117,20348,123581,122801,114317,24658,24644,24661,53524,74044,59380,48395,46030,26269,26580,28738,39661
6 h 54 min,14477,20043,20490,123612,122838,115078,24733,24496,24550,53834,73807,59746,48474,45854,26244,26515,28679,39529
6 h 56 min,15020,20098,20088,123567,123344,114868,24888,24235,24578,53619,74306,60093,48482,46281,26420,26441,29054,40069
6 h 58 min,14852,20169,20208,123936,123956,115233,24788,24595,24504,53387,74902,59807,48459,45836,26251,26097,28631,39747
7 h ,14889,20159,20257,123861,123258,115082,24542,24618,24626,53254,74781,59545,48760,46565,26607,26223,28774,39867
7 h 2 min,14749,20194,20400,123888,123048,115612,24958,24258,24603,53610,74750,60005,48904,46172,26224,26323,29059,39742
7 h 4 min,14988,20304,20159,123975,123042,115926,24646,24335,24427,53675,75190,59672,48543,45960,26626,26101,29155,39917
7 h 6 min,15105,19920,19945,124069,123747,116362,24727,24511,24564,53862,75661,60215,48557,46493,26172,25942,29237,39643
7 h 8 min,15015,20146,20236,125064,123561,115466,24808,24596,24471,53898,75812,60415,48872,46529,26717,26014,29290,39992
7 h 10 min,14775,20125,20460,125199,123215,116216,25013,24527,24361,53926,76413,60070,48400,46749,26301,25853,29307,40023
7 h 12 min,14886,19889,20114,125006,123932,115954,24856,24489,24522,53616,76390,60619,48544,46923,26538,25738,29439,39948
7 h 14 min,14670,20104,20181,125638,123058,116339,24928,24391,24380,53679,76623,60611,48292,46561,26804,25825,29158,39978
7 h 16 min,15067,19856,20012,124893,123230,116827,24819,24405,24382,53455,76640,60363,49146,46614,26472,25671,29268,40028
7 h 18 min,14853,20052,19812,124999,124147,117118,24289,24165,24255,54160,77409,60568,49023,47092,26670,25570,29388,39649
7 h 20 min,14855,19625,20286,125670,123997,117328,24781,24274,24631,54123,77073,60602,48683,46957,26574,25681,29637,39925
7 h 22 min,14947,19918,20282,125771,124442,116490,24576,24619,24192,53953,77119,60564,48887,46820,26458,25414,29273,39995
7 h 24 min,15012,19713,19740,125802,124580,116449,24811,24068,24391,54214,77936,60576,49202,47351,26577,25545,29309,40194
7 h 26 min,15008,19952,20036,125499,124040,116986,24809,24500,24585,54084,77485,61027,48978,47008,26657,25686,29139,39473
7 h 28 min,15103,19809,19985,125255,124755,116446,24792,24394,24536,54089,78239,60853,49066,46811,26591,25183,29231,39705
7 h 30 min,14916,19873,19750,125959,124659,116796,24697,24093,24051,54380,78489,61150,49061,46881,26567,24993,29016,39688
7 h 32 min,14939,19824,19770,126047,125956,116775,24578,24285,24564,54115,78398,60705,49276,47193,26600,24998,29296,39428
7 h 34 min,15147,19630,19745,125955,125592,116485,24652,24416,24140,53910,78923,61001,49407,46618,26742,24898,29161,39599
7 h 36 min,15063,19771,19972,126111,124623,116758,24842,24226,24409,53893,78753,61318,49086,46837,26634,25025,29154,39669
7 h 38 min,15191,19661,19826,125373,124780,117250,24515,24279,24217,54031,78408,61194,49295,47305,26671,24861,29113,39228
7 h 40 min,15222,19673,19855,126320,125256,117035,24956,24345,24347,53389,79474,61322,49446,47321,26714,24673,28948,39353
7 h 42 min,14873,19561,19994,126379,125854,117198,24686,24363,24455,54094,79863,61041,48913,47236,27069,24411,28953,39387
7 h 44 min,14976,19551,20027,126574,125039,117788,24560,24323,24008,53788,79533,61051,49722,47457,26705,24748,29112,39041
7 h 46 min,15085,19462,19651,126228,125303,117363,24689,24231,23919,54084,80549,60945,49758,47307,26504,24510,29037,39268
7 h 48 min,14821,19771,19738,127152,125788,117663,24701,24356,24109,54199,80453,61622,49243,47101,26689,24332,29142,39181
7 h 50 min,15152,19501,19793,126670,125721,117463,24573,24204,24310,54300,80433,61537,49281,47266,26584,24249,28930,38919
7 h 52 min,15071,19486,19965,126740,125770,117889,24582,24266,24087,53852,80403,61327,48859,46902,26656,24220,29080,38988
7 h 54 min,15140,19567,19851,126600,125757,118082,24224,24484,23866,54091,80582,61419,49562,47274,26646,24291,29373,39172
7 h 56 min,15219,19402,19715,126525,126012,117506,24370,24112,23913,54257,81206,61336,49312,47527,26492,24168,29183,38857
7 h 58 min,15177,19368,19808,126776,125337,118287,24265,24264,23909,54311,81022,61379,49047,47670,26339,23916,29340,38837
8 h ,15202,19264,19425,126991,125728,117331,24431,24227,23867,53559,81434,61700,49577,47444,26592,23965,29146,39087
8 h 2 min,15063,19257,19516,126333,125888,118948,24515,24304,23868,53857,81875,61587,49259,47113,26634,24060,29166,38942
8 h 4 min,15295,19286,19377,126814,125557,117989,24437,23889,23848,54064,81896,61942,49108,47081,26539,23505,29346,38680
8 h 6 min,15044,19165,19459,126349,126258,118015,24364,24040,23887,53452,82042,61574,49199,47588,26413,23992,29142,38871
8 h 8 min,15244,19209,19499,126677,126229,118263,24643,23871,23857,54025,82353,61834,49331,47128,26611,23795,29016,38949
8 h 10 min,15306,19086,19482,126820,125735,118465,24453,24002,23626,53810,82314,61587,48615,47538,26290,23445,29553,38686
8 h 12 min,15387,19346,19340,126591,126016,118034,23958,23851,23605,54046,82961,61358,48929,47303,26484,23430,29527,38451
8 h 14 min,15179,19077,19376,126156,126206,117366,24118,24068,23675,54129,82540,61388,48976,47516,26493,23289,29508,38470
8 h 16 min,15369,18999,19429,126546,125864,117987,24338,23880,23435,53622,82907,61954,49146,47362,26546,23392,29025,38045
8 h 18 min,15106,19081,19385,127053,125431,118231,24019,24080,23633,53809,83425,61628,49293,47221,26353,23008,29414,38117
8 h 20 min,15121,18747,19310,126554,126568,118277,24110,23940,23692,53586,83548,61398,48900,47283,26397,22978,29306,37724
8 h 22 min,15004,18732,19424,126935,126023,118613,23828,23556,23685,53448,82942,61981,49285,47399,25956,23231,28943,38097
8 h 24 min,15392,18887,19498,126606,125908,117455,24057,23731,23512,53501,83819,61643,48624,47040,26290,23053,29472,38001
8 h 26 min,15301,18887,18988,126367,124976,118408,24316,23531,23463,53356,83620,61825,48781,46906,26048,22830,29472,38105
8 h 28 min,15368,18814,19138,127196,125884,118371,24054,23613,23803,53927,83517,61786,48999,47022,26113,22882,29457,37958
8 h 30 min,15357,18759,19227,126507,125727,118086,23871,23822,23088,53579,84235,62033,49073,47329,26214,22647,29408,37142
8 h 32 min,15290,18907,18923,126776,125695,118372,23880,23747,23123,53308,83801,61637,49121,47185,25938,22635,29115,37729
8 h 34 min,15353,18953,18875,127074,125803,118364,24104,23870,22965,53363,83907,61604,49217,46999,26138,22608,29444,37645
8 h 36 min,15140,18827,19069,127208,125764,118016,23754,23755,23135,53208,84552,61190,48898,47589,25991,22680,29520,37775
8 h 38 min,15094,18615,18905,126770,125566,118152,23851,23450,23371,53272,84858,61648,48977,47168,26108,22535,29226,37789
8 h 40 min,15065,18441,19009,127147,125630,118238,23723,23556,22975,53380,84712,61742,48972,47051,26079,22428,29031,37141
8 h 42 min,15222,18618,18589,126256,126057,118146,23609,23523,23114,52953,85106,61433,48874,47065,26066,22580,29485,37477
8 h 44 min,15057,18324,18994,126615,125551,117876,23645,23450,22638,53181,85082,61190,48854,46942,26002,22399,29177,36894
8 h 46 min,15248,18390,18638,126949,125505,117471,23894,23660,22799,53205,85895,61396,49025,47002,25861,22414,29483,37373
8 h 48 min,15267,18408,18958,127040,125316,117626,23497,23600,22721,53127,85382,60894,48807,47220,25905,22327,29131,37101
8 h 50 min,15325,18403,19043,126585,125583,117772,23279,23345,22342,52847,85590,60857,48809,47085,25774,22199,29435,37229
8 h 52 min,15201,18273,18815,126982,125540,119051,23398,23078,22798,53227,85375,61406,48676,47091,25513,22155,29554,36782
8 h 54 min,15145,18267,18850,126958,125688,118585,23410,22871,22648,53026,85824,61139,48750,46755,25379,22248,29438,36687
8 h 56 min,15345,18539,18742,126651,125623,118004,23239,23191,22428,52901,85966,61173,48694,46862,25567,22160,29299,36935
8 h 58 min,15579,17977,18644,126124,126495,118344,23258,22771,22218,52840,86559,60883,48398,46781,25942,22539,29456,36791
9 h ,15303,18200,18395,125956,125867,117896,23536,23019,22572,52619,86197,60899,48281,47229,25354,22426,29382,36414
9 h 2 min,15294,18083,18584,126027,125517,118568,23256,22964,22285,52759,86368,61298,48436,46857,25369,22210,29509,36808
9 h 4 min,15431,18039,18432,126708,125402,117522,23189,22740,22251,52416,86518,60693,48837,46491,25395,22082,29221,36180
9 h 6 min,15404,17905,18858,125940,125461,117493,23122,22752,22204,52944,85756,60784,48260,46392,25123,22354,29362,36104
9 h 8 min,15397,17867,18494,126540,125648,117588,22885,22675,22291,52337,86146,61249,47722,46128,25558,21924,29784,35880
9 h 10 min,15475,17997,18312,125365,125730,117511,23150,22872,21736,52342,86831,61246,48175,46836,25436,22201,29291,35713
9 h 12 min,15323,17768,18232,126028,125313,117652,23048,22621,21697,52234,87447,60711,47796,46273,25213,22421,29791,35770
9 h 14 min,15384,17773,18248,126802,125628,117987,23114,22496,21320,52471,86659,60950,47511,46366,24797,22152,29475,35820
9 h 16 min,15231,17714,18534,125987,125571,117031,23008,22758,21443,52258,87048,60984,47891,46875,25112,22011,29447,35352
9 h 18 min,15188,17604,18482,126713,125301,117475,22610,22340,21482,52500,87739,60720,48114,46160,25119,21865,29675,35307
9 h 20 min,15148,17757,18129,126262,124981,117885,22878,22574,21267,52389,87326,60589,47848,46239,25082,21959,29281,35563
9 h 22 min,15459,17590,17865,125409,125497,117594,22654,22243,20832,52536,87410,60262,47832,45982,25039,22208,29705,35448
9 h 24 min,15433,17600,17905,126532,125618,117981,23070,22327,20692,51822,87957,60030,48007,45894,25055,22092,29528,35501
9 h 26 min,15312,17615,17880,126151,124816,117563,22663,22328,20736,52564,88245,59952,47721,45673,24796,22089,29425,35442
9 h 28 min,15504,17349,17879,126483,125411,116855,22750,22173,20497,52166,88071,60189,47981,45954,24631,22052,29445,35525
9 h 30 min,15433,17244,17742,126112,125047,117726,22886,22093,20515,52173,88401,60526,47940,45700,24793,22372,29396,35121
9 h 32 min,15200,17149,17778,125372,124941,117221,22467,21774,20565,52141,88222,60234,47894,45662,24763,22186,29447,35161
9 h 34 min,15332,16920,17846,125828,125657,116996,22434,21959,20618,51961,88715,60144,47340,45694,24396,21644,29895,35470
9 h 36 min,15128,17140,17841,125328,124864,117048,22303,21880,21047,51543,88356,59871,47411,45676,24549,21928,29404,35192
9 h 38 min,15363,16752,17906,125495,125062,117069,22567,21976,20411,51288,88295,60024,47571,45940,24233,22082,30036,35580
9 h 40 min,15492,16583,17744,125566,125605,116761,22195,21790,20777,51771,88078,59860,47467,45283,24267,22087,29798,35398
9 h 42 min,15386,16498,17648,125442,125004,116927,22358,21643,20614,51814,88819,59574,46972,45429,23998,22257,29831,35354
9 h 44 min,15324,16551,17642,124996,125026,117029,22193,21753,20614,51521,88541,59553,47342,45679,23849,22328,29552,35220
9 h 46 min,15239,16759,17562,125165,125057,116675,22097,21445,20701,51505,88528,59868,47232,45579,23587,22124,29485,35484
9 h 48 min,15043,16879,17620,125121,124434,116203,21876,21607,20784,51067,88411,59655,47147,45380,23641,22167,29743,35827
9 h 50 min,15483,16758,17332,125295,123997,116012,21901,20937,20643,51278,88825,59681,46581,45325,24009,22278,29550,35060
9 h 52 min,15429,16591,17015,124607,124588,116748,21943,21209,20748,51088,88757,59358,46961,45494,23901,22220,29364,35463
9 h 54 min,15368,16558,16999,125754,124209,117003,21792,21081,20815,51300,88889,59571,46596,45283,23753,22436,29689,35583
9 h 56 min,15306,16590,16989,124944,124227,116466,21831,20849,20913,50962,88989,59646,46765,44888,23824,22327,29305,35287
9 h 58 min,15373,16701,16771,125393,124140,115874,21176,21002,20738,50998,89755,59024,46676,45073,23835,22272,29498,35227
10 h,15514,16542,17238,125240,123938,115324,21281,20926,20687,51101,89528,59235,47108,44794,23587,22236,29527,35499
