time,Se1To1 3 nM,Se1To1 3 nM,Se1To1 3 nM,Se1To1 3 nM + Se1Tr1 15 nM + St1 15 nM,Se1To1 3 nM + Se1Tr1 15 nM + St1 15 nM,Se1To1 3 nM + Se1Tr1 15 nM + St1 15 nM,Se1To1 3 nM + Se1Tr1 15 nM + St1 10 nM,Se1To1 3 nM + Se1Tr1 15 nM + St1 10 nM,Se1To1 3 nM + Se1Tr1 15 nM + St1 10 nM,Se1To1 3 nM + Se1Tr1 15 nM + St1 5 nM,Se1To1 3 nM + Se1Tr1 15 nM + St1 5 nM,Se1To1 3 nM + Se1Tr1 15 nM + St1 5 nM,Se1To1 3 nM + Se1Tr1 10 nM + St1 15 nM,Se1To1 3 nM + Se1Tr1 10 nM + St1 15 nM,Se1To1 3 nM + Se1Tr1 10 nM + St1 15 nM,Se1To1 3 nM + Se1Tr1 10 nM + St1 10 nM,Se1To1 3 nM + Se1Tr1 10 nM + St1 10 nM,Se1To1 3 nM + Se1Tr1 10 nM + St1 10 nM,Se1To1 3 nM + Se1Tr1 10 nM + St1 5 nM,Se1To1 3 nM + Se1Tr1 10 nM + St1 5 nM,Se1To1 3 nM + Se1Tr1 10 nM + St1 5 nM,Se1To1 3 nM + Se1Tr1 5 nM + St1 15 nM,Se1To1 3 nM + Se1Tr1 5 nM + St1 15 nM,Se1To1 3 nM + Se1Tr1 5 nM + St1 15 nM,Se1To1 3 nM + Se1Tr1 5 nM + St1 10 nM,Se1To1 3 nM + Se1Tr1 5 nM + St1 10 nM,Se1To1 3 nM + Se1Tr1 5 nM + St1 10 nM,Se1To1 3 nM + Se1Tr1 5 nM + St1 5 nM,Se1To1 3 nM + Se1Tr1 5 nM + St1 5 nM,Se1To1 3 nM + Se1Tr1 5 nM + St1 5 nM,Se1Tr1 15 nM + St1 50 nM,Se1Tr1 15 nM + St1 50 nM,Se1Tr1 15 nM + St1 50 nM,sfGFP 3 nM,sfGFP 3 nM,sfGFP 3 nM,Control,Control,Control,Se1To1 3 nM + Se1Tr1 15 nM + St1 15 nM + antistar,Se1To1 3 nM + Se1Tr1 15 nM + St1 15 nM + antistar,Se1To1 3 nM + Se1Tr1 15 nM + St1 15 nM + antistar,Se1To1 3 nM + Se1Tr1 15 nM + St1 10 nM + antistar,Se1To1 3 nM + Se1Tr1 15 nM + St1 10 nM + antistar,Se1To1 3 nM + Se1Tr1 15 nM + St1 10 nM + antistar,Se1To1 3 nM + Se1Tr1 15 nM + St1 5 nM + antistar,Se1To1 3 nM + Se1Tr1 15 nM + St1 5 nM + antistar,Se1To1 3 nM + Se1Tr1 15 nM + St1 5 nM + antistar,Se1To1 3 nM + Se1Tr1 10 nM + St1 15 nM + antistar,Se1To1 3 nM + Se1Tr1 10 nM + St1 15 nM + antistar,Se1To1 3 nM + Se1Tr1 10 nM + St1 15 nM + antistar,Se1To1 3 nM + Se1Tr1 10 nM + St1 10 nM + antistar,Se1To1 3 nM + Se1Tr1 10 nM + St1 10 nM + antistar,Se1To1 3 nM + Se1Tr1 10 nM + St1 10 nM + antistar,Se1To1 3 nM + Se1Tr1 10 nM + St1 5 nM + antistar,Se1To1 3 nM + Se1Tr1 10 nM + St1 5 nM + antistar,Se1To1 3 nM + Se1Tr1 10 nM + St1 5 nM + antistar
8 h ,24997,20574,28396,646564,659504,784321,882887,889762,888263,269392,263975,254872,960854,1009752,886751,341254,330364,267206,306121,274535,378313,863030,978208,885417,830097,825683,837110,120367,132323,231124,16964,17618,27752,28710,29141,29226,27200,29692,26376,876960,898288,950555,586363,595095,557170,264057,271551,275553,850270,769140,838238,611472,644942,657991,173973,280476,259506
8 h 10 min,24631,20418,28573,644942,657098,785682,880700,889487,887479,270850,264648,254789,949991,1004802,874925,338270,327173,263933,306973,274081,377392,861064,980284,885321,821049,825106,826274,119610,130844,230244,16720,17392,27891,29482,29141,29606,27675,29656,26507,869768,892155,947254,590887,596979,560553,264813,270451,275209,851837,770143,838568,613095,644873,658651,174110,280476,260454
8 h 20 min,25082,21115,29242,649040,664743,789202,881567,891893,889377,271538,265858,255710,964553,1021481,907569,340429,328686,264621,307097,276557,378959,863663,982058,886861,837564,829478,839351,120050,131692,232678,16953,18015,28850,29121,29616,30341,27853,29756,26679,881525,902523,955519,597653,598629,561873,265102,271428,275457,850118,769030,841167,615020,648971,657510,174546,279224,259341
8 h 30 min,25302,20996,28785,653770,672457,798140,885981,893832,890890,271428,265363,256192,963522,1016091,899814,340402,328645,265116,306781,278509,380981,865671,982470,884633,834869,828364,839778,120631,131653,233310,16954,17974,29839,29661,29641,30065,28120,30185,27308,885114,901437,953318,609863,605903,568858,265377,272198,276295,850435,769937,841387,615460,646138,658115,177754,279692,259987
8 h 40 min,25290,21177,28506,653852,665884,788817,885719,896844,894644,273215,266959,255669,929433,965584,838774,339054,316297,260509,307881,274714,378203,867362,989469,891178,806556,812372,811671,116949,130772,228552,17203,18053,28854,29695,29796,30473,28332,30796,27353,857475,872711,926477,604666,591795,556111,265817,272473,276859,869136,781818,822177,599770,629307,637516,176148,279953,256274
8 h 50 min,25765,21370,29543,657043,681629,807394,887672,894754,893461,273353,267151,255614,960400,1014290,891000,341007,328081,265377,309682,280159,382026,865712,985949,887988,833521,830083,836753,120662,131407,232540,17275,18214,31065,30179,30199,31011,28552,30657,28134,886118,899539,952837,626970,613136,576284,265721,271221,276337,853446,773031,844398,616835,645409,660838,182409,280173,261087
9 h ,26383,21996,29553,667713,685177,812469,899800,905809,895936,274824,268540,255807,938715,989043,871886,342409,319019,265350,310109,280737,383772,866427,997582,895964,821572,813926,823153,117879,132947,230134,17135,18183,31001,30391,30561,31110,28951,30408,28073,869727,881443,930973,627162,602672,571416,266491,274356,278042,871872,784321,827691,602191,628042,642976,183312,282566,255339
9 h 10 min,26218,22040,30416,666613,693579,820279,895702,903197,897394,275979,268994,257017,944367,999494,900240,343097,320573,265473,309930,279582,382039,867678,997816,895139,832338,819825,830042,119569,133893,234355,17494,18571,31720,30818,30505,31823,29722,30897,27770,889391,894121,938234,627698,611981,572860,265322,272748,277024,869218,785063,829135,604088,632305,642027,188379,281947,256247
9 h 20 min,27125,22662,31579,665761,712665,835075,895689,898329,894327,274604,267729,258529,969476,1031355,930093,346150,330501,269654,311388,282854,385738,865038,988672,892072,845044,835116,844893,123821,134597,239264,17906,19207,33647,31034,30877,31576,29419,31676,29904,906552,910306,961473,637654,617083,583957,266216,273091,278427,857860,774062,848111,619324,649507,661333,195411,281974,262723
9 h 30 min,27536,23017,31113,662199,714232,831252,891660,897270,895881,276405,268361,258653,963192,1007318,881223,345696,330680,270465,310879,281892,383634,864227,989964,891481,826137,834456,837206,124007,134417,237202,18166,19545,33892,31904,31510,32392,29717,31687,30499,885499,895977,950981,631067,612174,574538,267055,273848,277849,858094,774956,850036,618458,647046,661072,195359,281438,260454
9 h 40 min,27640,23441,31372,671412,716350,832256,905411,909797,901464,277478,270919,259588,945013,995877,900845,347208,323928,269241,311016,283611,384625,867376,1000828,900515,832050,822397,831018,121802,135371,237435,18328,19616,34133,32033,31772,32590,30859,32958,30405,894987,895166,942923,639813,616711,578305,266904,276158,280819,872202,789628,833067,607058,632814,645176,198428,282469,256783
9 h 50 min,27678,23787,30688,667246,715085,819275,900804,906634,900680,279403,272211,258942,930836,977341,850916,346920,322581,268994,311443,281039,384982,863319,999783,900886,813445,820884,819248,121426,135587,235263,18611,19724,34617,32988,32435,33862,30842,32977,30715,870896,879655,936694,628358,604666,568597,266904,275608,280764,871900,790522,832325,606563,630737,644804,196262,282442,257085
10 h ,29105,24085,32206,670161,730156,840905,896582,901079,897394,277932,270616,261073,975182,1024314,919945,348735,334076,273050,313230,285440,385408,864928,993333,897600,850173,838293,853460,125991,137313,241891,19032,20214,36789,33515,33524,33905,30986,33655,32506,900213,908958,962422,638713,617426,581028,268677,274274,279142,858630,779315,849665,623078,653687,664193,204420,281988,263480
10 h 10 min,29400,25175,33705,672815,735835,845938,894974,905438,900680,277849,270905,260303,975086,1020753,920633,348996,334901,274645,313505,286155,387058,864515,995437,897449,847533,837839,849912,127431,137238,242565,19435,21088,37823,34063,32830,33951,31777,33634,33016,905686,909440,959616,642054,620850,586432,268746,275347,280338,860046,780594,847574,623284,653660,663849,206001,284546,263273
10 h 20 min,29916,25624,34274,671605,741074,849005,896184,905080,897188,279018,271221,261788,978428,1033513,939155,351760,334888,275732,313931,286925,386976,866124,993567,899209,852745,840438,855907,127926,138993,245686,19434,21298,38888,34545,33780,34458,32045,34457,34063,910292,910870,962765,645726,623394,587147,269736,276240,279912,861628,782148,849940,625264,652629,666311,213385,283748,263273
10 h 30 min,30286,25231,32826,674149,726512,827911,902729,911818,904132,282676,273861,261458,938165,974715,850201,349546,324726,271235,317988,285000,389396,864804,1010880,908023,814352,823469,823084,124878,138669,238714,19911,21423,37916,35350,35123,36259,32669,34433,32511,874801,882213,934466,632621,609520,572049,268732,278042,282098,878858,793740,831238,611926,636458,648641,203010,283735,257938
10 h 40 min,31345,26204,35613,673887,744058,849788,899869,905012,903678,280833,272858,262077,981329,1032771,939403,351567,337858,276460,316737,288066,390799,865368,1001446,901038,853625,845814,856636,128660,138336,246717,20301,22331,41062,36045,35571,36285,33421,35035,35106,914129,915586,966327,645093,623917,589540,270712,276763,281919,862315,784774,854271,629445,656259,665444,214238,283996,264387
10 h 50 min,31653,26693,34924,673654,730733,831293,903417,909646,905658,283322,275127,261967,944119,991573,876589,350055,327339,273380,315912,285660,387031,869438,1010316,907569,827484,826893,831940,126016,139955,241396,20355,22518,40052,36861,36271,37746,34471,36210,35393,887218,890395,945838,634491,615570,577164,269709,277780,283735,877826,798346,836835,615488,637723,649452,205205,285302,260592
11 h ,32605,27277,36802,674864,745117,844866,903114,905466,903664,281644,273229,262930,980463,1035026,941355,352420,338683,277780,319047,289455,389712,870373,1001103,903788,857338,845044,856375,130972,139760,251200,20863,22763,42678,38140,37028,38060,34380,36062,35875,926037,919808,968554,641504,628180,590145,271318,277877,282841,862783,784994,854711,629032,657771,666324,210374,285220,266120
11 h 10 min,33170,27648,36368,676239,740717,840121,899704,904929,904915,282112,276254,265322,976241,1009491,892952,352681,338807,276887,319611,290032,393081,869590,1002835,905067,838169,843408,846832,130596,141897,247859,21056,23265,43144,39218,37746,38573,34803,35876,37100,898741,900598,958214,635371,616216,579254,271730,278592,284243,865657,785324,851108,629885,661360,665554,212684,286127,266518
11 h 20 min,34902,28211,38502,677243,744732,844412,901753,908793,907418,283611,276364,265363,985083,1038202,954047,352420,341199,279142,321453,289070,391610,873179,1001213,903623,856994,848138,862192,132039,141553,253015,21720,23950,44959,39889,38616,39378,35288,37298,39050,926779,916686,972047,639552,623944,588742,272445,279981,284161,864460,787786,849541,632057,659710,667851,214857,287420,266202
11 h 30 min,36126,29580,40086,683128,736605,837674,904695,911832,909783,285756,278124,265803,957430,1022705,955422,350949,331395,277162,318579,289386,389630,877744,1012213,910155,851411,834305,846419,129691,143270,257388,21801,24613,44392,39312,38058,39976,37018,38231,39000,928072,909673,956591,642095,624219,585621,272390,280434,286058,880741,797838,838911,619833,641422,650016,214719,286595,262875
11 h 40 min,35821,29069,38637,676418,725852,819069,899511,910265,910925,287461,277808,265212,952342,989689,885513,349546,331519,275415,319693,285206,389190,875915,1015060,911626,831087,830688,836615,129561,142971,249729,22591,24978,44217,41631,40446,41624,36873,38286,39590,896486,892842,944958,620988,607897,569862,272693,280421,284807,882103,799350,837811,619187,641023,649658,204937,289207,262737
11 h 50 min,35536,29178,40543,685837,730376,826522,905369,913771,911516,287062,279389,266821,958778,1029911,950156,348721,333444,275168,321797,289207,392023,877208,1008129,911158,858754,835597,849266,130988,142934,255807,22457,24856,44710,41817,40951,41463,37891,38411,39453,927494,915737,962394,628785,621222,580079,274054,281768,286801,882914,801743,838925,620369,644268,652037,206256,289249,263466
12 h ,38218,30477,41640,674245,732879,829190,894300,906387,910113,287282,276694,268127,982168,1022224,923355,350096,342478,277313,322333,287997,390950,878033,1008899,909467,850435,850820,859620,134156,142703,255160,23706,26447,47017,43411,42260,42799,38272,39316,42108,914514,910361,966808,623463,615694,576751,274700,279651,285522,868077,790756,852538,634271,663904,668813,206840,289166,270314
12 h 10 min,37993,30614,42156,679745,732150,830303,900254,908752,913276,287502,279087,269805,984327,1035287,946924,349120,342506,276969,324822,290802,394649,876946,1009202,909632,857709,850173,861573,135627,143500,260221,23648,26086,48292,44325,42779,43504,38281,39092,41578,923479,916975,970315,633377,625223,587642,275883,282277,286182,869933,793836,856733,636898,661264,671495,207846,290142,271345
12 h 20 min,39885,31495,43559,679140,724161,816608,903540,914431,914074,291971,280819,267206,955120,1008913,922957,347676,333678,275525,323653,286897,390785,878528,1020670,919079,842459,837825,843202,131119,143769,257058,24189,27642,47086,44762,43695,45581,39633,40382,43087,913111,902550,953305,620699,614663,572599,274728,282854,287502,888469,805016,841400,624109,643608,656850,204472,291009,265817
12 h 30 min,41902,34006,47201,678205,732260,826783,897298,906071,909591,290005,280036,270754,994516,1051238,981453,349587,343111,277107,323158,290404,388956,876974,1009656,913001,875447,856622,875310,136572,145854,264497,25056,28749,49967,45885,43422,45405,40737,41076,45319,936336,929640,979445,626860,627863,587821,278055,282923,288479,873165,796518,856980,640115,668662,672251,213564,291889,273641
12 h 40 min,41637,32362,45487,681560,729166,825546,901230,910842,913661,290239,280572,271510,992041,1046027,964842,347814,342918,276254,327792,290747,394113,877345,1013231,913799,867499,855894,870016,135256,144097,263356,25358,29373,51301,47735,45209,46291,41046,41390,46102,935126,925253,976062,628001,626034,584919,277602,283762,288699,872904,797480,857351,642247,668195,677009,210695,294199,273710
12 h 50 min,41335,32860,45862,679883,728891,828199,898205,909357,915889,291311,282896,271978,991986,1038189,948987,346356,344665,276667,330941,291806,395928,878761,1014193,914321,860046,858314,867623,136091,146041,261046,25258,27748,51487,48633,46668,46918,41101,41164,47024,918364,920206,974399,622363,621992,583338,278647,284848,289840,874169,798786,859730,642811,665389,676170,208269,293113,273875
13 h ,42453,33784,47431,682660,727543,823840,898659,912808,917319,292480,283020,271373,998188,1054153,969806,344390,344170,274329,331161,293099,398637,877675,1018002,916686,878445,856953,877441,136481,146558,264442,25496,28685,52226,49094,47558,48286,41981,42544,47768,920935,926669,979706,613452,615061,576064,279376,286663,290527,873935,799171,859070,641807,668483,679525,210333,294501,275223
13 h 10 min,42905,33634,47504,683018,723721,818299,903183,912176,918116,292370,283460,272761,988576,1043373,952081,343798,344252,272995,332536,292645,396808,877593,1016476,920193,864584,854079,865918,137081,145635,263768,27021,30550,52210,51034,48548,49630,42196,42358,46538,926147,921196,977410,620850,621359,585469,279788,286471,290321,874279,801097,858328,640583,667603,678563,207478,296592,275415
13 h 20 min,45745,36276,50517,687405,715635,811093,910031,922255,922640,296083,284725,272514,971195,1038024,981274,341351,333430,271166,329291,292851,394223,878734,1025854,924098,866399,847877,862013,134364,147169,269337,27796,32442,52340,53058,49854,51440,44933,43487,49130,941108,922847,962972,619943,623064,578127,279527,287640,293058,891412,808632,843999,631274,653151,661058,207530,298077,272184
13 h 30 min,44733,35282,49597,691269,712225,813266,909852,917456,919024,296537,286471,272294,969063,1036071,975444,339425,333430,269984,328549,293525,396822,878308,1026170,925666,867403,842610,857503,134262,146181,270121,28114,32425,53361,53234,49854,51292,45970,44593,48952,938014,923149,966506,619805,623271,579969,282456,288534,293663,893502,814022,845141,631769,652697,665912,209920,297788,273036
13 h 40 min,45473,35487,49676,681822,717931,814064,899814,912451,917154,295409,285192,274260,986788,1028879,925734,337225,341364,269805,332880,292178,397509,872092,1018635,919478,856719,857929,863842,137030,145826,262187,28761,32703,54498,54087,51904,53046,45152,44305,49782,915792,917745,977107,608832,614443,572172,283006,287406,293828,879724,803558,858424,645024,670450,681327,206015,299823,278619
13 h 50 min,45864,35733,48701,674547,715209,813789,892168,911598,920193,296784,285907,274838,990130,1003317,875200,333403,339866,266628,333788,289455,395914,864419,1022843,922778,854931,857695,868641,135530,144268,256755,28905,33381,53795,55517,53016,54056,45463,44439,48626,889721,901423,968224,598519,601723,560415,282524,288685,292755,881195,806404,856086,644516,670106,679140,204033,298090,278385
14 h ,46841,36815,51805,686552,714590,816553,904475,915971,921980,298530,286801,276185,997500,1050551,965667,334049,340237,267605,333320,293181,399228,862907,1020450,922695,873935,864735,875337,135810,144182,265267,29265,33713,55772,55756,54045,54543,47407,44984,52070,929117,928979,985083,608708,620754,581798,282731,288451,293181,881085,806198,860445,648146,672664,682949,205843,301721,281081
14 h 10 min,49662,39320,55150,689275,715030,814710,907721,915779,919656,297417,287860,276048,1001268,1049079,961830,334626,339934,266601,333004,296303,400136,850325,1020753,924084,881443,863910,881718,136641,146133,266642,31000,35714,57073,59444,55482,56082,48775,45752,53960,931730,929626,986719,613122,624261,580987,285371,290899,294914,880576,808756,860143,647665,673777,683994,210071,302133,282249
14 h 20 min,48030,37507,53644,688381,710410,817570,902880,915229,924304,298957,288767,277189,1003468,1053342,964773,331037,337500,264635,337074,295162,402336,967124,1024080,922544,881278,866454,881154,134695,144577,265350,29893,33278,56934,57467,54914,55569,48578,46320,54223,920468,928869,985770,608708,615996,573300,285412,291518,296289,883987,808783,861325,650497,674506,685507,203859,302532,282016
14 h 30 min,47735,38279,54500,689165,712679,817391,900556,914197,924909,300414,289647,276612,996785,1036456,939403,329965,337707,262861,338875,296165,403642,960043,1024163,925501,867266,863058,875942,135956,144932,263686,29705,34107,57272,58077,55892,55796,50323,46237,55272,920509,924125,979115,609946,620314,578319,288616,293291,297705,887177,811616,865396,651185,675758,682069,203469,301941,282181
14 h 40 min,49123,38301,55349,687625,711235,814861,899333,915201,926944,300346,290734,276557,1002890,1044267,942125,328315,335754,260743,340553,295464,402033,948561,1025730,927659,879724,863814,881429,134728,144245,261279,31064,34805,57880,60318,57019,56916,49954,47120,55180,912396,923644,982869,605999,611582,572227,287557,293855,298008,884385,811753,863814,650593,674657,686043,203738,303866,283611
14 h 50 min,51674,40409,56146,662598,698075,798223,893585,906029,910485,299342,286994,277739,987201,1013726,893599,325372,330927,261046,339164,289620,396395,964374,1018883,918020,852814,855577,857888,132471,143718,256865,32317,37608,57519,62045,60511,61509,52902,48599,55662,892155,902867,963040,589870,601585,557858,278372,287255,292343,865409,797865,848509,645519,667232,674204,200635,301432,281507
15 h ,50644,39367,57529,687542,703617,809595,900611,917553,927013,301776,291160,278399,1003495,1045958,949331,324162,334324,257773,342272,297664,404343,936680,1028536,928924,880700,866661,881663,134699,143996,261678,31844,35674,59041,61695,58853,58868,51723,48562,57244,917539,925308,984189,602864,618705,576023,289867,295148,299699,887177,813307,863017,651941,676184,686634,202992,305928,286237
15 h 10 min,50436,39698,57140,685163,700000,811685,900969,916232,925996,303440,292893,278289,1006741,1060438,944738,318992,330432,254376,342038,294570,401552,932610,1026886,930258,891357,867376,885156,133469,141848,260097,31304,35012,58561,61298,58744,59011,53094,49201,57196,911970,926161,986788,591877,601819,559962,289537,295684,301157,889047,814779,861710,652574,678521,688656,200439,304828,286306
15 h 20 min,52054,40745,59155,689110,699492,811712,907116,919876,925335,303495,292975,279073,1004183,1061221,969930,319088,330625,254514,343908,299287,405292,931908,1027793,928113,888923,866069,885692,132779,141998,265143,32793,37043,59880,64290,61019,61376,54619,50142,59028,927343,929530,987366,600320,615983,573933,292576,296757,301913,889611,817323,862714,652972,677628,690883,200712,309091,288987
15 h 30 min,52567,40952,59848,691956,699051,813142,907432,919601,928979,303302,294543,279211,1004348,1066323,986486,317534,330157,253551,343537,299191,405911,927384,1028714,930602,887974,868476,883409,132519,141782,267907,33190,37183,60538,64852,62128,62343,54823,51891,58866,941520,936927,992536,600265,622267,578319,290665,296647,301597,889735,819028,863127,654334,677119,689646,200697,309916,289895
15 h 40 min,53805,42122,58801,683169,698323,812812,903540,918886,926793,304925,294103,279293,995245,1037749,922640,313299,327504,250774,341543,296523,400548,920715,1031643,931180,869205,865437,872945,131945,140381,261678,33183,37856,60660,65341,64975,65122,56386,53725,58418,912575,919436,983667,594545,609382,566163,290472,295877,300937,890972,820114,863608,654499,675593,690540,199278,311195,289139
15 h 50 min,53138,41673,60157,691310,697649,808811,903403,919863,927412,304897,295148,279664,1006108,1067808,978538,312818,326321,249426,344403,297774,403573,915641,1027353,932321,893764,868146,886338,131731,140201,266395,33438,37812,60294,65178,62253,62727,55810,55593,58550,939870,937367,994131,596209,624288,578250,294763,298599,302889,892347,820637,864075,655090,679099,693166,200024,310191,290527
16 h ,55242,42441,62517,694775,697580,810722,908931,922242,929530,307028,295629,280366,1009106,1074271,998504,310934,324850,249509,345710,299177,405058,912217,1032001,932720,889515,869700,888579,130931,139771,271483,34362,38915,61793,67575,64984,64420,57083,57088,60357,952617,940805,996867,603084,625086,581427,293951,299466,303206,893062,823937,865547,654664,680983,691172,200700,312928,291985
16 h 10 min,55291,43330,62879,691282,697511,809306,905493,921994,928526,306850,297142,280228,1010797,1071315,996675,309022,324685,247432,346837,300181,406406,907707,1032991,934081,892278,871088,889803,132531,140831,273256,34812,39079,61777,68060,64928,64922,57859,59193,60271,951448,940736,993540,598657,625539,579295,293470,299012,306121,894506,821489,867554,658885,683073,690375,200008,312515,292356
16 h 20 min,56232,43330,63184,692864,696081,811712,911956,923080,929433,307977,298297,281081,1011237,1067313,997844,306905,322911,247034,347208,300676,406708,904544,1031712,933462,891728,871913,888483,131825,139367,274398,34178,38555,62346,68527,65628,66275,58521,60546,60636,959341,944573,997775,602796,626901,582348,295052,299493,305928,894767,825477,864790,658294,682564,690870,200420,314096,293443
16 h 30 min,55965,43268,63083,693730,694624,810887,910113,925968,932830,309531,299493,281713,1007703,1072965,1003977,303852,321481,244833,349175,299919,407822,900226,1030447,935566,886036,872271,884867,132637,138737,278413,34427,38519,62462,68877,65762,65815,58890,61951,60659,964512,941204,995149,598010,631342,583448,297334,302834,306808,894369,826316,863952,656328,681863,693207,201550,315527,293236